Track file,G:\Water Maze Data\xxx_0001\data\track_00895.trk
Object,0
Samples,1500
Name,10,
Goal Position,none,
Comment,,
Trial,6,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,60.9467,143.6346,33.0000,wall,q3,0.0000,17.6055,81.0546,-,-
2,0.0800,60.9467,142.9217,47.0000,wall,q3,0.0000,17.9909,80.6979,0.7128,8.9103
3,0.1600,60.5903,142.9217,45.0000,wall,q3,0.0000,17.6955,81.0074,0.3564,4.4552
4,0.2400,61.3031,141.4961,79.0000,wall,q3,0.0000,19.0106,79.6872,1.5939,19.9241
5,0.3200,62.0159,140.7833,59.0000,wall,q3,0.0000,19.9878,78.7185,1.0081,12.6011
6,0.4000,63.4416,138.2884,23.0000,wall,q3,0.0000,22.4795,76.2810,2.8735,35.9187
7,0.4800,63.7980,137.5755,27.0000,wall,q3,0.0000,23.1120,75.6354,0.7970,9.9621
8,0.5600,64.1544,137.2191,46.0000,center,q3,0.0000,23.5907,75.1552,0.5040,6.3006
9,0.6400,64.8672,135.0807,53.0000,center,q3,0.0000,25.1846,73.5595,2.2542,28.1769
10,0.7200,64.8672,134.3678,53.0000,center,q3,0.0000,25.5029,73.2496,0.7128,8.9103
11,0.8000,64.8672,130.4473,43.0000,center,q3,0.0000,27.2580,71.6483,3.9205,49.0068
12,0.8800,64.5108,129.0216,52.0000,center,q3,0.0000,27.4068,71.4422,1.4695,18.3691
13,0.9600,63.4416,126.5267,45.0000,center,q3,0.0000,27.2837,71.5732,2.7144,33.9295
14,1.0400,60.9467,123.3190,51.0000,center,q3,0.0000,26.0206,72.9665,4.0637,50.7967
15,1.1200,59.8774,122.2498,54.0000,center,q3,0.0000,25.2450,73.7041,1.5121,18.9017
16,1.2000,56.3133,120.1113,58.0000,wall,q3,0.0000,22.3065,76.6372,4.1565,51.9557
17,1.2800,54.8877,119.3985,58.0000,wall,q3,0.0000,21.1008,77.8718,1.5939,19.9241
18,1.3600,52.7492,118.3292,57.0000,wall,q3,0.0000,19.2892,79.7477,2.3909,29.8862
19,1.4400,48.8286,117.2600,66.0000,wall,q3,0.0000,15.5888,83.4050,4.0637,50.7967
20,1.5200,47.7594,116.9036,66.0000,wall,q3,0.0000,14.6129,84.3981,1.1271,14.0885
21,1.6000,43.4824,115.8343,58.0000,wall,q3,0.0000,10.4885,88.4543,4.4086,55.1074
22,1.6800,42.4132,115.8343,64.0000,wall,q3,0.0000,9.4365,89.5120,1.0692,13.3655
23,1.7600,39.9183,115.4779,51.0000,wall,q3,0.0000,7.1015,91.9314,2.5202,31.5028
24,1.8400,39.5619,115.4779,47.0000,wall,q3,0.0000,6.7625,92.2844,0.3564,4.4552
25,1.9200,39.2055,115.4779,26.0000,wall,q3,0.0000,6.4154,92.6374,0.3564,4.4552
26,2.0000,39.2055,115.4779,22.0000,wall,q3,0.0000,6.4154,92.6374,0.0000,0.0000
27,2.0800,39.2055,115.4779,22.0000,wall,q3,0.0000,6.4154,92.6374,0.0000,0.0000
28,2.1600,39.5619,115.1215,21.0000,wall,q3,0.0000,6.7812,92.2362,0.5040,6.3006
29,2.2400,39.9183,114.4087,22.0000,wall,q3,0.0000,7.2080,91.7902,0.7970,9.9621
30,2.3200,40.2747,114.0523,17.0000,wall,q3,0.0000,7.6192,91.3922,0.5040,6.3006
31,2.4000,40.2747,113.3394,21.0000,wall,q3,0.0000,7.7842,91.3073,0.7128,8.9103
32,2.4800,40.2747,113.3394,18.0000,wall,q3,0.0000,7.7842,91.3073,0.0000,0.0000
33,2.5600,40.6311,112.2702,43.0000,wall,q3,0.0000,8.2284,90.8357,1.1271,14.0885
34,2.6400,40.6311,111.5574,38.0000,wall,q3,0.0000,8.3206,90.7643,0.7128,8.9103
35,2.7200,41.3439,108.3497,24.0000,wall,q3,0.0000,9.2667,89.8003,3.2860,41.0746
36,2.8000,41.3439,108.7061,42.0000,wall,q3,0.0000,9.2667,89.8230,0.3564,4.4552
37,2.8800,42.4132,106.2112,55.0000,wall,q3,0.0000,10.3421,88.6255,2.7144,33.9295
38,2.9600,42.7696,105.1419,52.0000,wall,q3,0.0000,10.7870,88.2347,1.1271,14.0885
39,3.0400,43.4824,102.6470,54.0000,wall,q3,0.0000,11.7616,87.4914,2.5947,32.4341
40,3.1200,44.1953,101.5778,52.0000,wall,q3,0.0000,12.3722,86.7872,1.2851,16.0633
41,3.2000,45.2645,100.1521,52.0000,wall,q3,0.0000,13.2306,85.7506,1.7821,22.2758
42,3.2800,45.9773,99.4393,59.0000,wall,q3,0.0000,13.9047,85.0634,1.0081,12.6011
43,3.3600,48.4722,98.0137,62.0000,wall,q3,0.0000,16.3950,82.6412,2.8735,35.9187
44,3.4400,48.8286,97.6573,62.0000,wall,q3,0.0000,16.7514,82.3069,0.5040,6.3006
