Track file,G:\Water Maze Data\xxx_0001\data\track_00735.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,128.6652,184.9785,16.0000,wall,q2,0.0000,15.3919,82.1938,-,-
2,0.0800,127.9524,184.9785,38.0000,wall,q2,0.0000,15.3423,82.2169,0.7128,8.9103
3,0.1600,127.5960,184.9785,54.0000,wall,q2,0.0000,15.3299,82.2308,0.3564,4.4552
4,0.2400,126.8831,184.9785,67.0000,wall,q2,0.0000,15.3258,82.2632,0.7128,8.9103
5,0.3200,125.4575,184.6221,74.0000,wall,q2,0.0000,15.6822,81.9908,1.4695,18.3691
6,0.4000,123.6754,184.2657,85.0000,wall,q2,0.0000,16.0069,81.7749,1.8174,22.7170
7,0.4800,121.5369,183.9093,86.0000,wall,q2,0.0000,16.0742,81.6394,2.1680,27.0997
8,0.5600,119.7549,183.1965,87.0000,wall,q2,0.0000,16.4916,81.1585,1.9193,23.9918
9,0.6400,117.6164,181.7708,90.0000,wall,q2,0.0000,17.5549,80.0756,2.5701,32.1267
10,0.7200,115.8343,180.7016,95.0000,wall,q2,0.0000,18.3475,79.3422,2.0782,25.9779
11,0.8000,113.6959,178.5631,93.0000,wall,q2,0.0000,20.0639,77.6915,3.0243,37.8033
12,0.8800,111.9138,176.4246,93.0000,center,q2,0.0000,21.6973,76.0351,2.7837,34.7960
13,0.9600,109.7753,173.9297,102.0000,center,q2,0.0000,23.5125,74.2049,3.2860,41.0746
14,1.0400,107.6368,171.4348,99.0000,center,q2,0.0000,25.3655,72.4776,3.2860,41.0746
15,1.1200,105.4983,169.6527,96.0000,center,q2,0.0000,26.2612,71.5262,2.7837,34.7960
16,1.2000,102.6470,167.5143,107.0000,center,q2,0.0000,27.2604,70.6266,3.5641,44.5517
17,1.2800,100.1521,165.7322,108.0000,center,q2,0.0000,27.8938,70.0591,3.0660,38.3248
18,1.3600,97.3008,163.9501,101.0000,center,q2,0.0000,28.2130,69.7933,3.3624,42.0300
19,1.4400,94.4495,162.5245,106.0000,center,q2,0.0000,27.9960,69.9927,3.1879,39.8482
20,1.5200,91.2418,161.0988,113.0000,center,q2,0.0000,27.5823,70.5364,3.5103,43.8783
21,1.6000,88.0341,159.6732,106.0000,center,q2,0.0000,26.8850,71.2490,3.5103,43.8783
22,1.6800,84.8264,158.6039,109.0000,center,q2,0.0000,25.8123,72.3999,3.3812,42.2654
23,1.7600,81.6187,157.5347,105.0000,center,q2,0.0000,24.5512,73.6881,3.3812,42.2654
24,1.8400,78.4109,156.8219,109.0000,center,q2,0.0000,22.9465,75.3615,3.2860,41.0746
25,1.9200,75.2032,155.7526,108.0000,wall,q2,0.0000,21.4944,76.8928,3.3812,42.2654
26,2.0000,71.9955,155.0398,113.0000,wall,q2,0.0000,19.6577,78.7758,3.2860,41.0746
27,2.0800,68.7878,154.3270,104.0000,wall,q2,0.0000,17.8207,80.7487,3.2860,41.0746
28,2.1600,65.5801,153.6141,102.0000,wall,q2,0.0000,15.6984,82.8050,3.2860,41.0746
29,2.2400,62.7287,152.5449,99.0000,wall,q2,0.0000,14.1357,84.4406,3.0452,38.0650
30,2.3200,59.5210,151.8321,95.0000,wall,q2,0.0000,11.9757,86.6484,3.2860,41.0746
31,2.4000,56.6697,150.4064,91.0000,wall,q3,0.0000,10.3911,88.2373,3.1879,39.8482
32,2.4800,53.8184,148.6244,86.0000,wall,q3,0.0000,8.9317,89.7287,3.3624,42.0300
33,2.5600,51.3235,146.4859,87.0000,wall,q3,0.0000,7.9137,90.8356,3.2860,41.0746
34,2.6400,49.1850,144.3474,85.0000,wall,q3,0.0000,7.0205,91.7286,3.0243,37.8033
35,2.7200,47.0466,141.8525,90.0000,wall,q3,0.0000,6.2245,92.5609,3.2860,41.0746
36,2.8000,45.2645,140.0704,95.0000,wall,q3,0.0000,5.4287,93.4552,2.5202,31.5028
37,2.8800,44.9081,139.0012,86.0000,wall,q3,0.0000,5.5788,93.3626,1.1271,14.0885
38,2.9600,43.8388,136.5063,67.0000,wall,q3,0.0000,5.4287,93.4207,2.7144,33.9295
39,3.0400,43.4824,135.0807,84.0000,wall,q3,0.0000,5.6354,93.2505,1.4695,18.3691
40,3.1200,43.1260,132.9422,85.0000,wall,q3,0.0000,6.0590,92.8694,2.1680,27.0997
41,3.2000,42.4132,131.1601,89.0000,wall,q3,0.0000,5.9746,92.9854,1.9193,23.9918
42,3.2800,41.7004,128.6652,89.0000,wall,q3,0.0000,6.0904,92.9400,2.5947,32.4341
43,3.3600,40.6311,126.1703,93.0000,wall,q3,0.0000,5.6354,93.3121,2.7144,33.9295
44,3.4400,39.9183,123.6754,99.0000,wall,q3,0.0000,5.5330,93.4138,2.5947,32.4341
45,3.5200,39.5619,121.5369,96.0000,wall,q3,0.0000,5.7470,93.3089,2.1680,27.0997
