Track file,G:\Water Maze Data\xxx_0001\data\track_00284.trk
Object,0
Samples,1500
Name,7,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,136.1499,186.0478,81.0000,wall,q2,0.0000,14.2565,83.3914,-,-
2,0.0800,136.1499,185.3349,88.0000,wall,q2,0.0000,14.9694,82.6800,0.7128,8.9103
3,0.1600,135.0807,182.1272,86.0000,wall,q2,0.0000,18.1771,79.4164,3.3812,42.2654
4,0.2400,134.0114,180.3451,88.0000,center,q2,0.0000,19.9719,77.5875,2.0782,25.9779
5,0.3200,132.2293,178.5631,85.0000,center,q2,0.0000,21.8839,75.7564,2.5202,31.5028
6,0.4000,130.0909,177.4938,88.0000,center,q2,0.0000,22.9880,74.6819,2.3909,29.8862
7,0.4800,128.6652,177.4938,83.0000,center,q2,0.0000,22.8550,74.7124,1.4257,17.8207
8,0.5600,125.4575,176.7810,103.0000,center,q2,0.0000,23.5233,74.1693,3.2860,41.0746
9,0.6400,123.3190,177.1374,95.0000,center,q2,0.0000,22.9880,74.7135,2.1680,27.0997
10,0.7200,121.1805,177.8503,88.0000,center,q2,0.0000,21.9766,75.6695,2.2542,28.1769
11,0.8000,119.0421,178.9195,78.0000,center,q2,0.0000,20.5672,77.0320,2.3909,29.8862
12,0.8800,118.3292,179.2759,80.0000,wall,q2,0.0000,20.1145,77.4973,0.7970,9.9621
13,0.9600,116.5472,180.7016,83.0000,wall,q2,0.0000,18.4579,79.2093,2.2822,28.5270
14,1.0400,115.8343,181.7708,78.0000,wall,q2,0.0000,17.2888,80.3921,1.2851,16.0633
15,1.1200,115.1215,182.4836,78.0000,wall,q2,0.0000,16.4916,81.2283,1.0081,12.6011
16,1.2000,114.4087,183.1965,73.0000,wall,q2,0.0000,15.7186,82.0685,1.0081,12.6011
17,1.2800,114.0523,183.5529,68.0000,wall,q2,0.0000,15.3092,82.4900,0.5040,6.3006
18,1.3600,113.3394,184.2657,84.0000,wall,q2,0.0000,14.4424,83.3357,1.0081,12.6011
19,1.4400,112.6266,184.6221,90.0000,wall,q2,0.0000,13.9184,83.8372,0.7970,9.9621
20,1.5200,111.9138,185.6913,90.0000,wall,q2,0.0000,12.7215,85.0377,1.2851,16.0633
21,1.6000,110.4881,186.7606,82.0000,wall,q2,0.0000,11.3270,86.4070,1.7821,22.2758
22,1.6800,109.4189,187.4734,85.0000,wall,q2,0.0000,10.3789,87.3573,1.2851,16.0633
23,1.7600,107.6368,187.8298,82.0000,wall,q2,0.0000,9.5967,88.1576,1.8174,22.7170
24,1.8400,106.2112,187.8298,94.0000,wall,q2,0.0000,9.1634,88.5457,1.4257,17.8207
25,1.9200,104.0727,187.4734,82.0000,wall,q2,0.0000,9.0166,88.8276,2.1680,27.0997
26,2.0000,102.6470,186.4042,87.0000,wall,q2,0.0000,9.5967,88.2564,1.7821,22.2758
27,2.0800,101.2214,184.9785,81.0000,wall,q2,0.0000,10.3911,87.3825,2.0162,25.2022
28,2.1600,100.1521,183.1965,83.0000,wall,q2,0.0000,11.7238,86.0860,2.0782,25.9779
29,2.2400,99.4393,181.0580,74.0000,wall,q2,0.0000,13.5249,84.3567,2.2542,28.1769
30,2.3200,99.0829,179.6323,86.0000,wall,q2,0.0000,14.6953,83.1721,1.4695,18.3691
31,2.4000,98.7265,177.4938,79.0000,wall,q2,0.0000,16.5684,81.3418,2.1680,27.0997
32,2.4800,98.7265,176.4246,76.0000,wall,q2,0.0000,17.5332,80.3613,1.0692,13.3655
33,2.5600,98.7265,173.9297,79.0000,wall,q2,0.0000,19.7962,78.0825,2.4949,31.1862
34,2.6400,98.3701,172.5041,81.0000,wall,q2,0.0000,20.9830,76.9367,1.4695,18.3691
35,2.7200,98.3701,171.0784,87.0000,center,q2,0.0000,22.3150,75.6478,1.4257,17.8207
36,2.8000,97.6573,169.6527,84.0000,center,q2,0.0000,23.2735,74.6792,1.5939,19.9241
37,2.8800,97.3008,169.2963,91.0000,center,q2,0.0000,23.4313,74.5208,0.5040,6.3006
38,2.9600,96.5880,167.5143,109.0000,center,q2,0.0000,24.7059,73.2673,1.9193,23.9918
39,3.0400,95.1624,166.4450,100.0000,center,q2,0.0000,25.0125,73.0134,1.7821,22.2758
40,3.1200,94.4495,165.7322,107.0000,center,q2,0.0000,25.2450,72.7483,1.0081,12.6011
41,3.2000,93.0239,165.0194,115.0000,center,q2,0.0000,25.1240,72.8650,1.5939,19.9241
42,3.2800,91.9546,164.6630,110.0000,center,q2,0.0000,24.8903,73.1259,1.1271,14.0885
43,3.3600,89.8162,164.6630,114.0000,center,q2,0.0000,23.7837,74.2889,2.1385,26.7310
44,3.4400,88.0341,165.0194,103.0000,center,q2,0.0000,22.5556,75.5839,1.8174,22.7170
45,3.5200,86.6084,165.3758,101.0000,wall,q2,0.0000,21.4619,76.6933,1.4695,18.3691
46,3.6000,85.5392,166.0886,85.0000,wall,q2,0.0000,20.2623,77.8946,1.2851,16.0633
47,3.6800,85.1828,166.8014,92.0000,wall,q2,0.0000,19.4760,78.6816,0.7970,9.9621
48,3.7600,84.4700,167.8707,96.0000,wall,q2,0.0000,18.1911,79.9660,1.2851,16.0633
49,3.8400,84.4700,169.2963,95.0000,wall,q2,0.0000,17.0372,81.1300,1.4257,17.8207
50,3.9200,85.5392,170.3656,93.0000,wall,q2,0.0000,16.7059,81.4069,1.5121,18.9017
51,4.0000,86.9649,171.0784,96.0000,wall,q2,0.0000,16.8120,81.2181,1.5939,19.9241
52,4.0800,88.0341,171.4348,92.0000,wall,q2,0.0000,17.0670,80.9456,1.1271,14.0885
53,4.1600,90.1726,171.0784,99.0000,wall,q2,0.0000,18.4855,79.5257,2.1680,27.0997
54,4.2400,92.3111,170.3656,94.0000,wall,q2,0.0000,20.1744,77.8305,2.2542,28.1769
55,4.3200,93.7367,169.6527,99.0000,center,q2,0.0000,21.5180,76.5088,1.5939,19.9241
56,4.4000,95.5188,168.5835,95.0000,center,q2,0.0000,23.2735,74.7146,2.0782,25.9779
57,4.4800,96.2316,167.8707,93.0000,center,q2,0.0000,24.2282,73.7494,1.0081,12.6011
58,4.5600,99.0829,166.4450,92.0000,center,q2,0.0000,26.7785,71.1725,3.1879,39.8482
59,4.6400,100.8650,165.3758,90.0000,center,q2,0.0000,28.5331,69.4271,2.0782,25.9779
60,4.7200,102.2906,164.6630,84.0000,center,q2,0.0000,29.7194,68.1735,1.5939,19.9241
61,4.8000,104.0727,164.3065,89.0000,center,q2,0.0000,30.7694,67.1164,1.8174,22.7170
62,4.8800,104.7855,163.9501,84.0000,center,q2,0.0000,31.3725,66.5061,0.7970,9.9621
63,4.9600,106.9240,163.2373,80.0000,center,q2,0.0000,32.7997,65.0306,2.2542,28.1769
64,5.0400,107.9932,162.8809,74.0000,center,q2,0.0000,33.4744,64.3098,1.1271,14.0885
65,5.1200,108.7061,162.1681,67.0000,center,q2,0.0000,34.3805,63.3907,1.0081,12.6011
66,5.2000,109.0625,161.8117,78.0000,center,q2,0.0000,34.8356,62.9321,0.5040,6.3006
67,5.2800,109.4189,161.8117,85.0000,center,q2,0.0000,34.9576,62.8089,0.3564,4.4552
68,5.3600,110.4881,160.7424,103.0000,center,q2,0.0000,36.3367,61.4410,1.5121,18.9017
69,5.4400,111.2010,159.3168,103.0000,center,q2,0.0000,37.9241,59.8596,1.5939,19.9241
70,5.5200,111.9138,157.8911,112.0000,center,q2,0.0000,39.5121,58.2788,1.5939,19.9241
71,5.6000,111.9138,156.1090,97.0000,center,q2,0.0000,41.1731,56.5978,1.7821,22.2758
72,5.6800,111.9138,155.3962,95.0000,center,q2,0.0000,41.8403,55.9271,0.7128,8.9103
73,5.7600,111.9138,153.9706,105.0000,center,q2,0.0000,43.1790,54.5889,1.4257,17.8207
74,5.8400,111.5574,152.9013,109.0000,center,q2,0.0000,44.0700,53.7161,1.1271,14.0885
75,5.9200,110.4881,151.8321,98.0000,center,q2,0.0000,44.7437,53.1237,1.5121,18.9017
76,6.0000,109.7753,151.4757,102.0000,center,q2,0.0000,44.8075,53.0756,0.7970,9.9621
77,6.0800,109.0625,151.1193,102.0000,center,q2,0.0000,44.8373,53.0396,0.7970,9.9621
78,6.1600,107.6368,151.4757,100.0000,center,q2,0.0000,43.9488,53.9654,1.4695,18.3691
79,6.2400,106.9240,151.8321,102.0000,center,q2,0.0000,43.3508,54.5972,0.7970,9.9621
80,6.3200,106.5676,152.5449,105.0000,center,q2,0.0000,42.5567,55.3941,0.7970,9.9621
81,6.4000,105.8548,153.2577,109.0000,center,q2,0.0000,41.6028,56.3490,1.0081,12.6011
82,6.4800,105.8548,153.9706,108.0000,center,q2,0.0000,40.9643,56.9880,0.7128,8.9103
83,6.5600,105.4983,155.0398,102.0000,center,q2,0.0000,39.8434,58.1051,1.1271,14.0885
84,6.6400,105.8548,156.1090,111.0000,center,q2,0.0000,38.9861,58.9151,1.1271,14.0885
85,6.7200,106.2112,156.8219,107.0000,center,q2,0.0000,38.4695,59.4112,0.7970,9.9621
86,6.8000,106.9240,157.5347,103.0000,center,q2,0.0000,38.1112,59.7695,1.0081,12.6011
87,6.8800,107.2804,157.8911,102.0000,center,q2,0.0000,37.9241,59.9543,0.5040,6.3006
88,6.9600,107.9932,158.6039,99.0000,center,q2,0.0000,37.5319,60.3346,1.0081,12.6011
