Track file,G:\Water Maze Data\xxx_0001\data\track_00852.trk
Object,0
Samples,1500
Name,8,
Goal Position,NE,
Comment,,
Trial,3,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,66.2929,150.4064,15.0000,wall,q2,0.0000,18.2573,80.3016,-,-
2,0.0800,-,-,-,-,-,-,-,-,-,-
3,0.1600,65.2236,147.9115,20.0000,wall,q2,0.0000,18.8933,79.7281,-,-
4,0.2400,64.8672,146.4859,43.0000,wall,q3,0.0000,19.4564,79.2276,1.4695,18.3691
5,0.3200,65.2236,145.0602,69.0000,wall,q3,0.0000,20.4775,78.1508,1.4695,18.3691
6,0.4000,65.9365,143.6346,41.0000,wall,q3,0.0000,21.8461,76.7848,1.5939,19.9241
7,0.4800,55.9569,163.2373,40.0000,wall,q2,0.0000,2.2822,96.3230,21.9968,274.9599
8,0.5600,65.2236,142.9217,31.0000,wall,q3,0.0000,21.6505,77.0159,22.3292,279.1154
9,0.6400,65.2236,143.2782,56.0000,wall,q3,0.0000,21.4589,77.2021,0.3564,4.4552
10,0.7200,64.8672,142.9217,80.0000,wall,q3,0.0000,21.3521,77.3204,0.5040,6.3006
11,0.8000,64.1544,142.5653,87.0000,wall,q3,0.0000,20.9103,77.7479,0.7970,9.9621
12,0.8800,62.3723,141.4961,86.0000,wall,q3,0.0000,19.9400,78.7541,2.0782,25.9779
13,0.9600,60.9467,140.4269,84.0000,wall,q3,0.0000,19.2760,79.4875,1.7821,22.2758
14,1.0400,58.8082,139.7140,82.0000,wall,q3,0.0000,17.6955,81.0508,2.2542,28.1769
15,1.1200,56.6697,139.3576,76.0000,wall,q3,0.0000,15.9393,82.8027,2.1680,27.0997
16,1.2000,54.8877,139.3576,79.0000,wall,q3,0.0000,14.3454,84.4055,1.7821,22.2758
17,1.2800,53.8184,139.3576,79.0000,wall,q3,0.0000,13.3928,85.3706,1.0692,13.3655
18,1.3600,51.6799,139.7140,73.0000,wall,q3,0.0000,11.3214,87.4578,2.1680,27.0997
19,1.4400,49.8979,139.7140,70.0000,wall,q3,0.0000,9.7282,89.0767,1.7821,22.2758
20,1.5200,48.8286,139.7140,75.0000,wall,q3,0.0000,8.7666,90.0510,1.0692,13.3655
21,1.6000,47.4030,139.7140,74.0000,wall,q3,0.0000,7.4932,91.3534,1.4257,17.8207
22,1.6800,46.6901,139.7140,66.0000,wall,q3,0.0000,6.8557,92.0059,0.7128,8.9103
23,1.7600,46.3337,140.0704,68.0000,wall,q3,0.0000,6.3757,92.4755,0.5040,6.3006
24,1.8400,46.6901,140.0704,63.0000,wall,q3,0.0000,6.6964,92.1494,0.3564,4.4552
25,1.9200,47.0466,140.4269,53.0000,wall,q3,0.0000,6.8557,91.9687,0.5040,6.3006
26,2.0000,47.0466,140.7833,55.0000,wall,q3,0.0000,6.6964,92.1151,0.3564,4.4552
27,2.0800,47.4030,141.1397,64.0000,wall,q3,0.0000,6.8557,91.9384,0.5040,6.3006
28,2.1600,47.7594,141.1397,73.0000,wall,q3,0.0000,7.1727,91.6146,0.3564,4.4552
29,2.2400,47.7594,141.1397,71.0000,wall,q3,0.0000,7.1727,91.6146,0.0000,0.0000
30,2.3200,48.1158,140.4269,70.0000,wall,q3,0.0000,7.8168,90.9940,0.7970,9.9621
31,2.4000,48.1158,140.4269,63.0000,wall,q3,0.0000,7.8168,90.9940,0.0000,0.0000
32,2.4800,47.7594,140.4269,50.0000,wall,q3,0.0000,7.4932,91.3187,0.3564,4.4552
33,2.5600,47.7594,140.4269,47.0000,wall,q3,0.0000,7.4932,91.3187,0.0000,0.0000
