Track file,G:\Water Maze Data\xxx_0001\data\track_00183.trk
Object,0
Samples,553
Name,8,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,197.8094,77.6981,81.0000,center,q1,0.0000,27.4716,71.4002,-,-
2,0.0800,196.0273,79.8366,72.0000,center,q1,0.0000,29.8729,68.9934,2.7837,34.7960
3,0.1600,194.6017,82.3315,77.0000,center,q1,0.0000,32.1049,66.8445,2.8735,35.9187
4,0.2400,193.1760,84.4700,85.0000,center,q1,0.0000,34.1451,64.8518,2.5701,32.1267
5,0.3200,191.7504,87.3213,84.0000,center,q1,0.0000,36.2246,62.7211,3.1879,39.8482
6,0.4000,189.9683,89.4597,80.0000,center,q1,0.0000,38.4695,60.4879,2.7837,34.7960
7,0.4800,188.5427,91.5982,84.0000,center,q1,0.0000,40.3692,58.6520,2.5701,32.1267
8,0.5600,186.4042,93.7367,76.0000,center,q1,0.0000,42.7948,56.1694,3.0243,37.8033
9,0.6400,184.6221,95.5188,73.0000,center,q1,0.0000,44.8246,54.1426,2.5202,31.5028
10,0.7200,182.8400,97.3008,70.0000,center,q1,0.0000,46.8789,52.1589,2.5202,31.5028
11,0.8000,181.0580,99.0829,83.0000,center,q1,0.0000,48.8286,50.2233,2.5202,31.5028
12,0.8800,178.9195,100.8650,82.0000,center,q1,0.0000,50.9983,47.9856,2.7837,34.7960
13,0.9600,177.1374,102.6470,80.0000,center,q1,0.0000,52.8694,46.1641,2.5202,31.5028
14,1.0400,175.3554,104.0727,87.0000,center,q1,0.0000,54.5883,44.3995,2.2822,28.5270
15,1.1200,173.2169,105.8548,90.0000,center,q1,0.0000,56.6742,42.3523,2.7837,34.7960
16,1.2000,171.4348,107.6368,97.0000,center,q1,0.0000,58.2439,40.7472,2.5202,31.5028
17,1.2800,169.6527,109.7753,91.0000,center,q1,0.0000,59.6819,39.3000,2.7837,34.7960
18,1.3600,167.8707,111.5574,97.0000,center,q1,0.0000,61.0290,37.9181,2.5202,31.5028
19,1.4400,165.7322,113.6959,94.0000,center,q1,0.0000,62.4893,36.4212,3.0243,37.8033
20,1.5200,163.9501,115.1215,97.0000,center,q1,0.0000,63.6694,35.1973,2.2822,28.5270
21,1.6000,162.1681,116.9036,91.0000,center,q1,0.0000,64.5541,34.2275,2.5202,31.5028
22,1.6800,160.0296,117.9728,98.0000,center,q1,0.0000,65.9596,32.7711,2.3909,29.8862
23,1.7600,157.8911,118.6856,102.0000,center,q1,0.0000,67.4177,31.2468,2.2542,28.1769
24,1.8400,155.0398,119.7549,94.0000,center,q1,0.0000,69.1378,29.4290,3.0452,38.0650
25,1.9200,152.9013,120.1113,93.0000,center,q1,0.0000,70.5680,27.9269,2.1680,27.0997
26,2.0000,150.4064,120.4677,103.0000,center,q1,0.0000,72.1224,26.2522,2.5202,31.5028
27,2.0800,147.9115,120.8241,105.0000,center,q1,0.0000,73.5292,24.7213,2.5202,31.5028
28,2.1600,145.0602,121.5369,99.0000,center,q2,0.0000,74.6956,23.4278,2.9391,36.7382
29,2.2400,142.9217,121.8934,105.0000,center,q2,0.0000,75.4898,22.5091,2.1680,27.0997
30,2.3200,140.4269,122.6062,107.0000,center,q2,0.0000,75.9595,21.9310,2.5947,32.4341
31,2.4000,137.5755,123.3190,100.0000,center,q2,0.0000,76.1800,21.5386,2.9391,36.7382
32,2.4800,135.0807,124.0318,103.0000,center,q2,0.0000,76.0105,21.6086,2.5947,32.4341
33,2.5600,132.5858,125.1011,100.0000,center,q2,0.0000,75.2336,22.3422,2.7144,33.9295
34,2.6400,130.4473,125.8139,109.0000,center,q2,0.0000,74.5594,23.0028,2.2542,28.1769
35,2.7200,127.9524,126.8831,96.0000,center,q2,0.0000,73.3597,24.2549,2.7144,33.9295
36,2.8000,125.4575,127.9524,99.0000,center,q2,0.0000,71.9293,25.7334,2.7144,33.9295
37,2.8800,122.9626,128.6652,95.0000,center,q2,0.0000,70.6472,27.0611,2.5947,32.4341
38,2.9600,120.8241,129.0216,105.0000,center,q2,0.0000,69.6713,28.1014,2.1680,27.0997
39,3.0400,119.0421,129.0216,104.0000,center,q2,0.0000,69.0835,28.7930,1.7821,22.2758
40,3.1200,116.9036,128.3088,99.0000,center,q2,0.0000,68.8579,29.1169,2.2542,28.1769
41,3.2000,114.7651,126.5267,94.0000,center,q2,0.0000,69.3203,28.7204,2.7837,34.7960
42,3.2800,113.3394,125.4575,96.0000,center,q2,0.0000,69.4311,28.6976,1.7821,22.2758
43,3.3600,111.2010,123.6754,94.0000,center,q2,0.0000,69.5079,28.7407,2.7837,34.7960
44,3.4400,109.7753,121.8934,101.0000,center,q2,0.0000,69.8470,28.5179,2.2822,28.5270
45,3.5200,107.9932,120.1113,101.0000,center,q2,0.0000,69.7451,28.7609,2.5202,31.5028
46,3.6000,106.2112,118.3292,96.0000,center,q3,0.0000,69.4055,29.2200,2.5202,31.5028
47,3.6800,104.4291,116.1907,94.0000,center,q3,0.0000,69.0127,29.7232,2.7837,34.7960
48,3.7600,103.0035,114.4087,95.0000,center,q3,0.0000,68.5389,30.2770,2.2822,28.5270
49,3.8400,101.2214,112.6266,97.0000,center,q3,0.0000,67.5392,31.3277,2.5202,31.5028
50,3.9200,99.4393,110.8445,97.0000,center,q3,0.0000,66.3896,32.5400,2.5202,31.5028
51,4.0000,98.0137,109.0625,93.0000,center,q3,0.0000,65.4288,33.5465,2.2822,28.5270
52,4.0800,96.2316,107.6368,95.0000,center,q3,0.0000,63.8696,35.0748,2.2822,28.5270
53,4.1600,94.0931,105.4983,89.0000,center,q3,0.0000,62.0251,36.9779,3.0243,37.8033
54,4.2400,92.3111,104.4291,93.0000,center,q3,0.0000,60.2718,38.6962,2.0782,25.9779
55,4.3200,90.8854,103.3599,88.0000,center,q3,0.0000,58.8956,40.0919,1.7821,22.2758
56,4.4000,88.7469,102.2906,92.0000,center,q3,0.0000,56.7604,42.2300,2.3909,29.8862
57,4.4800,86.6084,101.2214,95.0000,center,q3,0.0000,54.5732,44.3939,2.3909,29.8862
58,4.5600,84.4700,100.5086,97.0000,center,q3,0.0000,52.4122,46.5610,2.2542,28.1769
59,4.6400,82.3315,99.7957,101.0000,center,q3,0.0000,50.2593,48.7359,2.2542,28.1769
60,4.7200,80.5494,98.7265,107.0000,center,q3,0.0000,48.4722,50.5899,2.0782,25.9779
61,4.8000,79.1238,97.6573,107.0000,center,q3,0.0000,46.9344,52.1060,1.7821,22.2758
62,4.8800,78.0545,96.2316,105.0000,center,q3,0.0000,45.6501,53.3273,1.7821,22.2758
63,4.9600,76.9853,94.0931,99.0000,center,q3,0.0000,44.2556,54.6887,2.3909,29.8862
64,5.0400,76.2725,92.3111,100.0000,center,q3,0.0000,43.3024,55.7010,1.9193,23.9918
65,5.1200,75.9160,90.1726,106.0000,center,q3,0.0000,42.4491,56.4909,2.1680,27.0997
66,5.2000,75.9160,88.0341,104.0000,center,q3,0.0000,41.9252,57.0077,2.1385,26.7310
67,5.2800,75.9160,85.5392,104.0000,center,q3,0.0000,41.2347,57.7050,2.4949,31.1862
68,5.3600,75.9160,83.4007,101.0000,center,q3,0.0000,40.4698,58.3810,2.1385,26.7310
69,5.4400,76.2725,80.9058,101.0000,center,q3,0.0000,39.9215,58.9264,2.5202,31.5028
70,5.5200,76.9853,78.7673,96.0000,center,q3,0.0000,39.6901,59.1028,2.2542,28.1769
71,5.6000,78.0545,76.6289,99.0000,center,q3,0.0000,39.6901,59.0445,2.3909,29.8862
72,5.6800,79.4802,74.8468,97.0000,center,q3,0.0000,40.0993,58.5996,2.2822,28.5270
73,5.7600,80.9058,73.7776,97.0000,center,q3,0.0000,40.7700,57.8799,1.7821,22.2758
74,5.8400,83.0443,72.3519,101.0000,center,q3,0.0000,41.8236,56.7922,2.5701,32.1267
75,5.9200,85.1828,71.2827,99.0000,center,q3,0.0000,42.9844,55.5988,2.3909,29.8862
76,6.0000,87.3213,70.5698,99.0000,center,q3,0.0000,44.2656,54.2717,2.2542,28.1769
77,6.0800,89.4597,69.5006,102.0000,center,q3,0.0000,45.2659,53.2296,2.3909,29.8862
78,6.1600,91.9546,68.7878,99.0000,center,q3,0.0000,46.6248,51.7733,2.5947,32.4341
79,6.2400,94.0931,68.0749,101.0000,center,q3,0.0000,47.6862,50.6675,2.2542,28.1769
80,6.3200,96.5880,67.7185,109.0000,center,q3,0.0000,49.1605,49.1353,2.5202,31.5028
81,6.4000,99.0829,67.0057,100.0000,center,q3,0.0000,50.2593,47.9529,2.5947,32.4341
82,6.4800,101.2214,66.2929,103.0000,center,q3,0.0000,51.0456,47.1086,2.2542,28.1769
83,6.5600,103.7163,65.9365,98.0000,center,q3,0.0000,52.2519,45.8601,2.5202,31.5028
84,6.6400,106.2112,65.2236,104.0000,center,q4,0.0000,53.0050,45.0161,2.5947,32.4341
85,6.7200,109.0625,64.8672,100.0000,center,q4,0.0000,54.1584,43.8211,2.8735,35.9187
86,6.8000,111.5574,64.5108,101.0000,center,q4,0.0000,54.9905,42.9461,2.5202,31.5028
87,6.8800,114.0523,64.1544,103.0000,center,q4,0.0000,55.6610,42.2035,2.5202,31.5028
88,6.9600,116.5472,64.1544,98.0000,center,q4,0.0000,56.4856,41.2666,2.4949,31.1862
89,7.0400,119.0421,64.5108,102.0000,center,q4,0.0000,57.5803,40.1215,2.5202,31.5028
90,7.1200,121.5369,64.8672,90.0000,center,q4,0.0000,58.6124,39.1056,2.5202,31.5028
91,7.2000,123.6754,65.5801,91.0000,center,q4,0.0000,59.6819,37.9455,2.2542,28.1769
92,7.2800,126.5267,65.9365,88.0000,center,q4,0.0000,60.4738,37.1478,2.8735,35.9187
93,7.3600,128.6652,66.6493,85.0000,center,q4,0.0000,61.3197,36.2414,2.2542,28.1769
94,7.4400,130.8037,67.3621,99.0000,center,q4,0.0000,62.1183,35.4554,2.2542,28.1769
95,7.5200,133.2986,68.4314,91.0000,center,q4,0.0000,63.1013,34.4643,2.7144,33.9295
96,7.6000,135.4371,69.8570,89.0000,center,q4,0.0000,64.3363,33.2609,2.5701,32.1267
97,7.6800,137.5755,71.2827,94.0000,center,q4,0.0000,65.4288,32.2181,2.5701,32.1267
98,7.7600,139.3576,72.7083,90.0000,center,q4,0.0000,66.4355,31.2543,2.2822,28.5270
99,7.8400,141.4961,74.4904,93.0000,center,q4,0.0000,67.5392,30.2180,2.7837,34.7960
100,7.9200,143.2782,76.2725,97.0000,center,q4,0.0000,68.6130,29.2578,2.5202,31.5028
101,8.0000,144.7038,78.0545,101.0000,center,q4,0.0000,69.6549,28.3144,2.2822,28.5270
102,8.0800,146.4859,80.1930,98.0000,center,q4,0.0000,70.6031,27.4314,2.7837,34.7960
103,8.1600,148.2679,81.9751,102.0000,center,q4,0.0000,71.0694,27.0829,2.5202,31.5028
104,8.2400,150.0500,84.1135,101.0000,center,q4,0.0000,71.6001,26.7157,2.7837,34.7960
105,8.3200,151.8321,85.8956,95.0000,center,q4,0.0000,71.5814,26.8591,2.5202,31.5028
106,8.4000,153.9706,87.3213,100.0000,center,q4,0.0000,70.8573,27.7305,2.5701,32.1267
107,8.4800,155.7526,89.1033,92.0000,center,q1,0.0000,70.3544,28.3208,2.5202,31.5028
108,8.5600,157.8911,90.8854,93.0000,center,q1,0.0000,69.3359,29.4434,2.7837,34.7960
109,8.6400,159.3168,92.3111,101.0000,center,q1,0.0000,68.6334,30.2276,2.0162,25.2022
110,8.7200,161.4552,94.0931,96.0000,center,q1,0.0000,67.2479,31.7054,2.7837,34.7960
111,8.8000,163.2373,95.8752,104.0000,center,q1,0.0000,65.9596,33.0020,2.5202,31.5028
112,8.8800,165.3758,96.9444,104.0000,center,q1,0.0000,64.0642,34.8998,2.3909,29.8862
113,8.9600,167.5143,98.3701,106.0000,center,q1,0.0000,62.1683,36.8102,2.5701,32.1267
114,9.0400,169.6527,99.0829,108.0000,center,q1,0.0000,60.1843,38.8589,2.2542,28.1769
115,9.1200,171.7912,99.7957,110.0000,center,q1,0.0000,58.0997,40.9292,2.2542,28.1769
116,9.2000,174.2861,100.1521,101.0000,center,q1,0.0000,55.6108,43.3944,2.5202,31.5028
117,9.2800,176.4246,100.5086,101.0000,center,q1,0.0000,53.4810,45.5095,2.1680,27.0997
118,9.3600,178.5631,100.5086,104.0000,center,q1,0.0000,51.3433,47.6454,2.1385,26.7310
119,9.4400,179.9887,100.5086,99.0000,center,q1,0.0000,49.9182,49.0694,1.4257,17.8207
120,9.5200,181.7708,100.5086,87.0000,center,q1,0.0000,48.1369,50.8496,1.7821,22.2758
121,9.6000,183.1965,100.8650,82.0000,center,q1,0.0000,46.7241,52.2593,1.4695,18.3691
122,9.6800,184.6221,101.2214,81.0000,center,q1,0.0000,45.3150,53.6722,1.4695,18.3691
123,9.7600,185.6913,102.2906,87.0000,center,q1,0.0000,44.3115,54.7202,1.5121,18.9017
124,9.8400,186.0478,103.7163,89.0000,center,q1,0.0000,43.9315,55.0815,1.4695,18.3691
125,9.9200,186.4042,105.1419,92.0000,center,q1,0.0000,43.5058,55.4793,1.4695,18.3691
126,10.0000,185.6913,106.5676,98.0000,center,q1,0.0000,44.1953,54.8461,1.5939,19.9241
127,10.0800,184.9785,107.6368,105.0000,center,q1,0.0000,44.8713,54.2195,1.2851,16.0633
128,10.1600,183.5529,109.0625,97.0000,center,q1,0.0000,46.0656,52.9488,2.0162,25.2022
129,10.2400,182.1272,110.4881,105.0000,center,q1,0.0000,47.2312,51.7255,2.0162,25.2022
130,10.3200,180.3451,111.5574,105.0000,center,q1,0.0000,48.8494,50.1392,2.0782,25.9779
131,10.4000,178.2067,112.9830,91.0000,center,q1,0.0000,50.6559,48.3146,2.5701,32.1267
132,10.4800,176.4246,114.4087,94.0000,center,q1,0.0000,52.0412,46.9058,2.2822,28.5270
133,10.5600,174.9989,116.1907,102.0000,center,q1,0.0000,52.9475,46.0117,2.2822,28.5270
134,10.6400,173.2169,117.6164,97.0000,center,q1,0.0000,54.1115,44.7606,2.2822,28.5270
135,10.7200,171.7912,119.7549,100.0000,center,q1,0.0000,54.6720,44.1923,2.5701,32.1267
136,10.8000,170.0092,121.5369,100.0000,center,q1,0.0000,55.4690,43.2921,2.5202,31.5028
137,10.8800,168.5835,123.6754,101.0000,center,q1,0.0000,55.6884,43.0066,2.5701,32.1267
138,10.9600,166.4450,125.1011,102.0000,center,q1,0.0000,56.7492,41.8903,2.5701,32.1267
139,11.0400,164.6630,126.8831,99.0000,center,q1,0.0000,57.1741,41.4022,2.5202,31.5028
140,11.1200,163.2373,129.0216,99.0000,center,q1,0.0000,56.9570,41.5647,2.5701,32.1267
141,11.2000,162.1681,130.8037,92.0000,center,q1,0.0000,56.4732,41.9087,2.0782,25.9779
142,11.2800,161.4552,132.9422,90.0000,center,q1,0.0000,55.4815,42.8561,2.2542,28.1769
143,11.3600,160.3860,134.7242,95.0000,center,q1,0.0000,54.8564,43.3953,2.0782,25.9779
144,11.4400,159.6732,136.5063,91.0000,center,q1,0.0000,53.9610,44.2563,1.9193,23.9918
145,11.5200,158.9603,137.9320,89.0000,center,q1,0.0000,53.2489,44.9033,1.5939,19.9241
146,11.6000,158.2475,139.3576,88.0000,center,q2,0.0000,52.5392,45.5968,1.5939,19.9241
147,11.6800,157.1783,140.4269,82.0000,center,q2,0.0000,52.2617,45.8386,1.5121,18.9017
148,11.7600,155.7526,141.1397,80.0000,center,q2,0.0000,52.3879,45.6357,1.5939,19.9241
149,11.8400,153.6141,142.2089,83.0000,center,q2,0.0000,52.5682,45.4346,2.3909,29.8862
150,11.9200,151.8321,142.5653,87.0000,center,q2,0.0000,53.0781,44.8887,1.8174,22.7170
151,12.0000,150.0500,142.5653,93.0000,center,q2,0.0000,53.8196,44.0889,1.7821,22.2758
152,12.0800,147.9115,142.5653,96.0000,center,q2,0.0000,54.6662,43.2066,2.1385,26.7310
153,12.1600,145.7731,142.5653,106.0000,center,q2,0.0000,55.3589,42.4140,2.1385,26.7310
154,12.2400,143.6346,142.2089,101.0000,center,q2,0.0000,56.3640,41.3765,2.1680,27.0997
155,12.3200,141.4961,142.2089,101.0000,center,q2,0.0000,56.9425,40.7730,2.1385,26.7310
