Track file,G:\Water Maze Data\xxx_0001\data\track_00511.trk
Object,0
Samples,1256
Name,9,
Goal Position,SW,
Comment,,
Trial,5,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,203.1556,137.2191,79.0000,wall,q1,0.0000,18.8090,79.9608,-,-
2,0.0800,204.2248,136.1499,86.0000,wall,q1,0.0000,18.3302,80.4786,1.5121,18.9017
3,0.1600,205.6505,134.7242,77.0000,wall,q1,0.0000,17.6955,81.2077,2.0162,25.2022
4,0.2400,207.4326,132.9422,77.0000,wall,q1,0.0000,16.6868,82.1796,2.5202,31.5028
5,0.3200,208.5018,131.5165,73.0000,wall,q1,0.0000,16.2315,82.6696,1.7821,22.2758
6,0.4000,209.9275,130.4473,70.0000,wall,q1,0.0000,15.2260,83.6488,1.7821,22.2758
7,0.4800,210.9967,129.0216,70.0000,wall,q1,0.0000,14.7686,84.2043,1.7821,22.2758
8,0.5600,212.7788,127.5960,68.0000,wall,q1,0.0000,13.5718,85.4755,2.2822,28.5270
9,0.6400,214.5608,125.4575,64.0000,wall,q1,0.0000,12.3722,86.5991,2.7837,34.7960
10,0.7200,215.2737,123.3190,60.0000,wall,q1,0.0000,12.1912,86.7572,2.2542,28.1769
11,0.8000,215.9865,121.1805,68.0000,wall,q1,0.0000,12.0233,86.9735,2.2542,28.1769
12,0.8800,216.3429,119.0421,56.0000,wall,q1,0.0000,12.1651,86.8974,2.1680,27.0997
13,0.9600,216.6993,116.1907,69.0000,wall,q1,0.0000,12.2016,86.7626,2.8735,35.9187
14,1.0400,217.0557,113.6959,57.0000,wall,q1,0.0000,12.2484,86.7668,2.5202,31.5028
15,1.1200,217.7685,110.8445,63.0000,wall,q1,0.0000,11.9545,87.1653,2.9391,36.7382
16,1.2000,218.8378,107.9932,63.0000,wall,q1,0.0000,11.0488,88.0165,3.0452,38.0650
