Track file,G:\Water Maze Data\xxx_0001\data\track_00517.trk
Object,0
Samples,898
Name,6,
Goal Position,SW,
Comment,,
Trial,5,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,218.8378,141.4961,69.0000,wall,q1,0.0000,2.8735,96.0009,-,-
2,0.0800,218.4814,142.9217,73.0000,wall,q1,0.0000,2.5701,96.2600,1.4695,18.3691
3,0.1600,218.1250,144.3474,98.0000,wall,q1,0.0000,2.2542,96.5407,1.4695,18.3691
4,0.2400,217.7685,145.4166,81.0000,wall,q1,0.0000,2.0782,96.6854,1.1271,14.0885
5,0.3200,217.4121,145.0602,109.0000,wall,q1,0.0000,2.5701,96.2086,0.5040,6.3006
6,0.4000,218.4814,143.9910,102.0000,wall,q1,0.0000,2.0782,96.7103,1.5121,18.9017
7,0.4800,220.2634,141.1397,132.0000,wall,q1,0.0000,1.7821,97.1663,3.3624,42.0300
8,0.5600,204.5813,146.1295,86.0000,wall,q1,0.0000,13.2641,85.4051,16.4569,205.7110
9,0.6400,204.9377,145.0602,100.0000,wall,q1,0.0000,13.5484,85.1772,1.1271,14.0885
10,0.7200,205.6505,143.9910,98.0000,wall,q1,0.0000,13.4496,85.2755,1.2851,16.0633
11,0.8000,206.3633,142.9217,101.0000,wall,q1,0.0000,13.4354,85.3931,1.2851,16.0633
12,0.8800,207.4326,141.4961,89.0000,wall,q1,0.0000,13.0712,85.6856,1.7821,22.2758
13,0.9600,207.7890,140.7833,85.0000,wall,q1,0.0000,13.0712,85.6856,0.7970,9.9621
14,1.0400,208.5018,140.0704,90.0000,wall,q1,0.0000,12.7514,86.0141,1.0081,12.6011
15,1.1200,209.2146,139.0012,98.0000,wall,q1,0.0000,12.5961,86.2029,1.2851,16.0633
16,1.2000,209.5710,138.2884,95.0000,wall,q1,0.0000,12.5961,86.2309,0.7970,9.9621
17,1.2800,209.9275,136.1499,90.0000,wall,q1,0.0000,13.2306,85.7017,2.1680,27.0997
18,1.3600,210.2839,134.3678,89.0000,wall,q1,0.0000,13.5249,85.3555,1.8174,22.7170
19,1.4400,210.2839,132.2293,86.0000,wall,q1,0.0000,14.3143,84.5884,2.1385,26.7310
20,1.5200,210.2839,130.0909,90.0000,wall,q1,0.0000,15.0244,83.8688,2.1385,26.7310
21,1.6000,210.2839,127.9524,94.0000,wall,q1,0.0000,15.7791,83.1979,2.1385,26.7310
22,1.6800,210.2839,126.1703,89.0000,wall,q1,0.0000,16.3523,82.6770,1.7821,22.2758
23,1.7600,210.2839,124.7447,89.0000,wall,q1,0.0000,16.6945,82.2857,1.4257,17.8207
24,1.8400,210.9967,122.9626,84.0000,wall,q1,0.0000,16.4298,82.5199,1.9193,23.9918
25,1.9200,211.7095,121.1805,87.0000,wall,q1,0.0000,16.1648,82.7979,1.9193,23.9918
26,2.0000,212.4223,119.3985,87.0000,wall,q1,0.0000,15.9114,83.1194,1.9193,23.9918
27,2.0800,212.4223,117.9728,88.0000,wall,q1,0.0000,16.1805,82.8468,1.4257,17.8207
28,2.1600,212.7788,116.1907,84.0000,wall,q1,0.0000,16.1018,82.8911,1.8174,22.7170
29,2.2400,212.4223,114.4087,97.0000,wall,q1,0.0000,16.7059,82.2694,1.8174,22.7170
30,2.3200,212.4223,112.6266,95.0000,wall,q1,0.0000,16.9924,82.0373,1.7821,22.2758
31,2.4000,211.7095,110.4881,86.0000,wall,q1,0.0000,17.9945,81.0995,2.2542,28.1769
32,2.4800,210.6403,108.7061,85.0000,wall,q1,0.0000,19.2463,79.8840,2.0782,25.9779
33,2.5600,209.5710,106.5676,90.0000,wall,q1,0.0000,20.3156,78.6868,2.3909,29.8862
34,2.6400,208.5018,104.7855,87.0000,wall,q1,0.0000,21.4589,77.5531,2.0782,25.9779
35,2.7200,207.4326,102.6470,87.0000,center,q1,0.0000,22.7351,76.4591,2.3909,29.8862
36,2.8000,207.0761,100.5086,90.0000,center,q1,0.0000,22.8550,76.1375,2.1680,27.0997
37,2.8800,206.7197,98.3701,87.0000,center,q1,0.0000,23.1669,75.8765,2.1680,27.0997
38,2.9600,207.0761,95.5188,78.0000,center,q1,0.0000,22.6344,76.4517,2.8735,35.9187
39,3.0400,207.0761,93.7367,86.0000,center,q1,0.0000,22.3832,76.6423,1.7821,22.2758
40,3.1200,207.4326,91.9546,85.0000,wall,q1,0.0000,21.7412,77.2267,1.8174,22.7170
41,3.2000,207.7890,90.1726,84.0000,wall,q1,0.0000,21.1368,77.8491,1.8174,22.7170
42,3.2800,208.1454,88.0341,86.0000,wall,q1,0.0000,20.4682,78.5749,2.1680,27.0997
