Track file,G:\Water Maze Data\xxx_0001\data\track_00139.trk
Object,0
Samples,257
Name,6,
Goal Position,NE,
Comment,,
Trial,4,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,49.8979,67.7185,72.0000,wall,q3,0.0000,10.5248,88.3470,-,-
2,0.0800,53.8184,67.0057,91.0000,wall,q3,0.0000,13.7115,85.0611,3.9848,49.8103
3,0.1600,57.0261,67.3621,88.0000,wall,q3,0.0000,16.7363,82.0079,3.2275,40.3432
4,0.2400,59.8774,67.7185,85.0000,wall,q3,0.0000,19.4466,79.2880,2.8735,35.9187
5,0.3200,61.6595,68.4314,94.0000,wall,q3,0.0000,21.3610,77.3746,1.9193,23.9918
6,0.4000,63.7980,69.1442,88.0000,wall,q3,0.0000,23.5907,75.1428,2.2542,28.1769
7,0.4800,66.2929,69.5006,88.0000,center,q3,0.0000,25.9815,72.7571,2.5202,31.5028
8,0.5600,68.7878,69.8570,88.0000,center,q3,0.0000,28.3746,70.3808,2.5202,31.5028
9,0.6400,70.9263,70.2134,83.0000,center,q3,0.0000,30.3789,68.3278,2.1680,27.0997
10,0.7200,73.4211,70.5698,79.0000,center,q3,0.0000,32.7144,65.9710,2.5202,31.5028
11,0.8000,75.5596,70.9263,90.0000,center,q3,0.0000,34.7206,63.9354,2.1680,27.0997
12,0.8800,77.3417,71.2827,82.0000,center,q3,0.0000,36.4310,62.2158,1.8174,22.7170
13,0.9600,79.4802,71.9955,83.0000,center,q3,0.0000,38.6376,60.0129,2.2542,28.1769
14,1.0400,81.2622,73.0647,85.0000,center,q3,0.0000,40.7154,57.9347,2.0782,25.9779
15,1.1200,83.0443,74.1340,89.0000,center,q3,0.0000,42.7934,55.8565,2.0782,25.9779
16,1.2000,85.1828,75.2032,89.0000,center,q3,0.0000,45.1760,53.4727,2.3909,29.8862
17,1.2800,87.3213,76.2725,91.0000,center,q3,0.0000,47.5475,51.0896,2.3909,29.8862
18,1.3600,89.4597,76.9853,102.0000,center,q3,0.0000,49.7257,48.8947,2.2542,28.1769
19,1.4400,91.9546,77.6981,83.0000,center,q3,0.0000,52.2118,46.4053,2.5947,32.4341
20,1.5200,93.7367,78.0545,89.0000,center,q3,0.0000,53.8927,44.7189,1.8174,22.7170
21,1.6000,95.8752,78.7673,86.0000,center,q3,0.0000,56.0284,42.5475,2.2542,28.1769
22,1.6800,98.0137,79.4802,80.0000,center,q3,0.0000,58.1729,40.3853,2.2542,28.1769
23,1.7600,100.1521,80.5494,81.0000,center,q3,0.0000,60.5116,38.0239,2.3909,29.8862
24,1.8400,101.9342,81.2622,84.0000,center,q3,0.0000,62.3428,36.1649,1.9193,23.9918
25,1.9200,104.0727,82.3315,90.0000,center,q3,0.0000,64.6799,33.8131,2.3909,29.8862
26,2.0000,106.2112,83.0443,92.0000,center,q3,0.0000,66.7864,31.6882,2.2542,28.1769
27,2.0800,108.7061,83.7571,95.0000,center,q3,0.0000,69.0707,29.3109,2.5947,32.4341
28,2.1600,110.8445,84.8264,87.0000,center,q3,0.0000,71.3584,26.9972,2.3909,29.8862
29,2.2400,113.3394,85.5392,92.0000,center,q3,0.0000,73.6086,24.6879,2.5947,32.4341
30,2.3200,115.4779,86.9649,87.0000,center,q3,0.0000,76.0798,22.1678,2.5701,32.1267
31,2.4000,117.2600,88.0341,90.0000,center,q3,0.0000,78.0545,20.1644,2.0782,25.9779
32,2.4800,119.0421,89.4597,93.0000,center,q3,0.0000,80.2658,17.9104,2.2822,28.5270
33,2.5600,120.8241,90.8854,88.0000,center,q3,0.0000,82.4741,15.6646,2.2822,28.5270
34,2.6400,122.6062,92.6675,87.0000,center,q3,0.0000,84.9685,13.1541,2.5202,31.5028
35,2.7200,124.3883,94.8059,83.0000,center,q3,0.0000,87.7161,10.3704,2.7837,34.7960
36,2.8000,126.1703,96.5880,81.0000,center,q3,0.0000,90.1585,7.8660,2.5202,31.5028
37,2.8800,127.9524,98.0137,87.0000,center,q3,0.0000,92.2085,5.6746,2.2822,28.5270
38,2.9600,129.7345,99.7957,85.0000,center,q4,0.0000,94.4092,3.2656,2.5202,31.5028
39,3.0400,131.5165,101.2214,83.0000,center,q4,0.0000,95.9255,1.6855,2.2822,28.5270
40,3.1200,133.2986,102.6470,90.0000,center,q1,0.0000,96.5512,2.3312,2.2822,28.5270
41,3.2000,135.0807,104.4291,89.0000,center,q1,0.0000,94.2779,4.4120,2.5202,31.5028
42,3.2800,136.5063,105.8548,91.0000,center,q1,0.0000,92.2622,6.3117,2.0162,25.2022
43,3.3600,138.2884,107.6368,96.0000,center,q1,0.0000,89.7426,8.7598,2.5202,31.5028
44,3.4400,139.7140,109.7753,97.0000,center,q1,0.0000,87.2361,11.1719,2.5701,32.1267
45,3.5200,141.1397,111.5574,99.0000,center,q1,0.0000,84.9730,13.4067,2.2822,28.5270
46,3.6000,142.5653,112.6266,98.0000,center,q1,0.0000,83.2055,15.1853,1.7821,22.2758
47,3.6800,144.7038,114.4087,99.0000,center,q1,0.0000,80.4271,17.9689,2.7837,34.7960
48,3.7600,146.1295,115.1215,108.0000,center,q1,0.0000,78.9027,19.5217,1.5939,19.9241
49,3.8400,147.9115,115.8343,93.0000,center,q1,0.0000,77.1254,21.3621,1.9193,23.9918
