Track file,G:\Water Maze Data\xxx_0001\data\track_00750.trk
Object,0
Samples,76
Name,9,
Goal Position,NE,
Comment,,
Trial,2,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,131.1601,188.1862,24.0000,wall,q2,0.0000,12.4745,85.3693,-,-
2,0.0800,130.4473,188.1862,30.0000,wall,q2,0.0000,12.4745,85.3707,0.7128,8.9103
3,0.1600,129.7345,187.8298,32.0000,wall,q2,0.0000,12.7215,85.0217,0.7970,9.9621
4,0.2400,127.9524,187.1170,36.0000,wall,q2,0.0000,13.2065,84.3540,1.9193,23.9918
5,0.3200,136.8627,199.5915,39.0000,wall,q2,0.0000,0.7128,96.9534,15.3299,191.6240
6,0.4000,127.9524,186.4042,62.0000,wall,q2,0.0000,13.9184,83.6416,15.9154,198.9420
7,0.4800,127.5960,186.0478,81.0000,wall,q2,0.0000,14.2610,83.2992,0.5040,6.3006
8,0.5600,127.5960,184.9785,89.0000,wall,q2,0.0000,15.3299,82.2308,1.0692,13.3655
9,0.6400,127.9524,183.9093,87.0000,wall,q2,0.0000,16.4105,81.1484,1.1271,14.0885
10,0.7200,129.0216,182.8400,88.0000,wall,q2,0.0000,17.5549,80.0467,1.5121,18.9017
11,0.8000,129.3780,182.1272,89.0000,wall,q2,0.0000,18.3024,79.3261,0.7970,9.9621
12,0.8800,130.4473,181.7708,89.0000,wall,q2,0.0000,18.8090,78.9554,1.1271,14.0885
13,0.9600,131.5165,181.0580,86.0000,wall,q2,0.0000,19.5118,78.2427,1.2851,16.0633
14,1.0400,132.2293,180.3451,86.0000,center,q2,0.0000,20.1145,77.5382,1.0081,12.6011
15,1.1200,133.2986,179.9887,84.0000,center,q2,0.0000,20.3655,77.2066,1.1271,14.0885
16,1.2000,134.0114,179.2759,91.0000,center,q2,0.0000,21.0405,76.5191,1.0081,12.6011
17,1.2800,134.7242,178.5631,87.0000,center,q2,0.0000,21.7412,75.8388,1.0081,12.6011
18,1.3600,135.4371,177.8503,81.0000,center,q2,0.0000,22.4540,75.1658,1.0081,12.6011
19,1.4400,135.7935,177.1374,78.0000,center,q2,0.0000,23.1669,74.4764,0.7970,9.9621
20,1.5200,136.8627,176.4246,76.0000,center,q2,0.0000,23.8797,73.8427,1.2851,16.0633
21,1.6000,137.5755,176.0682,75.0000,center,q2,0.0000,24.1994,73.5480,0.7970,9.9621
22,1.6800,138.6448,175.3554,92.0000,center,q2,0.0000,24.7573,72.9427,1.2851,16.0633
23,1.7600,139.7140,174.9989,94.0000,center,q2,0.0000,24.9617,72.7091,1.1271,14.0885
24,1.8400,140.7833,173.9297,95.0000,center,q2,0.0000,25.8615,71.7860,1.5121,18.9017
25,1.9200,141.8525,172.8605,92.0000,center,q2,0.0000,26.7191,70.8831,1.5121,18.9017
26,2.0000,142.9217,171.4348,95.0000,center,q2,0.0000,27.9847,69.6502,1.7821,22.2758
27,2.0800,143.9910,170.0092,87.0000,center,q2,0.0000,29.2389,68.4414,1.7821,22.2758
28,2.1600,145.0602,168.2271,88.0000,center,q2,0.0000,30.8581,66.9096,2.0782,25.9779
29,2.2400,145.7731,166.0886,85.0000,center,q2,0.0000,32.7629,64.9793,2.2542,28.1769
30,2.3200,146.1295,163.5937,89.0000,center,q2,0.0000,35.1026,62.6378,2.5202,31.5028
31,2.4000,146.4859,161.0988,91.0000,center,q2,0.0000,37.4217,60.3108,2.5202,31.5028
32,2.4800,146.8423,158.6039,90.0000,center,q2,0.0000,39.7045,57.9999,2.5202,31.5028
33,2.5600,146.8423,155.7526,93.0000,center,q2,0.0000,42.4506,55.2628,2.8513,35.6413
