Track file,G:\Water Maze Data\xxx_0001\data\track_00663.trk
Object,0
Samples,1500
Name,8,
Goal Position,SW,
Comment,,
Trial,3,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,191.0375,61.3031,70.0000,center,q4,0.0000,25.6048,73.0143,-,-
2,0.0800,191.7504,62.3723,57.0000,center,q4,0.0000,25.6642,73.0040,1.2851,16.0633
3,0.1600,192.1068,63.4416,67.0000,center,q1,0.0000,25.9179,72.7165,1.1271,14.0885
4,0.2400,192.4632,64.8672,66.0000,center,q1,0.0000,26.3963,72.2576,1.4695,18.3691
5,0.3200,192.1068,66.6493,71.0000,center,q1,0.0000,27.6307,71.0308,1.8174,22.7170
6,0.4000,191.0375,68.4314,71.0000,center,q1,0.0000,29.4683,69.2102,2.0782,25.9779
7,0.4800,189.6119,69.8570,60.0000,center,q1,0.0000,31.4332,67.2667,2.0162,25.2022
8,0.5600,187.8298,71.6391,57.0000,center,q1,0.0000,33.8649,64.8436,2.5202,31.5028
9,0.6400,186.4042,72.7083,43.0000,center,q1,0.0000,35.6360,63.0800,1.7821,22.2758
10,0.7200,184.6221,74.1340,42.0000,center,q1,0.0000,37.8973,60.8349,2.2822,28.5270
11,0.8000,183.9093,75.9160,42.0000,center,q1,0.0000,39.3704,59.3789,1.9193,23.9918
12,0.8800,183.9093,78.0545,36.0000,center,q1,0.0000,40.3267,58.4411,2.1385,26.7310
13,0.9600,183.9093,79.4802,44.0000,center,q1,0.0000,40.9643,57.8515,1.4257,17.8207
14,1.0400,185.3349,81.6187,54.0000,center,q1,0.0000,40.5074,58.3483,2.5701,32.1267
15,1.1200,186.7606,82.6879,78.0000,center,q1,0.0000,39.5619,59.3074,1.7821,22.2758
16,1.2000,188.5427,83.4007,77.0000,center,q1,0.0000,38.1279,60.7551,1.9193,23.9918
17,1.2800,191.0375,83.7571,75.0000,center,q1,0.0000,35.9430,63.0155,2.5202,31.5028
18,1.3600,192.8196,83.0443,71.0000,center,q1,0.0000,34.0239,64.9299,1.9193,23.9918
