Track file,G:\Water Maze Data\xxx_0001\data\track_00897.trk
Object,0
Samples,1500
Name,8,
Goal Position,none,
Comment,,
Trial,6,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,-,-,-,-,-,-,-,-,-,-
2,0.0800,-,-,-,-,-,-,-,-,-,-
3,0.1600,66.6493,137.9320,16.0000,center,q3,0.0000,25.4280,73.2849,-,-
4,0.2400,66.2929,137.2191,36.0000,center,q3,0.0000,25.5054,73.2605,0.7970,9.9621
5,0.3200,65.9365,137.5755,56.0000,center,q3,0.0000,25.0125,73.7427,0.5040,6.3006
6,0.4000,65.9365,136.5063,58.0000,center,q3,0.0000,25.5029,73.2448,1.0692,13.3655
7,0.4800,65.2236,135.0807,59.0000,center,q3,0.0000,25.5029,73.2393,1.5939,19.9241
8,0.5600,64.5108,134.0114,55.0000,center,q3,0.0000,25.3455,73.4193,1.2851,16.0633
9,0.6400,62.7287,133.2986,62.0000,center,q3,0.0000,24.0704,74.7428,1.9193,23.9918
10,0.7200,61.3031,132.5858,67.0000,wall,q3,0.0000,23.1120,75.7638,1.5939,19.9241
11,0.8000,59.1646,132.2293,64.0000,wall,q3,0.0000,21.3045,77.5991,2.1680,27.0997
12,0.8800,57.3825,131.8729,63.0000,wall,q3,0.0000,19.7319,79.1195,1.8174,22.7170
13,0.9600,54.8877,131.8729,59.0000,wall,q3,0.0000,17.4096,81.4452,2.4949,31.1862
14,1.0400,53.1056,132.2293,63.0000,wall,q3,0.0000,15.6335,83.2377,1.8174,22.7170
15,1.1200,50.9671,132.5858,67.0000,wall,q3,0.0000,13.5249,85.3652,2.1680,27.0997
16,1.2000,49.1850,132.9422,60.0000,wall,q3,0.0000,11.7238,87.1602,1.8174,22.7170
17,1.2800,47.7594,133.2986,58.0000,wall,q3,0.0000,10.2620,88.6213,1.4695,18.3691
18,1.3600,45.6209,134.0114,52.0000,wall,q3,0.0000,8.0094,90.8745,2.2542,28.1769
19,1.4400,44.5517,134.0114,52.0000,wall,q3,0.0000,7.0024,91.8795,1.0692,13.3655
20,1.5200,43.8388,134.7242,37.0000,wall,q3,0.0000,6.0904,92.7930,1.0081,12.6011
21,1.6000,43.8388,134.7242,25.0000,wall,q3,0.0000,6.0904,92.7930,0.0000,0.0000
22,1.6800,44.1953,135.0807,21.0000,wall,q3,0.0000,6.3157,92.5820,0.5040,6.3006
23,1.7600,44.5517,135.4371,21.0000,wall,q3,0.0000,6.5429,92.3733,0.5040,6.3006
24,1.8400,44.9081,135.4371,17.0000,wall,q3,0.0000,6.8557,92.0399,0.3564,4.4552
25,1.9200,45.2645,135.4371,21.0000,wall,q3,0.0000,7.1727,91.7067,0.3564,4.4552
26,2.0000,45.2645,134.7242,35.0000,wall,q3,0.0000,7.4421,91.4556,0.7128,8.9103
27,2.0800,45.2645,134.7242,37.0000,wall,q3,0.0000,7.4421,91.4556,0.0000,0.0000
28,2.1600,45.2645,134.7242,28.0000,wall,q3,0.0000,7.4421,91.4556,0.0000,0.0000
29,2.2400,45.6209,134.7242,19.0000,wall,q3,0.0000,7.7842,91.1216,0.3564,4.4552
30,2.3200,45.9773,134.7242,22.0000,wall,q3,0.0000,8.1275,90.7879,0.3564,4.4552
31,2.4000,46.3337,135.0807,26.0000,wall,q3,0.0000,8.2900,90.5806,0.5040,6.3006
32,2.4800,46.3337,135.0807,32.0000,wall,q3,0.0000,8.2900,90.5806,0.0000,0.0000
33,2.5600,46.6901,135.0807,34.0000,wall,q3,0.0000,8.6131,90.2477,0.3564,4.4552
34,2.6400,46.6901,134.7242,39.0000,wall,q3,0.0000,8.7666,90.1209,0.3564,4.4552
35,2.7200,46.6901,135.0807,37.0000,wall,q3,0.0000,8.6131,90.2477,0.3564,4.4552
36,2.8000,46.6901,135.4371,38.0000,wall,q3,0.0000,8.4718,90.3757,0.3564,4.4552
37,2.8800,46.3337,135.4371,42.0000,wall,q3,0.0000,8.1431,90.7082,0.3564,4.4552
38,2.9600,46.6901,135.7935,43.0000,wall,q3,0.0000,8.3434,90.5050,0.5040,6.3006
39,3.0400,46.6901,136.8627,32.0000,wall,q3,0.0000,8.0094,90.9000,1.0692,13.3655
40,3.1200,46.6901,136.5063,34.0000,wall,q3,0.0000,8.1275,90.7671,0.3564,4.4552
41,3.2000,47.0466,136.8627,37.0000,wall,q3,0.0000,8.3434,90.5696,0.5040,6.3006
42,3.2800,47.0466,137.2191,25.0000,wall,q3,0.0000,8.2284,90.7042,0.3564,4.4552
43,3.3600,47.0466,137.5755,23.0000,wall,q3,0.0000,8.1275,90.8400,0.3564,4.4552
44,3.4400,47.0466,137.9320,20.0000,wall,q3,0.0000,7.9696,90.9770,0.3564,4.4552
45,3.5200,-,-,-,-,-,-,-,-,-,-
46,3.6000,47.4030,138.6448,23.0000,wall,q3,0.0000,7.9696,90.9268,-,-
47,3.6800,47.7594,138.6448,33.0000,wall,q3,0.0000,8.2900,90.5993,0.3564,4.4552
48,3.7600,48.1158,139.0012,33.0000,wall,q3,0.0000,8.4493,90.4141,0.5040,6.3006
49,3.8400,48.1158,139.0012,38.0000,wall,q3,0.0000,8.4493,90.4141,0.0000,0.0000
50,3.9200,48.4722,139.3576,35.0000,wall,q3,0.0000,8.6131,90.2313,0.5040,6.3006
51,4.0000,48.8286,139.7140,23.0000,wall,q3,0.0000,8.7666,90.0510,0.5040,6.3006
52,4.0800,48.8286,140.0704,29.0000,wall,q3,0.0000,8.6131,90.1976,0.3564,4.4552
53,4.1600,48.4722,140.7833,20.0000,wall,q3,0.0000,7.9696,90.8180,0.7970,9.9621
54,4.2400,48.8286,140.7833,36.0000,wall,q3,0.0000,8.2900,90.4944,0.3564,4.4552
55,4.3200,48.8286,141.4961,38.0000,wall,q3,0.0000,7.9696,90.7957,0.7128,8.9103
56,4.4000,48.8286,141.4961,41.0000,wall,q3,0.0000,7.9696,90.7957,0.0000,0.0000
57,4.4800,48.8286,141.4961,50.0000,wall,q3,0.0000,7.9696,90.7957,0.0000,0.0000
58,4.5600,48.4722,142.5653,47.0000,wall,q3,0.0000,7.1727,91.5773,1.1271,14.0885
59,4.6400,48.4722,142.5653,45.0000,wall,q3,0.0000,7.1727,91.5773,0.0000,0.0000
60,4.7200,48.4722,142.9217,36.0000,wall,q3,0.0000,7.0205,91.7326,0.3564,4.4552
61,4.8000,48.8286,141.8525,41.0000,wall,q3,0.0000,7.8168,90.9482,1.1271,14.0885
62,4.8800,48.8286,141.8525,29.0000,wall,q3,0.0000,7.8168,90.9482,0.0000,0.0000
63,4.9600,48.8286,140.7833,22.0000,wall,q3,0.0000,8.2900,90.4944,1.0692,13.3655
64,5.0400,48.4722,140.7833,21.0000,wall,q3,0.0000,7.9696,90.8180,0.3564,4.4552
65,5.1200,48.8286,140.7833,22.0000,wall,q3,0.0000,8.2900,90.4944,0.3564,4.4552
66,5.2000,49.1850,141.1397,33.0000,wall,q3,0.0000,8.4493,90.3216,0.5040,6.3006
67,5.2800,48.8286,140.7833,38.0000,wall,q3,0.0000,8.2900,90.4944,0.5040,6.3006
68,5.3600,49.1850,140.7833,42.0000,wall,q3,0.0000,8.6131,90.1710,0.3564,4.4552
69,5.4400,49.8979,142.2089,43.0000,wall,q3,0.0000,8.6131,90.1388,1.5939,19.9241
70,5.5200,49.8979,142.2089,46.0000,wall,q3,0.0000,8.6131,90.1388,0.0000,0.0000
71,5.6000,50.6107,142.9217,48.0000,wall,q3,0.0000,8.9317,89.8142,1.0081,12.6011
72,5.6800,51.3235,144.3474,44.0000,wall,q3,0.0000,8.9388,89.8271,1.5939,19.9241
73,5.7600,52.0363,145.0602,51.0000,wall,q3,0.0000,9.2941,89.5298,1.0081,12.6011
74,5.8400,52.7492,146.4859,46.0000,wall,q3,0.0000,9.1077,89.5881,1.5939,19.9241
75,5.9200,53.4620,148.2679,47.0000,wall,q3,0.0000,8.8028,89.8545,1.9193,23.9918
76,6.0000,54.1748,149.3372,56.0000,wall,q3,0.0000,8.9103,89.7896,1.2851,16.0633
77,6.0800,54.8877,151.8321,45.0000,wall,q3,0.0000,8.1353,90.5072,2.5947,32.4341
78,6.1600,55.6005,153.2577,53.0000,wall,q3,0.0000,8.0094,90.6938,1.5939,19.9241
79,6.2400,56.3133,155.3962,56.0000,wall,q2,0.0000,7.3130,91.3166,2.2542,28.1769
80,6.3200,56.6697,157.1783,56.0000,wall,q2,0.0000,6.5429,92.0663,1.8174,22.7170
81,6.4000,57.0261,158.6039,57.0000,wall,q2,0.0000,5.9319,92.6305,1.4695,18.3691
82,6.4800,57.3825,158.6039,51.0000,wall,q2,0.0000,6.2347,92.3462,0.3564,4.4552
83,6.5600,57.3825,158.6039,55.0000,wall,q2,0.0000,6.2347,92.3462,0.0000,0.0000
84,6.6400,57.3825,158.2475,45.0000,wall,q2,0.0000,6.4253,92.1313,0.3564,4.4552
85,6.7200,58.4518,158.6039,51.0000,wall,q2,0.0000,7.0566,91.4964,1.1271,14.0885
86,6.8000,59.1646,158.6039,52.0000,wall,q2,0.0000,7.5775,90.9324,0.7128,8.9103
87,6.8800,59.8774,158.9603,63.0000,wall,q2,0.0000,7.9137,90.5910,0.7970,9.9621
88,6.9600,61.3031,159.6732,60.0000,wall,q2,0.0000,8.6279,89.9255,1.5939,19.9241
89,7.0400,62.7287,160.3860,62.0000,wall,q2,0.0000,9.3282,89.2835,1.5939,19.9241
90,7.1200,64.1544,161.0988,62.0000,wall,q2,0.0000,9.8321,88.6655,1.5939,19.9241
91,7.2000,65.5801,162.1681,62.0000,wall,q2,0.0000,10.0809,88.3111,1.7821,22.2758
92,7.2800,67.3621,162.8809,57.0000,wall,q2,0.0000,10.9100,87.4876,1.9193,23.9918
93,7.3600,69.1442,164.3065,50.0000,wall,q2,0.0000,11.2708,87.2000,2.2822,28.5270
94,7.4400,70.5698,165.3758,60.0000,wall,q2,0.0000,11.3438,86.9610,1.7821,22.2758
95,7.5200,72.3519,167.1579,58.0000,wall,q2,0.0000,11.2708,87.0416,2.5202,31.5028
96,7.6000,73.7776,168.9399,59.0000,wall,q2,0.0000,10.8399,87.4278,2.2822,28.5270
97,7.6800,75.2032,170.7220,62.0000,wall,q2,0.0000,10.3911,87.8716,2.2822,28.5270
98,7.7600,76.2725,172.5041,67.0000,wall,q2,0.0000,9.5901,88.5917,2.0782,25.9779
99,7.8400,77.3417,174.6425,63.0000,wall,q2,0.0000,8.5018,89.6397,2.3909,29.8862
100,7.9200,78.0545,176.4246,62.0000,wall,q2,0.0000,7.5185,90.6559,1.9193,23.9918
101,8.0000,79.1238,178.5631,65.0000,wall,q2,0.0000,6.3757,91.7925,2.3909,29.8862
102,8.0800,79.4802,179.6323,69.0000,wall,q2,0.0000,5.6354,92.4779,1.1271,14.0885
103,8.1600,79.4802,179.6323,66.0000,wall,q2,0.0000,5.6354,92.4779,0.0000,0.0000
104,8.2400,79.4802,179.6323,62.0000,wall,q2,0.0000,5.6354,92.4779,0.0000,0.0000
105,8.3200,79.4802,179.2759,56.0000,wall,q2,0.0000,5.9319,92.1820,0.3564,4.4552
106,8.4000,79.8366,178.9195,55.0000,wall,q2,0.0000,6.4253,91.6874,0.5040,6.3006
107,8.4800,80.9058,178.9195,63.0000,wall,q2,0.0000,7.0205,91.0953,1.0692,13.3655
108,8.5600,81.6187,179.2759,71.0000,wall,q2,0.0000,7.0296,91.0047,0.7970,9.9621
109,8.6400,83.0443,179.6323,72.0000,wall,q2,0.0000,7.4932,90.5417,1.4695,18.3691
110,8.7200,84.4700,179.9887,72.0000,wall,q2,0.0000,7.9137,90.1002,1.4695,18.3691
111,8.8000,86.2520,180.3451,71.0000,wall,q2,0.0000,8.5018,89.5021,1.8174,22.7170
112,8.8800,88.0341,180.7016,69.0000,wall,q2,0.0000,9.0868,88.9370,1.8174,22.7170
113,8.9600,89.8162,180.7016,64.0000,wall,q2,0.0000,9.8836,88.0904,1.7821,22.2758
114,9.0400,91.9546,181.0580,72.0000,wall,q2,0.0000,10.5248,87.4306,2.1680,27.0997
115,9.1200,93.7367,181.4144,67.0000,wall,q2,0.0000,11.0027,86.9720,1.8174,22.7170
116,9.2000,95.8752,181.4144,67.0000,wall,q2,0.0000,11.7994,86.0781,2.1385,26.7310
117,9.2800,97.6573,181.7708,64.0000,wall,q2,0.0000,12.1808,85.6952,1.8174,22.7170
118,9.3600,99.0829,181.7708,55.0000,wall,q2,0.0000,12.7365,85.1511,1.4257,17.8207
119,9.4400,100.1521,182.1272,51.0000,wall,q2,0.0000,12.7365,85.0885,1.1271,14.0885
120,9.5200,101.5778,182.1272,49.0000,wall,q2,0.0000,13.1873,84.5825,1.4257,17.8207
121,9.6000,103.0035,181.7708,50.0000,wall,q2,0.0000,14.0411,83.7617,1.4695,18.3691
122,9.6800,103.7163,181.7708,45.0000,wall,q2,0.0000,14.3143,83.5263,0.7128,8.9103
123,9.7600,104.7855,181.0580,55.0000,wall,q2,0.0000,15.3299,82.5073,1.2851,16.0633
124,9.8400,105.8548,180.3451,58.0000,wall,q2,0.0000,16.3523,81.4957,1.2851,16.0633
125,9.9200,107.2804,179.2759,71.0000,wall,q2,0.0000,17.7242,80.0457,1.7821,22.2758
126,10.0000,107.9932,178.5631,56.0000,wall,q2,0.0000,18.5951,79.1552,1.0081,12.6011
127,10.0800,108.7061,178.2067,47.0000,wall,q2,0.0000,19.1039,78.6093,0.7970,9.9621
128,10.1600,109.0625,177.1374,45.0000,wall,q2,0.0000,20.2278,77.4830,1.1271,14.0885
129,10.2400,109.0625,176.0682,46.0000,center,q2,0.0000,21.2657,76.4580,1.0692,13.3655
130,10.3200,108.7061,175.7118,57.0000,center,q2,0.0000,21.5328,76.2199,0.5040,6.3006
131,10.4000,108.3497,174.9989,52.0000,center,q2,0.0000,22.1321,75.6443,0.7970,9.9621
132,10.4800,107.6368,174.2861,62.0000,center,q2,0.0000,22.6540,75.1826,1.0081,12.6011
133,10.5600,106.9240,173.9297,73.0000,center,q2,0.0000,22.7714,75.0692,0.7970,9.9621
134,10.6400,105.8548,173.5733,75.0000,center,q2,0.0000,22.7016,75.0826,1.1271,14.0885
135,10.7200,104.7855,173.5733,73.0000,center,q2,0.0000,22.3207,75.4470,1.0692,13.3655
136,10.8000,103.3599,173.5733,76.0000,center,q2,0.0000,21.8665,75.9537,1.4257,17.8207
137,10.8800,102.2906,173.9297,80.0000,center,q2,0.0000,21.1939,76.6793,1.1271,14.0885
138,10.9600,100.8650,174.2861,83.0000,wall,q2,0.0000,20.3187,77.5522,1.4695,18.3691
139,11.0400,99.7957,174.9989,80.0000,wall,q2,0.0000,19.2760,78.6275,1.2851,16.0633
140,11.1200,98.3701,175.7118,78.0000,wall,q2,0.0000,18.0227,79.8538,1.5939,19.9241
141,11.2000,97.3008,176.7810,82.0000,wall,q2,0.0000,16.6144,81.2682,1.5121,18.9017
142,11.2800,95.8752,177.8503,75.0000,wall,q2,0.0000,15.1045,82.8364,1.7821,22.2758
143,11.3600,94.8059,179.2759,77.0000,wall,q2,0.0000,13.3928,84.5816,1.7821,22.2758
144,11.4400,93.3803,180.3451,75.0000,wall,q2,0.0000,11.7994,86.1618,1.7821,22.2758
145,11.5200,92.3111,181.7708,80.0000,wall,q2,0.0000,10.0430,87.9118,1.7821,22.2758
146,11.6000,90.8854,183.1965,69.0000,wall,q2,0.0000,8.1353,89.8215,2.0162,25.2022
147,11.6800,89.8162,184.6221,65.0000,wall,q2,0.0000,6.3757,91.5751,1.7821,22.2758
148,11.7600,89.1033,185.3349,57.0000,wall,q2,0.0000,5.4287,92.5328,1.0081,12.6011
149,11.8400,89.1033,186.0478,35.0000,wall,q2,0.0000,4.7818,93.1690,0.7128,8.9103
150,11.9200,89.1033,186.0478,29.0000,wall,q2,0.0000,4.7818,93.1690,0.0000,0.0000
151,12.0000,89.1033,185.6913,34.0000,wall,q2,0.0000,5.1031,92.8507,0.3564,4.4552
152,12.0800,89.1033,185.6913,36.0000,wall,q2,0.0000,5.1031,92.8507,0.0000,0.0000
153,12.1600,88.7469,185.3349,44.0000,wall,q2,0.0000,5.2624,92.6946,0.5040,6.3006
154,12.2400,88.7469,185.3349,45.0000,wall,q2,0.0000,5.2624,92.6946,0.0000,0.0000
155,12.3200,88.7469,185.3349,43.0000,wall,q2,0.0000,5.2624,92.6946,0.0000,0.0000
156,12.4000,88.3905,184.9785,52.0000,wall,q2,0.0000,5.4287,92.5409,0.5040,6.3006
157,12.4800,88.3905,184.6221,59.0000,wall,q2,0.0000,5.7470,92.2246,0.3564,4.4552
158,12.5600,88.3905,184.2657,57.0000,wall,q2,0.0000,6.0590,91.9086,0.3564,4.4552
159,12.6400,88.3905,183.9093,53.0000,wall,q2,0.0000,6.3757,91.5929,0.3564,4.4552
160,12.7200,88.3905,183.5529,49.0000,wall,q2,0.0000,6.6964,91.2775,0.3564,4.4552
161,12.8000,88.3905,183.5529,50.0000,wall,q2,0.0000,6.6964,91.2775,0.0000,0.0000
162,12.8800,88.3905,183.5529,49.0000,wall,q2,0.0000,6.6964,91.2775,0.0000,0.0000
163,12.9600,88.0341,183.1965,49.0000,wall,q2,0.0000,6.8557,91.1298,0.5040,6.3006
164,13.0400,88.3905,183.5529,54.0000,wall,q2,0.0000,6.6964,91.2775,0.5040,6.3006
165,13.1200,88.3905,183.5529,48.0000,wall,q2,0.0000,6.6964,91.2775,0.0000,0.0000
166,13.2000,89.1033,183.1965,50.0000,wall,q2,0.0000,7.3390,90.6309,0.7970,9.9621
167,13.2800,89.4597,183.1965,50.0000,wall,q2,0.0000,7.4932,90.4668,0.3564,4.4552
168,13.3600,89.8162,182.8400,47.0000,wall,q2,0.0000,7.9696,89.9867,0.5040,6.3006
169,13.4400,90.1726,182.4836,45.0000,wall,q2,0.0000,8.4493,89.5069,0.5040,6.3006
170,13.5200,90.5290,181.7708,49.0000,wall,q2,0.0000,9.2462,88.7099,0.7970,9.9621
171,13.6000,90.5290,181.4144,47.0000,wall,q2,0.0000,9.5636,88.3929,0.3564,4.4552
172,13.6800,90.5290,180.7016,52.0000,wall,q2,0.0000,10.2061,87.7597,0.7128,8.9103
173,13.7600,90.1726,179.9887,57.0000,wall,q2,0.0000,10.6805,87.2937,0.7970,9.9621
174,13.8400,89.4597,179.6323,60.0000,wall,q2,0.0000,10.6805,87.3154,0.7970,9.9621
175,13.9200,89.1033,179.2759,65.0000,wall,q2,0.0000,10.8399,87.1726,0.5040,6.3006
176,14.0000,88.3905,179.2759,73.0000,wall,q2,0.0000,10.5248,87.5173,0.7128,8.9103
177,14.0800,87.3213,179.2759,74.0000,wall,q2,0.0000,9.9859,88.0425,1.0692,13.3655
178,14.1600,85.8956,179.6323,77.0000,wall,q2,0.0000,8.9317,89.0652,1.4695,18.3691
179,14.2400,84.4700,180.3451,80.0000,wall,q2,0.0000,7.6276,90.4057,1.5939,19.9241
180,14.3200,83.0443,181.0580,72.0000,wall,q2,0.0000,6.2347,91.7543,1.5939,19.9241
181,14.4000,82.3315,181.4144,69.0000,wall,q2,0.0000,5.5788,92.4316,0.7970,9.9621
182,14.4800,81.9751,181.7708,65.0000,wall,q2,0.0000,5.1031,92.9223,0.5040,6.3006
183,14.5600,81.9751,181.7708,46.0000,wall,q2,0.0000,5.1031,92.9223,0.0000,0.0000
184,14.6400,82.6879,181.4144,52.0000,wall,q2,0.0000,5.7470,92.2445,0.7970,9.9621
185,14.7200,83.0443,181.4144,54.0000,wall,q2,0.0000,5.9319,92.0584,0.3564,4.4552
186,14.8000,82.6879,181.0580,55.0000,wall,q2,0.0000,6.0590,91.9410,0.5040,6.3006
187,14.8800,82.3315,180.7016,56.0000,wall,q2,0.0000,6.2245,91.8262,0.5040,6.3006
188,14.9600,81.9751,180.3451,67.0000,wall,q2,0.0000,6.3458,91.7140,0.5040,6.3006
189,15.0400,81.2622,179.6323,65.0000,wall,q2,0.0000,6.5429,91.4975,1.0081,12.6011
190,15.1200,80.9058,179.2759,65.0000,wall,q2,0.0000,6.6964,91.3933,0.5040,6.3006
191,15.2000,80.1930,178.5631,71.0000,wall,q2,0.0000,6.9203,91.1928,1.0081,12.6011
192,15.2800,79.4802,177.8503,68.0000,wall,q2,0.0000,7.1727,91.0030,1.0081,12.6011
193,15.3600,79.1238,177.4938,70.0000,wall,q2,0.0000,7.3130,90.9122,0.5040,6.3006
194,15.4400,78.4109,177.1374,63.0000,wall,q2,0.0000,7.1283,91.0294,0.7970,9.9621
195,15.5200,77.6981,176.7810,49.0000,wall,q2,0.0000,7.0296,91.1534,0.7970,9.9621
196,15.6000,77.3417,176.4246,50.0000,wall,q2,0.0000,7.0746,91.0739,0.5040,6.3006
197,15.6800,76.9853,175.7118,51.0000,wall,q2,0.0000,7.4165,90.7104,0.7970,9.9621
198,15.7600,76.6289,174.6425,54.0000,wall,q2,0.0000,8.0804,90.0680,1.1271,14.0885
199,15.8400,75.9160,173.9297,52.0000,wall,q2,0.0000,8.2053,89.9352,1.0081,12.6011
200,15.9200,75.5596,172.8605,58.0000,wall,q2,0.0000,8.8531,89.3128,1.1271,14.0885
201,16.0000,74.8468,171.7912,61.0000,wall,q2,0.0000,9.2941,88.9250,1.2851,16.0633
202,16.0800,74.4904,170.7220,60.0000,wall,q2,0.0000,9.9859,88.3257,1.1271,14.0885
203,16.1600,73.7776,169.6527,55.0000,wall,q2,0.0000,10.3360,87.9681,1.2851,16.0633
204,16.2400,73.4211,168.9399,52.0000,wall,q2,0.0000,10.5849,87.6614,0.7970,9.9621
205,16.3200,73.0647,167.8707,48.0000,wall,q2,0.0000,11.1347,87.0943,1.1271,14.0885
206,16.4000,72.3519,167.5143,45.0000,wall,q2,0.0000,10.9796,87.3054,0.7970,9.9621
207,16.4800,71.6391,166.8014,45.0000,wall,q2,0.0000,11.0890,87.2616,1.0081,12.6011
208,16.5600,71.2827,166.0886,40.0000,wall,q2,0.0000,11.3438,86.9845,0.7970,9.9621
209,16.6400,70.9263,165.3758,45.0000,wall,q2,0.0000,11.5930,86.7138,0.7970,9.9621
210,16.7200,70.9263,164.6630,50.0000,wall,q2,0.0000,12.1076,86.2009,0.7128,8.9103
211,16.8000,70.9263,163.9501,58.0000,wall,q2,0.0000,12.6414,85.6909,0.7128,8.9103
212,16.8800,70.9263,163.2373,61.0000,wall,q2,0.0000,13.1921,85.1839,0.7128,8.9103
213,16.9600,70.9263,162.5245,57.0000,wall,q2,0.0000,13.7577,84.6797,0.7128,8.9103
214,17.0400,70.9263,161.8117,67.0000,wall,q2,0.0000,14.3365,84.1787,0.7128,8.9103
215,17.1200,70.9263,161.0988,67.0000,wall,q2,0.0000,14.8330,83.6806,0.7128,8.9103
216,17.2000,70.9263,160.7424,57.0000,wall,q2,0.0000,15.0413,83.4328,0.3564,4.4552
217,17.2800,71.2827,160.0296,60.0000,wall,q2,0.0000,15.7549,82.6818,0.7970,9.9621
218,17.3600,71.6391,160.0296,64.0000,wall,q2,0.0000,16.0386,82.4249,0.3564,4.4552
219,17.4400,71.9955,160.0296,57.0000,wall,q2,0.0000,16.3251,82.1687,0.3564,4.4552
220,17.5200,72.3519,160.0296,59.0000,wall,q2,0.0000,16.6144,81.9132,0.3564,4.4552
221,17.6000,73.0647,160.7424,59.0000,wall,q2,0.0000,16.4762,81.9072,1.0081,12.6011
222,17.6800,73.7776,161.4552,58.0000,wall,q2,0.0000,16.3989,81.9135,1.0081,12.6011
223,17.7600,74.4904,162.5245,60.0000,wall,q2,0.0000,16.1294,82.1908,1.2851,16.0633
224,17.8400,74.8468,163.2373,64.0000,wall,q2,0.0000,15.8794,82.4671,0.7970,9.9621
225,17.9200,75.5596,164.6630,61.0000,wall,q2,0.0000,15.1968,83.0399,1.5939,19.9241
226,18.0000,76.2725,166.8014,49.0000,wall,q2,0.0000,14.1132,84.1797,2.2542,28.1769
227,18.0800,76.6289,168.2271,56.0000,wall,q2,0.0000,13.2593,85.0401,1.4695,18.3691
228,18.1600,76.9853,170.0092,64.0000,wall,q2,0.0000,11.9757,86.1946,1.8174,22.7170
229,18.2400,77.3417,171.4348,59.0000,wall,q2,0.0000,11.0718,87.0906,1.4695,18.3691
230,18.3200,77.6981,173.5733,61.0000,wall,q2,0.0000,9.5901,88.5704,2.1680,27.0997
231,18.4000,78.0545,175.7118,64.0000,wall,q2,0.0000,8.0804,90.0781,2.1680,27.0997
232,18.4800,78.4109,177.4938,59.0000,wall,q2,0.0000,6.8465,91.3206,1.8174,22.7170
233,18.5600,79.1238,178.9195,67.0000,wall,q2,0.0000,6.0590,92.0868,1.5939,19.9241
234,18.6400,79.1238,179.9887,64.0000,wall,q2,0.0000,5.1403,92.9724,1.0692,13.3655
