Track file,G:\Water Maze Data\xxx_0001\data\track_00399.trk
Object,0
Samples,134
Name,10,
Goal Position,NE,
Comment,,
Trial,3,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,60.5903,138.6448,90.0000,wall,q3,0.0000,19.7673,78.9775,-,-
2,0.0800,62.7287,137.9320,102.0000,wall,q3,0.0000,21.9968,76.7491,2.2542,28.1769
3,0.1600,64.8672,137.5755,99.0000,center,q3,0.0000,24.0731,74.6874,2.1680,27.0997
4,0.2400,67.0057,137.5755,96.0000,center,q3,0.0000,25.9179,72.8014,2.1385,26.7310
5,0.3200,68.7878,138.2884,97.0000,center,q3,0.0000,27.0898,71.5912,1.9193,23.9918
6,0.4000,70.9263,139.3576,96.0000,center,q3,0.0000,28.3746,70.2915,2.3909,29.8862
7,0.4800,72.7083,140.7833,106.0000,center,q3,0.0000,29.0952,69.5433,2.2822,28.5270
8,0.5600,74.8468,141.8525,104.0000,center,q2,0.0000,30.2280,68.3665,2.3909,29.8862
9,0.6400,76.6289,143.6346,108.0000,center,q2,0.0000,30.5789,67.9663,2.5202,31.5028
10,0.7200,78.4109,145.0602,107.0000,center,q2,0.0000,31.0796,67.4338,2.2822,28.5270
11,0.8000,80.5494,146.8423,117.0000,center,q2,0.0000,31.5038,66.9389,2.7837,34.7960
12,0.8800,82.6879,148.6244,114.0000,center,q2,0.0000,31.8187,66.5569,2.7837,34.7960
13,0.9600,84.8264,150.0500,115.0000,center,q2,0.0000,32.2746,66.0342,2.5701,32.1267
14,1.0400,86.9649,151.8321,113.0000,center,q2,0.0000,32.3571,65.8729,2.7837,34.7960
15,1.1200,88.7469,153.2577,104.0000,center,q2,0.0000,32.4414,65.7826,2.2822,28.5270
16,1.2000,90.8854,154.3270,99.0000,center,q2,0.0000,32.8616,65.2712,2.3909,29.8862
17,1.2800,93.0239,155.3962,94.0000,center,q2,0.0000,33.2918,64.8440,2.3909,29.8862
18,1.3600,95.5188,156.1090,98.0000,center,q2,0.0000,34.0463,64.0084,2.5947,32.4341
19,1.4400,97.6573,156.8219,105.0000,center,q2,0.0000,34.5353,63.4547,2.2542,28.1769
20,1.5200,100.1521,157.1783,107.0000,center,q2,0.0000,35.5146,62.4908,2.5202,31.5028
21,1.6000,102.2906,157.5347,107.0000,center,q2,0.0000,36.1825,61.7797,2.1680,27.0997
22,1.6800,104.7855,157.5347,105.0000,center,q2,0.0000,37.2618,60.6616,2.4949,31.1862
23,1.7600,107.2804,157.5347,110.0000,center,q2,0.0000,38.2560,59.6270,2.4949,31.1862
24,1.8400,109.4189,157.8911,114.0000,center,q2,0.0000,38.6589,59.1418,2.1680,27.0997
25,1.9200,111.9138,157.5347,111.0000,center,q2,0.0000,39.8434,57.9421,2.5202,31.5028
26,2.0000,114.4087,157.5347,102.0000,SW,q2,0.0000,40.5451,57.1700,2.4949,31.1862
27,2.0800,116.1907,157.1783,95.0000,SW,q2,0.0000,41.3762,56.3353,1.8174,22.7170
28,2.1600,118.6856,156.8219,92.0000,SW,q2,0.0000,42.3592,55.3851,2.5202,31.5028
29,2.2400,120.1113,156.1090,94.0000,SW,q2,0.0000,43.3024,54.3877,1.5939,19.9241
30,2.3200,121.8934,154.6834,97.0000,SW,q2,0.0000,44.9618,52.6551,2.2822,28.5270
31,2.4000,122.9626,153.6141,103.0000,SW,q2,0.0000,46.1744,51.4249,1.5121,18.9017
32,2.4800,124.0318,151.8321,105.0000,SW,q2,0.0000,48.1066,49.5041,2.0782,25.9779
33,2.5600,125.1011,150.0500,111.0000,center,q2,0.0000,50.0504,47.5966,2.0782,25.9779
34,2.6400,126.1703,147.9115,111.0000,center,q2,0.0000,52.3260,45.3495,2.3909,29.8862
35,2.7200,127.5960,145.7731,112.0000,center,q2,0.0000,54.5324,43.0885,2.5701,32.1267
36,2.8000,129.0216,143.9910,121.0000,center,q2,0.0000,56.3415,41.2201,2.2822,28.5270
37,2.8800,130.4473,142.2089,108.0000,center,q2,0.0000,58.1839,39.3953,2.2822,28.5270
38,2.9600,131.8729,140.0704,111.0000,center,q2,0.0000,60.3013,37.2642,2.5701,32.1267
39,3.0400,132.9422,137.9320,109.0000,center,q2,0.0000,62.3978,35.1700,2.3909,29.8862
40,3.1200,134.3678,135.7935,110.0000,center,q2,0.0000,64.5118,33.1506,2.5701,32.1267
41,3.2000,135.4371,134.0114,108.0000,center,q2,0.0000,66.0943,31.5120,2.0782,25.9779
42,3.2800,136.5063,131.8729,93.0000,center,q2,0.0000,68.0460,29.5779,2.3909,29.8862
43,3.3600,137.5755,130.4473,100.0000,center,q2,0.0000,69.3176,28.4079,1.7821,22.2758
44,3.4400,138.6448,128.6652,97.0000,center,q2,0.0000,70.7433,26.9624,2.0782,25.9779
45,3.5200,139.7140,127.2396,91.0000,center,q2,0.0000,71.8339,25.9394,1.7821,22.2758
46,3.6000,140.7833,125.4575,99.0000,center,q2,0.0000,73.1516,24.6742,2.0782,25.9779
47,3.6800,141.8525,124.0318,103.0000,center,q2,0.0000,74.0834,23.8414,1.7821,22.2758
48,3.7600,142.9217,122.6062,103.0000,center,q2,0.0000,74.8816,23.1163,1.7821,22.2758
49,3.8400,144.3474,121.1805,111.0000,center,q2,0.0000,75.3719,22.7172,2.0162,25.2022
50,3.9200,145.7731,119.3985,112.0000,center,q1,0.0000,75.9921,22.2253,2.2822,28.5270
51,4.0000,147.1987,117.9728,115.0000,center,q1,0.0000,76.1524,22.2024,2.0162,25.2022
52,4.0800,148.6244,116.1907,114.0000,center,q1,0.0000,76.3665,22.1450,2.2822,28.5270
53,4.1600,149.6936,114.0523,113.0000,center,q1,0.0000,76.8151,21.8327,2.3909,29.8862
54,4.2400,151.1193,111.9138,124.0000,center,q1,0.0000,76.6686,22.1042,2.5701,32.1267
