Track file,G:\Water Maze Data\xxx_0001\data\track_00256.trk
Object,0
Samples,1201
Name,7,
Goal Position,NE,
Comment,,
Trial,6,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,201.0171,50.6107,46.0000,wall,q4,0.0000,11.1916,87.3590,-,-
2,0.0800,201.0171,49.5415,32.0000,wall,q4,0.0000,10.5789,88.0022,1.0692,13.3655
3,0.1600,201.7299,50.2543,39.0000,wall,q4,0.0000,10.4095,88.1437,1.0081,12.6011
4,0.2400,202.4428,50.9671,47.0000,wall,q4,0.0000,10.2805,88.2964,1.0081,12.6011
5,0.3200,203.1556,51.3235,41.0000,wall,q4,0.0000,9.9093,88.6669,0.7970,9.9621
6,0.4000,204.5813,52.0363,69.0000,wall,q4,0.0000,9.1980,89.4246,1.5939,19.9241
7,0.4800,201.3735,54.8877,95.0000,wall,q4,0.0000,13.4732,85.1668,4.2918,53.6473
8,0.5600,198.8786,57.3825,71.0000,wall,q4,0.0000,16.9774,81.7030,3.5283,44.1039
9,0.6400,197.0966,59.1646,90.0000,wall,q1,0.0000,19.4564,79.2325,2.5202,31.5028
10,0.7200,195.6709,60.9467,90.0000,wall,q1,0.0000,21.5770,77.0641,2.2822,28.5270
11,0.8000,194.2453,63.0852,86.0000,center,q1,0.0000,23.9222,74.7123,2.5701,32.1267
12,0.8800,193.5324,65.5801,84.0000,center,q1,0.0000,25.8615,72.8025,2.5947,32.4341
13,0.9600,192.8196,68.0749,85.0000,center,q1,0.0000,27.7637,70.9362,2.5947,32.4341
14,1.0400,192.1068,70.9263,79.0000,center,q1,0.0000,29.8069,68.9513,2.9391,36.7382
15,1.1200,192.1068,73.7776,87.0000,center,q1,0.0000,31.0816,67.6798,2.8513,35.6413
16,1.2000,191.3940,75.9160,86.0000,center,q1,0.0000,32.6755,66.1384,2.2542,28.1769
17,1.2800,191.0375,78.7673,84.0000,center,q1,0.0000,34.1655,64.6998,2.8735,35.9187
18,1.3600,190.3247,81.2622,97.0000,center,q1,0.0000,35.7285,63.1440,2.5947,32.4341
19,1.4400,189.6119,83.7571,93.0000,center,q1,0.0000,37.2618,61.6581,2.5947,32.4341
20,1.5200,188.8991,86.2520,96.0000,center,q1,0.0000,38.7312,60.2475,2.5947,32.4341
21,1.6000,188.1862,89.1033,99.0000,center,q1,0.0000,40.1104,58.8332,2.9391,36.7382
22,1.6800,187.4734,91.5982,107.0000,center,q1,0.0000,41.4084,57.6028,2.5947,32.4341
23,1.7600,186.7606,94.0931,104.0000,center,q1,0.0000,42.4910,56.4649,2.5947,32.4341
24,1.8400,186.4042,96.5880,103.0000,center,q1,0.0000,43.2481,55.7794,2.5202,31.5028
25,1.9200,186.0478,99.4393,95.0000,center,q1,0.0000,43.8403,55.1776,2.8735,35.9187
26,2.0000,185.3349,101.5778,99.0000,center,q1,0.0000,44.6215,54.3754,2.2542,28.1769
27,2.0800,184.6221,103.7163,105.0000,center,q1,0.0000,45.3542,53.6560,2.2542,28.1769
28,2.1600,183.9093,106.2112,108.0000,center,q1,0.0000,45.9787,53.0443,2.5947,32.4341
29,2.2400,183.1965,108.3497,107.0000,center,q1,0.0000,46.5266,52.5150,2.2542,28.1769
30,2.3200,182.4836,110.4881,105.0000,center,q1,0.0000,46.8789,52.0780,2.2542,28.1769
31,2.4000,181.4144,112.2702,102.0000,center,q1,0.0000,47.6955,51.3189,2.0782,25.9779
32,2.4800,180.3451,114.4087,102.0000,center,q1,0.0000,48.2371,50.7140,2.3909,29.8862
33,2.5600,178.9195,116.1907,107.0000,center,q1,0.0000,49.1863,49.7761,2.2822,28.5270
34,2.6400,177.8503,117.9728,108.0000,center,q1,0.0000,49.6426,49.2657,2.0782,25.9779
35,2.7200,176.4246,120.1113,106.0000,center,q1,0.0000,50.2341,48.6300,2.5701,32.1267
36,2.8000,174.9989,121.8934,113.0000,center,q1,0.0000,50.8473,47.9805,2.2822,28.5270
37,2.8800,173.5733,124.0318,110.0000,center,q1,0.0000,51.1661,47.5899,2.5701,32.1267
38,2.9600,172.5041,126.1703,114.0000,center,q1,0.0000,51.0418,47.6461,2.3909,29.8862
39,3.0400,171.0784,127.9524,114.0000,center,q1,0.0000,51.3099,47.3305,2.2822,28.5270
40,3.1200,169.6527,130.4473,111.0000,center,q1,0.0000,51.0456,47.5342,2.8735,35.9187
41,3.2000,168.5835,132.5858,114.0000,center,q1,0.0000,50.5466,47.9653,2.3909,29.8862
42,3.2800,167.5143,134.7242,107.0000,center,q1,0.0000,49.9030,48.5106,2.3909,29.8862
43,3.3600,166.8014,136.8627,103.0000,center,q1,0.0000,48.9572,49.4240,2.2542,28.1769
44,3.4400,166.0886,139.0012,106.0000,center,q1,0.0000,47.8948,50.4217,2.2542,28.1769
45,3.5200,166.0886,141.1397,104.0000,center,q1,0.0000,46.2748,51.9777,2.1385,26.7310
46,3.6000,166.0886,142.5653,97.0000,center,q1,0.0000,45.1971,53.0376,1.4257,17.8207
47,3.6800,166.4450,143.9910,95.0000,center,q1,0.0000,43.8982,54.3462,1.4695,18.3691
48,3.7600,167.1579,145.4166,95.0000,center,q1,0.0000,42.3457,55.8929,1.5939,19.9241
49,3.8400,168.2271,146.1295,98.0000,center,q1,0.0000,41.1175,57.1295,1.2851,16.0633
50,3.9200,170.0092,146.8423,94.0000,center,q1,0.0000,39.3962,58.8387,1.9193,23.9918
51,4.0000,171.4348,146.4859,102.0000,center,q1,0.0000,38.7443,59.5321,1.4695,18.3691
52,4.0800,173.2169,145.7731,103.0000,center,q1,0.0000,38.0762,60.2470,1.9193,23.9918
53,4.1600,174.9989,145.0602,107.0000,center,q1,0.0000,37.3843,61.0140,1.9193,23.9918
54,4.2400,176.0682,143.9910,106.0000,center,q1,0.0000,37.3129,61.0639,1.5121,18.9017
55,4.3200,176.7810,142.9217,98.0000,center,q1,0.0000,37.5522,60.8826,1.2851,16.0633
56,4.4000,177.1374,141.4961,90.0000,center,q1,0.0000,38.3074,60.2259,1.4695,18.3691
57,4.4800,177.1374,140.0704,91.0000,center,q1,0.0000,39.2055,59.3204,1.4257,17.8207
58,4.5600,176.4246,139.0012,95.0000,center,q1,0.0000,40.4195,58.0954,1.2851,16.0633
59,4.6400,175.7118,137.5755,92.0000,center,q1,0.0000,41.8585,56.6538,1.5939,19.9241
60,4.7200,174.9989,137.2191,91.0000,center,q1,0.0000,42.6387,55.8724,0.7970,9.9621
61,4.8000,173.5733,136.8627,94.0000,center,q1,0.0000,43.9835,54.5329,1.4695,18.3691
62,4.8800,172.1476,136.8627,96.0000,center,q1,0.0000,45.1127,53.4266,1.4257,17.8207
