Track file,G:\Water Maze Data\xxx_0001\data\track_00579.trk
Object,0
Samples,1500
Name,7,
Goal Position,SW,
Comment,,
Trial,3,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,53.4620,67.7185,40.0000,wall,q3,0.0000,13.7115,85.0880,-,-
2,0.0800,40.9875,69.8570,28.0000,wall,q3,0.0000,3.0452,95.8325,12.6564,158.2055
3,0.1600,51.3235,68.0749,23.0000,wall,q3,0.0000,11.9545,86.8974,10.4885,131.1061
4,0.2400,50.9671,68.4314,32.0000,wall,q3,0.0000,11.7994,87.0829,0.5040,6.3006
5,0.3200,50.6107,68.0749,29.0000,wall,q3,0.0000,11.3214,87.5513,0.5040,6.3006
6,0.4000,-,-,-,-,-,-,-,-,-,-
7,0.4800,37.4234,72.3519,15.0000,wall,q3,0.0000,0.7128,98.3859,-,-
8,0.5600,50.6107,68.0749,15.0000,wall,q3,0.0000,11.3214,87.5513,13.8635,173.2940
9,0.6400,48.4722,70.5698,79.0000,wall,q3,0.0000,10.2620,88.5798,3.2860,41.0746
10,0.7200,47.4030,70.9263,94.0000,wall,q3,0.0000,9.4096,89.4488,1.1271,14.0885
11,0.8000,46.6901,70.9263,96.0000,wall,q3,0.0000,8.7666,90.1151,0.7128,8.9103
12,0.8800,46.3337,70.9263,86.0000,wall,q3,0.0000,8.4493,90.4486,0.3564,4.4552
13,0.9600,46.3337,70.9263,82.0000,wall,q3,0.0000,8.4493,90.4486,0.0000,0.0000
14,1.0400,46.6901,70.9263,82.0000,wall,q3,0.0000,8.7666,90.1151,0.3564,4.4552
15,1.1200,47.0466,70.5698,77.0000,wall,q3,0.0000,8.9388,89.9091,0.5040,6.3006
16,1.2000,47.7594,69.8570,99.0000,wall,q3,0.0000,9.3554,89.5041,1.0081,12.6011
17,1.2800,49.1850,68.7878,96.0000,wall,q3,0.0000,10.3605,88.5854,1.7821,22.2758
18,1.3600,51.3235,67.7185,99.0000,wall,q3,0.0000,11.7994,87.0405,2.3909,29.8862
19,1.4400,53.4620,66.6493,99.0000,wall,q3,0.0000,13.2306,85.5346,2.3909,29.8862
20,1.5200,55.6005,65.9365,98.0000,wall,q3,0.0000,14.8244,83.9124,2.2542,28.1769
21,1.6000,57.3825,64.8672,87.0000,wall,q3,0.0000,15.9393,82.8000,2.0782,25.9779
22,1.6800,59.1646,64.5108,98.0000,wall,q3,0.0000,17.4023,81.3874,1.8174,22.7170
23,1.7600,60.2339,63.7980,100.0000,wall,q3,0.0000,17.9095,80.7874,1.2851,16.0633
24,1.8400,62.0159,63.0852,105.0000,wall,q3,0.0000,19.0806,79.5852,1.9193,23.9918
25,1.9200,63.4416,62.3723,104.0000,wall,q3,0.0000,19.9400,78.7170,1.5939,19.9241
