Track file,G:\Water Maze Data\xxx_0001\data\track_00432.trk
Object,0
Samples,253
Name,9,
Goal Position,NE,
Comment,,
Trial,5,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,64.1544,155.0398,39.0000,wall,q2,0.0000,13.6930,84.8058,-,-
2,0.0800,64.8672,155.0398,43.0000,wall,q2,0.0000,14.2565,84.2453,0.7128,8.9103
3,0.1600,65.2236,154.3270,44.0000,wall,q2,0.0000,14.9736,83.5244,0.7970,9.9621
4,0.2400,65.9365,153.2577,51.0000,wall,q2,0.0000,16.2002,82.3049,1.2851,16.0633
5,0.3200,66.2929,152.1885,78.0000,wall,q2,0.0000,17.1671,81.3704,1.1271,14.0885
6,0.4000,67.0057,150.7628,108.0000,wall,q2,0.0000,18.6053,79.9418,1.5939,19.9241
7,0.4800,68.0749,148.6244,104.0000,wall,q2,0.0000,20.7609,77.8110,2.3909,29.8862
8,0.5600,69.1442,146.1295,107.0000,center,q2,0.0000,23.1010,75.4907,2.7144,33.9295
9,0.6400,70.2134,143.9910,113.0000,center,q3,0.0000,25.2350,73.3968,2.3909,29.8862
10,0.7200,71.6391,141.4961,107.0000,center,q3,0.0000,27.8117,70.8283,2.8735,35.9187
11,0.8000,72.7083,139.0012,112.0000,center,q3,0.0000,30.0509,68.5867,2.7144,33.9295
12,0.8800,74.1340,136.8627,109.0000,center,q3,0.0000,32.4042,66.2560,2.5701,32.1267
13,0.9600,75.5596,134.3678,106.0000,center,q3,0.0000,34.9085,63.7665,2.8735,35.9187
14,1.0400,76.9853,131.8729,118.0000,center,q3,0.0000,37.4081,61.3106,2.8735,35.9187
15,1.1200,78.4109,129.3780,107.0000,center,q3,0.0000,39.8482,58.8925,2.8735,35.9187
16,1.2000,79.8366,126.8831,113.0000,center,q3,0.0000,42.2391,56.5170,2.8735,35.9187
17,1.2800,81.6187,124.3883,122.0000,center,q3,0.0000,44.9491,53.8631,3.0660,38.3248
18,1.3600,83.0443,121.8934,109.0000,center,q3,0.0000,47.2634,51.5861,2.8735,35.9187
19,1.4400,84.4700,119.0421,106.0000,center,q3,0.0000,49.6042,49.2528,3.1879,39.8482
20,1.5200,85.5392,116.9036,119.0000,center,q3,0.0000,51.3594,47.5680,2.3909,29.8862
