Track file,G:\Water Maze Data\xxx_0001\data\track_00048.trk
Object,0
Samples,1237
Name,7,
Goal Position,NE,
Comment,,
Trial,4,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,222.0455,136.5063,210.0000,wall,q1,0.0000,1.8174,97.1033,-,-
2,0.0800,221.3327,136.8627,195.0000,wall,q1,0.0000,2.3909,96.5601,0.7970,9.9621
3,0.1600,220.6199,137.5755,158.0000,wall,q1,0.0000,2.7144,96.1488,1.0081,12.6011
4,0.2400,209.2146,143.2782,86.0000,wall,q1,0.0000,10.6805,88.0837,12.7514,159.3929
5,0.3200,205.2941,143.2782,138.0000,wall,q1,0.0000,14.1357,84.6205,3.9205,49.0068
6,0.4000,200.6607,143.9910,101.0000,wall,q1,0.0000,17.7278,80.9418,4.6879,58.5986
7,0.4800,197.4530,144.3474,100.0000,wall,q1,0.0000,20.2655,78.3854,3.2275,40.3432
8,0.5600,221.3327,137.5755,167.0000,wall,q1,0.0000,2.0782,96.8138,24.8213,310.2665
9,0.6400,192.4632,143.9910,109.0000,center,q1,0.0000,24.6647,74.0017,29.5737,369.6715
10,0.7200,189.9683,143.6346,99.0000,center,q1,0.0000,26.8850,71.7387,2.5202,31.5028
11,0.8000,187.4734,142.5653,105.0000,center,q1,0.0000,29.5114,69.0807,2.7144,33.9295
12,0.8800,184.9785,140.7833,91.0000,center,q1,0.0000,32.5763,66.0148,3.0660,38.3248
13,0.9600,183.5529,139.3576,97.0000,center,q1,0.0000,34.5739,64.0295,2.0162,25.2022
14,1.0400,182.4836,136.8627,99.0000,center,q1,0.0000,36.9193,61.7445,2.7144,33.9295
15,1.1200,182.4836,134.7242,101.0000,center,q1,0.0000,38.0579,60.5916,2.1385,26.7310
16,1.2000,183.1965,132.5858,106.0000,center,q1,0.0000,38.5734,60.1115,2.2542,28.1769
17,1.2800,184.2657,130.8037,103.0000,center,q1,0.0000,38.5734,60.1938,2.0782,25.9779
18,1.3600,185.3349,129.3780,98.0000,center,q1,0.0000,38.2543,60.5032,1.7821,22.2758
19,1.4400,186.4042,128.3088,99.0000,center,q1,0.0000,37.7765,61.0112,1.5121,18.9017
20,1.5200,187.8298,127.5960,89.0000,center,q1,0.0000,36.8211,62.0211,1.5939,19.9241
21,1.6000,189.2555,127.5960,113.0000,center,q1,0.0000,35.5450,63.3306,1.4257,17.8207
22,1.6800,191.0375,127.9524,106.0000,center,q1,0.0000,33.7917,65.1111,1.8174,22.7170
23,1.7600,192.1068,128.3088,98.0000,center,q1,0.0000,32.6755,66.2351,1.1271,14.0885
24,1.8400,193.5324,128.6652,97.0000,center,q1,0.0000,31.2203,67.6885,1.4695,18.3691
25,1.9200,193.8889,129.3780,87.0000,center,q1,0.0000,30.6038,68.2921,0.7970,9.9621
26,2.0000,194.6017,130.0909,81.0000,center,q1,0.0000,29.6488,69.2270,1.0081,12.6011
27,2.0800,194.9581,130.4473,90.0000,center,q1,0.0000,29.1693,69.6953,0.5040,6.3006
28,2.1600,195.6709,131.1601,96.0000,center,q1,0.0000,28.2130,70.6333,1.0081,12.6011
