Track file,G:\Water Maze Data\xxx_0001\data\track_00838.trk
Object,0
Samples,156
Name,9,
Goal Position,NE,
Comment,,
Trial,2,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,70.9263,153.6141,82.0000,wall,q2,0.0000,19.9114,78.6513,-,-
2,0.0800,69.8570,154.6834,85.0000,wall,q2,0.0000,18.3994,80.1583,1.5121,18.9017
3,0.1600,69.5006,155.3962,75.0000,wall,q2,0.0000,17.6416,80.8919,0.7970,9.9621
4,0.2400,69.1442,156.4655,74.0000,wall,q2,0.0000,16.6335,81.8598,1.1271,14.0885
5,0.3200,69.8570,157.5347,75.0000,wall,q2,0.0000,16.3834,82.0320,1.2851,16.0633
6,0.4000,70.5698,158.6039,77.0000,wall,q2,0.0000,16.1373,82.2240,1.2851,16.0633
7,0.4800,71.6391,158.9603,78.0000,wall,q2,0.0000,16.7021,81.6863,1.1271,14.0885
8,0.5600,72.7083,159.3168,87.0000,wall,q2,0.0000,17.3218,81.1607,1.1271,14.0885
9,0.6400,74.1340,159.3168,88.0000,wall,q2,0.0000,18.2573,80.1434,1.4257,17.8207
10,0.7200,75.9160,159.6732,87.0000,wall,q2,0.0000,19.1603,79.1451,1.8174,22.7170
11,0.8000,77.6981,159.3168,93.0000,wall,q2,0.0000,20.6658,77.6563,1.8174,22.7170
12,0.8800,79.8366,158.9603,89.0000,center,q2,0.0000,22.3207,75.9412,2.1680,27.0997
13,0.9600,81.9751,158.6039,86.0000,center,q2,0.0000,23.9753,74.2498,2.1680,27.0997
14,1.0400,84.1135,157.8911,91.0000,center,q2,0.0000,25.9595,72.3119,2.2542,28.1769
15,1.1200,86.2520,157.1783,84.0000,center,q2,0.0000,27.8025,70.3929,2.2542,28.1769
16,1.2000,89.1033,156.8219,94.0000,center,q2,0.0000,29.7962,68.3347,2.8735,35.9187
17,1.2800,91.5982,156.8219,88.0000,center,q2,0.0000,31.2934,66.8351,2.4949,31.1862
18,1.3600,94.4495,156.8219,93.0000,center,q2,0.0000,32.8906,65.1960,2.8513,35.6413
19,1.4400,97.3008,156.4655,90.0000,center,q2,0.0000,34.6602,63.3404,2.8735,35.9187
20,1.5200,100.5086,156.4655,95.0000,center,q2,0.0000,36.3087,61.6949,3.2077,40.0965
21,1.6000,103.3599,156.1090,91.0000,center,q2,0.0000,37.9358,60.0212,2.8735,35.9187
22,1.6800,106.5676,155.3962,95.0000,center,q2,0.0000,39.9199,57.9674,3.2860,41.0746
23,1.7600,109.7753,154.6834,94.0000,center,q2,0.0000,41.8160,56.0311,3.2860,41.0746
24,1.8400,112.9830,153.6141,98.0000,SW,q2,0.0000,43.8852,53.8888,3.3812,42.2654
25,1.9200,115.8343,152.5449,92.0000,SW,q2,0.0000,45.7335,51.9813,3.0452,38.0650
26,2.0000,119.0421,151.4757,103.0000,SW,q2,0.0000,47.6329,50.1001,3.3812,42.2654
27,2.0800,121.8934,150.4064,95.0000,SW,q2,0.0000,49.2031,48.4479,3.0452,38.0650
28,2.1600,125.4575,149.3372,105.0000,center,q2,0.0000,50.8086,46.8460,3.7211,46.5133
29,2.2400,128.6652,148.2679,98.0000,center,q2,0.0000,52.0559,45.5094,3.3812,42.2654
30,2.3200,132.2293,147.1987,102.0000,center,q2,0.0000,53.1642,44.3994,3.7211,46.5133
31,2.4000,135.4371,146.1295,96.0000,center,q2,0.0000,54.1420,43.5417,3.3812,42.2654
32,2.4800,138.6448,145.0602,105.0000,center,q2,0.0000,54.6894,42.9340,3.3812,42.2654
33,2.5600,142.2089,143.9910,100.0000,center,q2,0.0000,55.0310,42.6793,3.7211,46.5133
34,2.6400,145.4166,142.9217,103.0000,center,q2,0.0000,55.1474,42.6261,3.3812,42.2654
35,2.7200,148.9808,141.8525,97.0000,center,q2,0.0000,54.8981,42.9886,3.7211,46.5133
36,2.8000,151.8321,140.7833,92.0000,center,q2,0.0000,54.6720,43.3186,3.0452,38.0650
37,2.8800,155.3962,139.3576,97.0000,center,q2,0.0000,54.1009,43.9508,3.8387,47.9836
38,2.9600,158.6039,138.2884,99.0000,center,q1,0.0000,53.1773,44.9627,3.3812,42.2654
39,3.0400,161.8117,136.8627,102.0000,center,q1,0.0000,52.3054,45.9357,3.5103,43.8783
40,3.1200,165.0194,135.4371,95.0000,center,q1,0.0000,51.2356,47.1505,3.5103,43.8783
41,3.2000,168.2271,133.6550,91.0000,center,q1,0.0000,50.1531,48.3611,3.6695,45.8687
42,3.2800,170.7220,132.2293,89.0000,center,q1,0.0000,49.1023,49.4470,2.8735,35.9187
43,3.3600,173.5733,130.4473,97.0000,center,q1,0.0000,47.8670,50.7755,3.3624,42.0300
44,3.4400,176.4246,128.3088,96.0000,center,q1,0.0000,46.5826,52.1116,3.5641,44.5517
45,3.5200,179.2759,126.5267,93.0000,center,q1,0.0000,44.9491,53.8076,3.3624,42.0300
46,3.6000,181.7708,124.3883,97.0000,center,q1,0.0000,43.6748,55.1875,3.2860,41.0746
47,3.6800,184.2657,122.2498,99.0000,center,q1,0.0000,42.1533,56.7245,3.2860,41.0746
48,3.7600,186.4042,119.7549,93.0000,center,q1,0.0000,41.0263,57.9606,3.2860,41.0746
49,3.8400,188.1862,116.9036,92.0000,center,q1,0.0000,40.0232,58.9212,3.3624,42.0300
50,3.9200,189.9683,114.4087,84.0000,center,q1,0.0000,38.8997,60.1227,3.0660,38.3248
51,4.0000,191.3940,111.5574,87.0000,center,q1,0.0000,37.9107,61.0492,3.1879,39.8482
52,4.0800,192.8196,108.3497,90.0000,center,q1,0.0000,37.0018,62.0929,3.5103,43.8783
53,4.1600,194.2453,105.4983,89.0000,center,q1,0.0000,35.6574,63.3284,3.1879,39.8482
54,4.2400,195.3145,102.6470,82.0000,center,q1,0.0000,34.7553,64.3411,3.0452,38.0650
55,4.3200,196.7402,99.4393,88.0000,center,q1,0.0000,33.1484,65.8532,3.5103,43.8783
56,4.4000,197.8094,96.9444,83.0000,center,q1,0.0000,32.0078,67.0933,2.7144,33.9295
57,4.4800,198.8786,93.7367,82.0000,center,q1,0.0000,30.4770,68.5094,3.3812,42.2654
58,4.5600,199.9479,90.8854,82.0000,center,q1,0.0000,29.0099,69.9986,3.0452,38.0650
59,4.6400,200.6607,88.0341,81.0000,center,q1,0.0000,27.7568,71.2378,2.9391,36.7382
60,4.7200,201.3735,84.8264,77.0000,center,q1,0.0000,26.2877,72.6623,3.2860,41.0746
61,4.8000,202.0864,82.3315,72.0000,center,q1,0.0000,24.9820,74.0046,2.5947,32.4341
62,4.8800,202.4428,79.1238,77.0000,center,q1,0.0000,23.6337,75.2942,3.2275,40.3432
63,4.9600,202.7992,75.9160,80.0000,center,q1,0.0000,22.1837,76.6980,3.2275,40.3432
64,5.0400,202.7992,73.0647,74.0000,wall,q1,0.0000,21.1939,77.7439,2.8513,35.6413
65,5.1200,203.1556,70.2134,81.0000,wall,q1,0.0000,19.6060,79.2038,2.8735,35.9187
66,5.2000,203.1556,67.3621,77.0000,wall,q1,0.0000,18.3302,80.4195,2.8513,35.6413
67,5.2800,203.1556,64.5108,78.0000,wall,q1,0.0000,17.0818,81.7166,2.8513,35.6413
68,5.3600,203.1556,61.6595,77.0000,wall,q1,0.0000,15.6213,83.0914,2.8513,35.6413
69,5.4400,203.1556,59.1646,76.0000,wall,q1,0.0000,14.3365,84.3551,2.4949,31.1862
70,5.5200,203.1556,57.0261,76.0000,wall,q1,0.0000,13.1487,85.4813,2.1385,26.7310
71,5.6000,203.1556,54.8877,78.0000,wall,q4,0.0000,12.0603,86.6456,2.1385,26.7310
72,5.6800,203.1556,52.7492,74.0000,wall,q4,0.0000,10.7752,87.8466,2.1385,26.7310
73,5.7600,203.5120,50.9671,82.0000,wall,q4,0.0000,9.4096,89.1641,1.8174,22.7170
74,5.8400,203.8684,49.5415,71.0000,wall,q4,0.0000,8.3129,90.2881,1.4695,18.3691
75,5.9200,204.2248,48.1158,71.0000,wall,q4,0.0000,7.1283,91.4219,1.4695,18.3691
76,6.0000,204.2248,47.0466,68.0000,wall,q4,0.0000,6.5429,92.0657,1.0692,13.3655
77,6.0800,203.8684,46.3337,66.0000,wall,q4,0.0000,6.3056,92.2172,0.7970,9.9621
78,6.1600,203.1556,45.2645,68.0000,wall,q4,0.0000,6.2347,92.3176,1.2851,16.0633
79,6.2400,202.7992,44.9081,71.0000,wall,q4,0.0000,6.3056,92.2625,0.5040,6.3006
80,6.3200,202.0864,44.5517,69.0000,wall,q4,0.0000,6.6297,91.9341,0.7970,9.9621
81,6.4000,201.0171,44.5517,64.0000,wall,q4,0.0000,7.5185,91.1095,1.0692,13.3655
82,6.4800,199.5915,44.5517,65.0000,wall,q4,0.0000,8.5688,90.0181,1.4257,17.8207
83,6.5600,198.8786,44.5517,69.0000,wall,q4,0.0000,9.0728,89.4760,0.7128,8.9103
84,6.6400,197.8094,44.9081,73.0000,wall,q4,0.0000,10.0809,88.4334,1.1271,14.0885
85,6.7200,196.7402,45.2645,67.0000,wall,q4,0.0000,11.0890,87.3930,1.1271,14.0885
86,6.8000,195.6709,45.6209,75.0000,wall,q4,0.0000,12.0971,86.3548,1.1271,14.0885
87,6.8800,194.6017,46.3337,76.0000,wall,q4,0.0000,13.3596,85.0817,1.2851,16.0633
88,6.9600,193.1760,46.6901,78.0000,wall,q4,0.0000,14.6173,83.7817,1.4695,18.3691
89,7.0400,191.7504,47.0466,80.0000,wall,q4,0.0000,15.8794,82.4874,1.4695,18.3691
90,7.1200,190.3247,47.4030,77.0000,wall,q4,0.0000,17.1671,81.1990,1.4695,18.3691
91,7.2000,188.5427,47.4030,83.0000,wall,q4,0.0000,18.5369,79.9057,1.7821,22.2758
92,7.2800,186.7606,47.4030,82.0000,wall,q4,0.0000,19.7609,78.6315,1.7821,22.2758
93,7.3600,184.9785,47.0466,89.0000,wall,q4,0.0000,20.6720,77.6330,1.8174,22.7170
94,7.4400,182.4836,46.6901,84.0000,center,q4,0.0000,22.1005,76.1808,2.5202,31.5028
95,7.5200,180.3451,45.9773,83.0000,center,q4,0.0000,22.9465,75.2882,2.2542,28.1769
96,7.6000,177.8503,44.9081,84.0000,center,q4,0.0000,23.6660,74.5042,2.7144,33.9295
97,7.6800,175.7118,44.1953,84.0000,center,q4,0.0000,24.3824,73.7429,2.2542,28.1769
98,7.7600,173.2169,43.4824,88.0000,center,q4,0.0000,25.3154,72.8361,2.5947,32.4341
99,7.8400,170.7220,42.4132,79.0000,center,q4,0.0000,25.7334,72.3088,2.7144,33.9295
100,7.9200,168.2271,41.3439,88.0000,center,q4,0.0000,26.1059,71.8802,2.7144,33.9295
101,8.0000,165.3758,40.6311,84.0000,center,q4,0.0000,26.9393,71.0676,2.9391,36.7382
102,8.0800,162.5245,39.5619,84.0000,center,q4,0.0000,27.2580,70.6872,3.0452,38.0650
103,8.1600,160.0296,38.8491,82.0000,center,q4,0.0000,27.6123,70.2578,2.5947,32.4341
104,8.2400,157.1783,37.7798,90.0000,center,q4,0.0000,27.7270,70.1180,3.0452,38.0650
105,8.3200,154.6834,37.0670,90.0000,center,q4,0.0000,27.8664,69.8944,2.5947,32.4341
106,8.4000,152.1885,35.9977,80.0000,center,q4,0.0000,27.6651,70.1063,2.7144,33.9295
107,8.4800,149.3372,34.9285,86.0000,center,q4,0.0000,27.3882,70.3284,3.0452,38.0650
108,8.5600,146.8423,34.2157,86.0000,center,q4,0.0000,27.3209,70.4129,2.5947,32.4341
109,8.6400,143.9910,33.5029,92.0000,center,q4,0.0000,27.1296,70.5260,2.9391,36.7382
110,8.7200,141.1397,33.1464,91.0000,center,q4,0.0000,27.1927,70.4085,2.8735,35.9187
111,8.8000,138.6448,33.1464,85.0000,center,q4,0.0000,27.5915,70.0917,2.4949,31.1862
112,8.8800,135.7935,33.5029,79.0000,center,q4,0.0000,28.1567,69.4816,2.8735,35.9187
113,8.9600,133.2986,33.8593,87.0000,center,q4,0.0000,28.5487,68.9970,2.5202,31.5028
114,9.0400,130.8037,34.2157,82.0000,center,q4,0.0000,29.0887,68.6016,2.5202,31.5028
115,9.1200,128.6652,34.9285,82.0000,center,q4,0.0000,29.6166,67.9278,2.2542,28.1769
116,9.2000,126.8831,35.9977,80.0000,center,q4,0.0000,30.6515,66.9445,2.0782,25.9779
117,9.2800,125.1011,37.7798,82.0000,center,q4,0.0000,32.4101,65.3019,2.5202,31.5028
118,9.3600,124.0318,39.2055,74.0000,center,q4,0.0000,33.6919,63.9893,1.7821,22.2758
119,9.4400,122.6062,41.3439,81.0000,center,q4,0.0000,35.5789,62.0400,2.5701,32.1267
120,9.5200,121.5369,43.4824,81.0000,center,q4,0.0000,37.5031,60.0804,2.3909,29.8862
121,9.6000,120.8241,44.9081,85.0000,center,q4,0.0000,38.8147,58.7917,1.5939,19.9241
122,9.6800,120.1113,46.6901,84.0000,center,q4,0.0000,40.4886,57.1684,1.9193,23.9918
123,9.7600,119.0421,48.1158,78.0000,center,q4,0.0000,41.7354,55.9875,1.7821,22.2758
124,9.8400,118.3292,49.5415,82.0000,center,q4,0.0000,42.9622,54.7556,1.5939,19.9241
125,9.9200,117.6164,50.9671,79.0000,center,q4,0.0000,44.1737,53.5429,1.5939,19.9241
126,10.0000,116.9036,52.0363,67.0000,center,q4,0.0000,44.9943,52.6940,1.2851,16.0633
127,10.0800,116.1907,52.7492,64.0000,center,q4,0.0000,45.4829,52.2047,1.0081,12.6011
128,10.1600,115.1215,53.8184,62.0000,center,q4,0.0000,46.2473,51.4992,1.5121,18.9017
129,10.2400,114.7651,54.5312,65.0000,center,q4,0.0000,46.8572,50.9337,0.7970,9.9621
130,10.3200,114.7651,55.6005,72.0000,center,q4,0.0000,47.8524,49.9212,1.0692,13.3655
