Track file,G:\Water Maze Data\xxx_0001\data\track_00691.trk
Object,0
Samples,249
Name,7,
Goal Position,SW,
Comment,,
Trial,5,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,193.1760,46.3337,76.0000,wall,q4,0.0000,14.3675,84.0209,-,-
2,0.0800,191.3940,44.5517,91.0000,wall,q4,0.0000,14.5432,83.9373,2.5202,31.5028
3,0.1600,190.6811,43.8388,71.0000,wall,q4,0.0000,14.5432,83.9251,1.0081,12.6011
4,0.2400,190.6811,43.8388,95.0000,wall,q4,0.0000,14.5432,83.9251,0.0000,0.0000
5,0.3200,188.8991,43.1260,61.0000,wall,q4,0.0000,15.1297,83.1768,1.9193,23.9918
6,0.4000,187.1170,42.4132,41.0000,wall,q4,0.0000,15.8794,82.4664,1.9193,23.9918
7,0.4800,-,-,-,-,-,-,-,-,-,-
8,0.5600,184.9785,40.2747,49.0000,wall,q4,0.0000,15.6254,82.6322,-,-
9,0.6400,184.9785,40.2747,90.0000,wall,q4,0.0000,15.6254,82.6322,0.0000,0.0000
10,0.7200,184.6221,38.8491,96.0000,wall,q4,0.0000,14.8330,83.4869,1.4695,18.3691
11,0.8000,184.9785,37.0670,102.0000,wall,q4,0.0000,13.1487,85.0859,1.8174,22.7170
12,0.8800,185.6913,35.2849,89.0000,wall,q4,0.0000,11.2708,86.9173,1.9193,23.9918
13,0.9600,186.4042,34.2157,91.0000,wall,q4,0.0000,9.9859,88.1969,1.2851,16.0633
14,1.0400,187.1170,32.7900,94.0000,wall,q4,0.0000,8.4117,89.7545,1.5939,19.9241
15,1.1200,187.8298,31.7208,92.0000,wall,q4,0.0000,7.1283,91.0347,1.2851,16.0633
16,1.2000,187.8298,30.6515,101.0000,wall,q4,0.0000,6.3056,91.8722,1.0692,13.3655
17,1.2800,187.8298,30.6515,104.0000,wall,q4,0.0000,6.3056,91.8722,0.0000,0.0000
18,1.3600,187.1170,30.2951,103.0000,wall,q4,0.0000,6.4253,91.7143,0.7970,9.9621
