Track file,G:\Water Maze Data\xxx_0001\data\track_00063.trk
Object,0
Samples,254
Name,7,
Goal Position,NE,
Comment,,
Trial,5,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,222.4019,135.7935,210.0000,wall,q1,0.0000,1.7821,97.1935,-,-
2,0.0800,222.0455,137.2191,164.0000,wall,q1,0.0000,1.5939,97.3529,1.4695,18.3691
3,0.1600,222.0455,137.5755,151.0000,wall,q1,0.0000,1.4695,97.4794,0.3564,4.4552
4,0.2400,222.0455,138.2884,131.0000,wall,q1,0.0000,1.1271,97.7358,0.7128,8.9103
5,0.3200,222.4019,137.5755,138.0000,wall,q1,0.0000,1.1271,97.8125,0.7970,9.9621
6,0.4000,222.7583,136.1499,146.0000,wall,q1,0.0000,1.2851,97.6499,1.4695,18.3691
7,0.4800,208.5018,145.4166,102.0000,wall,q1,0.0000,10.2805,88.4609,17.0036,212.5446
8,0.5600,205.2941,144.3474,107.0000,wall,q1,0.0000,13.5718,85.1369,3.3812,42.2654
9,0.6400,204.2248,143.2782,97.0000,wall,q1,0.0000,15.0371,83.6829,1.5121,18.9017
10,0.7200,202.7992,140.0704,84.0000,wall,q1,0.0000,17.8527,80.9118,3.5103,43.8783
11,0.8000,202.4428,139.3576,85.0000,wall,q1,0.0000,18.4923,80.2686,0.7970,9.9621
12,0.8800,202.0864,135.7935,100.0000,wall,q1,0.0000,20.4029,78.3866,3.5819,44.7739
13,0.9600,202.7992,133.2986,97.0000,wall,q1,0.0000,20.8829,78.0258,2.5947,32.4341
14,1.0400,203.1556,132.2293,95.0000,wall,q1,0.0000,20.9649,77.9443,1.1271,14.0885
15,1.1200,204.5813,129.3780,96.0000,wall,q1,0.0000,20.6258,78.2532,3.1879,39.8482
16,1.2000,204.9377,128.3088,91.0000,wall,q1,0.0000,20.6505,78.2336,1.1271,14.0885
17,1.2800,207.4326,126.1703,95.0000,wall,q1,0.0000,19.0639,79.9458,3.2860,41.0746
18,1.3600,208.8582,124.7447,92.0000,wall,q1,0.0000,18.0684,80.9124,2.0162,25.2022
19,1.4400,209.5710,124.0318,85.0000,wall,q1,0.0000,17.5513,81.4102,1.0081,12.6011
20,1.5200,210.6403,122.2498,86.0000,wall,q1,0.0000,16.9437,82.0024,2.0782,25.9779
21,1.6000,210.9967,121.5369,88.0000,wall,q1,0.0000,16.7779,82.1835,0.7970,9.9621
22,1.6800,212.4223,119.3985,84.0000,wall,q1,0.0000,15.9114,83.1194,2.5701,32.1267
23,1.7600,213.1352,117.6164,93.0000,wall,q1,0.0000,15.5275,83.4837,1.9193,23.9918
