Track file,G:\Water Maze Data\xxx_0001\data\track_00094.trk
Object,0
Samples,460
Name,6,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,44.1953,77.3417,27.0000,wall,q3,0.0000,8.5688,90.4405,-,-
2,0.0800,44.9081,76.2725,21.0000,wall,q3,0.0000,8.9388,90.0661,1.2851,16.0633
3,0.1600,45.6209,76.2725,28.0000,wall,q3,0.0000,9.5967,89.3852,0.7128,8.9103
4,0.2400,46.3337,75.9160,48.0000,wall,q3,0.0000,10.1437,88.8121,0.7970,9.9621
5,0.3200,47.4030,75.2032,58.0000,wall,q3,0.0000,10.9332,88.0147,1.2851,16.0633
6,0.4000,48.8286,74.1340,57.0000,wall,q3,0.0000,11.8477,87.0088,1.7821,22.2758
7,0.4800,50.2543,73.0647,49.0000,wall,q3,0.0000,12.8507,86.0280,1.7821,22.2758
8,0.5600,52.3928,71.9955,52.0000,wall,q3,0.0000,14.4336,84.4093,2.3909,29.8862
9,0.6400,53.8184,71.2827,58.0000,wall,q3,0.0000,15.5602,83.3508,1.5939,19.9241
10,0.7200,55.6005,70.5698,62.0000,wall,q3,0.0000,16.8987,81.9817,1.9193,23.9918
11,0.8000,57.3825,69.8570,58.0000,wall,q3,0.0000,18.1736,80.6351,1.9193,23.9918
12,0.8800,59.1646,69.5006,67.0000,wall,q3,0.0000,19.6060,79.1614,1.8174,22.7170
13,0.9600,61.3031,68.7878,65.0000,wall,q3,0.0000,21.1999,77.5370,2.2542,28.1769
14,1.0400,63.4416,68.4314,68.0000,wall,q3,0.0000,22.9548,75.7823,2.1680,27.0997
15,1.1200,65.2236,68.0749,60.0000,center,q3,0.0000,24.3954,74.3645,1.8174,22.7170
16,1.2000,67.0057,68.0749,70.0000,center,q3,0.0000,25.9179,72.7937,1.7821,22.2758
17,1.2800,69.1442,68.0749,64.0000,center,q3,0.0000,27.7637,70.9218,2.1385,26.7310
18,1.3600,70.9263,68.0749,72.0000,center,q3,0.0000,29.2802,69.3737,1.7821,22.2758
19,1.4400,73.0647,68.4314,65.0000,center,q3,0.0000,31.2995,67.3485,2.1680,27.0997
20,1.5200,74.4904,68.4314,58.0000,center,q3,0.0000,32.5275,66.1267,1.4257,17.8207
21,1.6000,76.2725,68.7878,59.0000,center,q3,0.0000,34.2027,64.4222,1.8174,22.7170
22,1.6800,77.6981,69.1442,50.0000,center,q3,0.0000,35.5914,63.0250,1.4695,18.3691
23,1.7600,79.1238,69.8570,51.0000,center,q3,0.0000,37.1765,61.4392,1.5939,19.9241
24,1.8400,80.1930,70.5698,51.0000,center,q3,0.0000,38.4613,60.1545,1.2851,16.0633
25,1.9200,81.2622,71.9955,52.0000,center,q3,0.0000,40.1341,58.4910,1.7821,22.2758
26,2.0000,81.9751,73.0647,64.0000,center,q3,0.0000,41.3209,57.3242,1.2851,16.0633
27,2.0800,82.6879,74.8468,65.0000,center,q3,0.0000,42.8482,55.8019,1.9193,23.9918
28,2.1600,83.0443,76.6289,58.0000,center,q3,0.0000,44.0758,54.6173,1.8174,22.7170
29,2.2400,82.6879,78.4109,66.0000,center,q3,0.0000,44.6300,54.1034,1.8174,22.7170
30,2.3200,82.3315,80.1930,65.0000,center,q3,0.0000,45.1085,53.6462,1.8174,22.7170
31,2.4000,81.6187,81.2622,71.0000,center,q3,0.0000,44.9491,53.8566,1.2851,16.0633
32,2.4800,80.5494,82.6879,68.0000,center,q3,0.0000,44.5517,54.2935,1.7821,22.2758
33,2.5600,79.1238,83.4007,70.0000,center,q3,0.0000,43.4839,55.3661,1.5939,19.9241
34,2.6400,78.4109,84.1135,79.0000,center,q3,0.0000,43.0597,55.7912,1.0081,12.6011
35,2.7200,77.3417,84.4700,83.0000,center,q3,0.0000,42.1744,56.6834,1.1271,14.0885
36,2.8000,75.2032,84.8264,84.0000,center,q3,0.0000,40.3062,58.6004,2.1680,27.0997
37,2.8800,73.7776,84.8264,83.0000,center,q3,0.0000,38.9861,59.9588,1.4257,17.8207
38,2.9600,72.3519,84.8264,72.0000,center,q3,0.0000,37.6451,61.3203,1.4257,17.8207
39,3.0400,70.5698,84.1135,69.0000,center,q3,0.0000,35.7285,63.2332,1.9193,23.9918
40,3.1200,69.1442,83.4007,59.0000,center,q3,0.0000,34.1506,64.8065,1.5939,19.9241
41,3.2000,68.0749,82.3315,62.0000,center,q3,0.0000,32.7629,66.1506,1.5121,18.9017
42,3.2800,67.0057,81.2622,69.0000,center,q3,0.0000,31.3725,67.5019,1.5121,18.9017
43,3.3600,66.6493,80.1930,77.0000,center,q3,0.0000,30.6640,68.1870,1.1271,14.0885
44,3.4400,66.2929,78.0545,75.0000,center,q3,0.0000,29.5845,69.2588,2.1680,27.0997
45,3.5200,66.2929,76.6289,80.0000,center,q3,0.0000,29.0821,69.7813,1.4257,17.8207
46,3.6000,66.6493,74.4904,68.0000,center,q3,0.0000,28.5331,70.2853,2.1680,27.0997
47,3.6800,67.0057,72.7083,76.0000,center,q3,0.0000,28.0550,70.6996,1.8174,22.7170
48,3.7600,68.0749,70.9263,69.0000,center,q3,0.0000,28.2130,70.5214,2.0782,25.9779
49,3.8400,69.1442,69.1442,73.0000,center,q3,0.0000,28.3007,70.4042,2.0782,25.9779
50,3.9200,70.2134,67.7185,74.0000,center,q3,0.0000,28.4863,70.1692,1.7821,22.2758
51,4.0000,71.9955,66.2929,78.0000,center,q3,0.0000,29.2606,69.3718,2.2822,28.5270
52,4.0800,73.7776,65.2236,73.0000,center,q3,0.0000,30.1964,68.4446,2.0782,25.9779
53,4.1600,75.2032,64.1544,67.0000,center,q3,0.0000,30.7281,67.8612,1.7821,22.2758
54,4.2400,76.6289,63.4416,73.0000,center,q3,0.0000,31.4473,67.1103,1.5939,19.9241
55,4.3200,78.0545,62.7287,68.0000,center,q3,0.0000,32.1267,66.3891,1.5939,19.9241
56,4.4000,79.1238,62.3723,69.0000,center,q3,0.0000,32.7299,65.7586,1.1271,14.0885
57,4.4800,80.9058,61.6595,66.0000,center,q3,0.0000,33.7258,64.8131,1.9193,23.9918
58,4.5600,82.3315,60.9467,67.0000,center,q3,0.0000,34.2750,64.1809,1.5939,19.9241
59,4.6400,84.1135,60.5903,59.0000,center,q3,0.0000,35.2867,63.0791,1.8174,22.7170
60,4.7200,85.1828,59.8774,61.0000,center,q3,0.0000,35.5789,62.7743,1.2851,16.0633
61,4.8000,87.3213,59.1646,57.0000,center,q3,0.0000,36.5858,61.7339,2.2542,28.1769
62,4.8800,88.7469,58.8082,58.0000,center,q3,0.0000,37.3027,60.9908,1.4695,18.3691
63,4.9600,90.5290,58.8082,57.0000,center,q3,0.0000,38.4695,59.7709,1.7821,22.2758
64,5.0400,91.9546,59.1646,70.0000,center,q3,0.0000,39.6645,58.5493,1.4695,18.3691
65,5.1200,93.3803,59.5210,67.0000,center,q3,0.0000,40.8774,57.3394,1.4695,18.3691
66,5.2000,95.1624,60.2339,75.0000,center,q3,0.0000,42.5567,55.6398,1.9193,23.9918
67,5.2800,96.9444,61.3031,69.0000,center,q3,0.0000,44.4832,53.6787,2.0782,25.9779
68,5.3600,98.3701,62.3723,68.0000,center,q3,0.0000,46.1978,51.9497,1.7821,22.2758
69,5.4400,99.4393,63.4416,67.0000,center,q3,0.0000,47.6915,50.4465,1.5121,18.9017
70,5.5200,100.1521,65.2236,66.0000,center,q3,0.0000,49.5466,48.6131,1.9193,23.9918
71,5.6000,100.8650,66.2929,70.0000,center,q3,0.0000,50.8286,47.3345,1.2851,16.0633
72,5.6800,101.5778,68.4314,66.0000,center,q3,0.0000,52.9631,45.2382,2.2542,28.1769
73,5.7600,101.5778,69.5006,70.0000,center,q3,0.0000,53.7806,44.4309,1.0692,13.3655
74,5.8400,101.9342,70.9263,70.0000,center,q3,0.0000,55.0886,43.1314,1.4695,18.3691
75,5.9200,101.9342,72.3519,67.0000,center,q3,0.0000,56.1755,42.0882,1.4257,17.8207
76,6.0000,101.5778,74.1340,64.0000,center,q3,0.0000,57.2540,41.0711,1.8174,22.7170
77,6.0800,101.2214,75.5596,60.0000,center,q3,0.0000,58.0002,40.3506,1.4695,18.3691
78,6.1600,100.5086,76.6289,60.0000,center,q3,0.0000,58.2221,40.1739,1.2851,16.0633
79,6.2400,100.1521,78.0545,61.0000,center,q3,0.0000,58.9560,39.5367,1.4695,18.3691
80,6.3200,99.4393,79.8366,61.0000,center,q3,0.0000,59.5082,39.0195,1.9193,23.9918
81,6.4000,98.3701,81.6187,53.0000,center,q3,0.0000,59.7298,38.8892,2.0782,25.9779
82,6.4800,98.0137,82.6879,49.0000,center,q3,0.0000,60.0057,38.6205,1.1271,14.0885
83,6.5600,96.9444,83.7571,54.0000,center,q3,0.0000,59.6585,39.0035,1.5121,18.9017
84,6.6400,96.2316,84.8264,56.0000,center,q3,0.0000,59.5978,39.1239,1.2851,16.0633
85,6.7200,95.1624,85.8956,57.0000,center,q3,0.0000,59.1356,39.6079,1.5121,18.9017
86,6.8000,94.0931,87.6777,60.0000,center,q3,0.0000,58.9754,39.8670,2.0782,25.9779
87,6.8800,93.3803,89.1033,56.0000,center,q3,0.0000,58.8374,40.0166,1.5939,19.9241
88,6.9600,92.3111,90.5290,57.0000,center,q3,0.0000,58.3180,40.5684,1.7821,22.2758
89,7.0400,91.5982,92.3111,61.0000,center,q3,0.0000,58.1784,40.7529,1.9193,23.9918
90,7.1200,90.8854,93.7367,62.0000,center,q3,0.0000,57.8335,41.1038,1.5939,19.9241
91,7.2000,90.1726,95.1624,62.0000,center,q3,0.0000,57.4699,41.5129,1.5939,19.9241
92,7.2800,89.8162,96.5880,61.0000,center,q3,0.0000,57.3117,41.6262,1.4695,18.3691
93,7.3600,88.3905,98.7265,50.0000,center,q3,0.0000,56.2546,42.7792,2.5701,32.1267
94,7.4400,87.6777,100.1521,56.0000,center,q3,0.0000,55.6108,43.3779,1.5939,19.9241
95,7.5200,86.6084,101.5778,64.0000,center,q3,0.0000,54.5883,44.3825,1.7821,22.2758
96,7.6000,85.1828,103.0035,66.0000,center,q3,0.0000,53.2251,45.7912,2.0162,25.2022
97,7.6800,84.1135,103.7163,69.0000,center,q3,0.0000,52.1144,46.8687,1.2851,16.0633
98,7.7600,82.3315,105.1419,74.0000,center,q3,0.0000,50.2745,48.6977,2.2822,28.5270
99,7.8400,80.9058,105.4983,80.0000,center,q3,0.0000,48.8403,50.1396,1.4695,18.3691
100,7.9200,79.1238,106.5676,74.0000,center,q3,0.0000,47.0466,51.9854,2.0782,25.9779
101,8.0000,77.6981,106.9240,76.0000,center,q3,0.0000,45.6209,53.4336,1.4695,18.3691
102,8.0800,75.9160,107.2804,70.0000,center,q3,0.0000,43.8388,55.2382,1.8174,22.7170
103,8.1600,74.1340,107.6368,71.0000,center,q3,0.0000,42.0417,57.0437,1.8174,22.7170
104,8.2400,72.3519,107.6368,70.0000,center,q3,0.0000,40.2747,58.8195,1.7821,22.2758
105,8.3200,70.9263,107.6368,71.0000,center,q3,0.0000,38.8491,60.2405,1.4257,17.8207
106,8.4000,69.5006,107.2804,72.0000,center,q3,0.0000,37.4234,61.6349,1.4695,18.3691
107,8.4800,67.7185,106.2112,76.0000,center,q3,0.0000,35.6431,63.3461,2.0782,25.9779
108,8.5600,66.6493,105.4983,73.0000,center,q3,0.0000,34.5886,64.3802,1.2851,16.0633
109,8.6400,65.5801,104.0727,68.0000,center,q3,0.0000,33.5956,65.4056,1.7821,22.2758
110,8.7200,64.5108,103.0035,71.0000,center,q3,0.0000,32.6289,66.4631,1.5121,18.9017
111,8.8000,64.1544,101.5778,76.0000,center,q3,0.0000,32.1741,66.8307,1.4695,18.3691
112,8.8800,63.7980,100.5086,82.0000,center,q3,0.0000,31.7528,67.2153,1.1271,14.0885
113,8.9600,63.7980,98.7265,78.0000,center,q3,0.0000,31.7208,67.3001,1.7821,22.2758
114,9.0400,64.1544,96.9444,80.0000,center,q3,0.0000,32.0078,67.0768,1.8174,22.7170
115,9.1200,64.5108,95.1624,77.0000,center,q3,0.0000,32.1108,66.9022,1.8174,22.7170
116,9.2000,65.2236,93.7367,82.0000,center,q3,0.0000,32.5802,66.3741,1.5939,19.9241
117,9.2800,66.2929,92.3111,82.0000,center,q3,0.0000,33.4212,65.5285,1.7821,22.2758
118,9.3600,67.7185,90.8854,75.0000,center,q3,0.0000,34.6308,64.3706,2.0162,25.2022
119,9.4400,68.7878,89.8162,86.0000,center,q3,0.0000,35.4483,63.5304,1.5121,18.9017
120,9.5200,70.5698,88.7469,84.0000,center,q3,0.0000,36.9176,62.0209,2.0782,25.9779
121,9.6000,72.3519,87.3213,79.0000,center,q3,0.0000,38.2958,60.6352,2.2822,28.5270
122,9.6800,74.1340,86.2520,75.0000,center,q3,0.0000,39.7653,59.2043,2.0782,25.9779
123,9.7600,75.9160,85.1828,78.0000,center,q3,0.0000,41.1005,57.8127,2.0782,25.9779
124,9.8400,77.6981,84.1135,80.0000,center,q3,0.0000,42.3877,56.4633,2.0782,25.9779
125,9.9200,79.4802,83.4007,74.0000,center,q3,0.0000,43.8142,55.0325,1.9193,23.9918
126,10.0000,81.9751,82.3315,76.0000,center,q3,0.0000,45.7460,53.1086,2.7144,33.9295
127,10.0800,83.7571,81.2622,80.0000,center,q3,0.0000,46.8626,51.9039,2.0782,25.9779
128,10.1600,85.8956,80.5494,80.0000,center,q3,0.0000,48.4565,50.2780,2.2542,28.1769
129,10.2400,87.6777,79.1238,76.0000,center,q3,0.0000,49.3359,49.3550,2.2822,28.5270
130,10.3200,89.8162,78.4109,76.0000,center,q3,0.0000,50.7973,47.8498,2.2542,28.1769
131,10.4000,91.9546,76.9853,81.0000,center,q3,0.0000,51.8284,46.7949,2.5701,32.1267
132,10.4800,93.7367,75.9160,76.0000,center,q3,0.0000,52.6105,45.9375,2.0782,25.9779
133,10.5600,95.5188,74.8468,76.0000,center,q3,0.0000,53.3288,45.1596,2.0782,25.9779
134,10.6400,97.6573,73.7776,75.0000,center,q3,0.0000,54.1901,44.1959,2.3909,29.8862
135,10.7200,99.4393,72.7083,75.0000,center,q3,0.0000,54.7591,43.5999,2.0782,25.9779
136,10.8000,101.5778,71.6391,82.0000,center,q3,0.0000,55.4002,42.8507,2.3909,29.8862
