Track file,G:\Water Maze Data\xxx_0001\data\track_00016.trk
Object,0
Samples,228
Name,9,
Goal Position,NE,
Comment,,
Trial,2,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,220.9763,140.0704,91.0000,wall,q1,0.0000,1.5939,97.4078,-,-
2,0.0800,220.6199,141.1397,61.0000,wall,q1,0.0000,1.4695,97.4939,1.1271,14.0885
3,0.1600,219.9070,141.8525,62.0000,wall,q1,0.0000,1.7821,97.1232,1.0081,12.6011
4,0.2400,209.9275,142.9217,79.0000,wall,q1,0.0000,10.2061,88.5555,10.0367,125.4586
5,0.3200,208.5018,141.1397,104.0000,wall,q1,0.0000,12.2743,86.4826,2.2822,28.5270
6,0.4000,206.7197,137.9320,94.0000,wall,q1,0.0000,15.3050,83.4897,3.6695,45.8687
7,0.4800,220.6199,140.0704,150.0000,wall,q1,0.0000,1.9193,97.0786,14.0637,175.7957
8,0.5600,205.2941,132.9422,96.0000,wall,q1,0.0000,18.7109,80.1938,16.9024,211.2801
9,0.6400,204.9377,131.1601,92.0000,wall,q1,0.0000,19.6577,79.2086,1.8174,22.7170
10,0.7200,205.6505,128.3088,80.0000,wall,q1,0.0000,19.9878,78.9079,2.9391,36.7382
11,0.8000,206.0069,126.8831,95.0000,wall,q1,0.0000,20.1775,78.7982,1.4695,18.3691
12,0.8800,207.7890,125.1011,84.0000,wall,q1,0.0000,19.0206,79.9823,2.5202,31.5028
13,0.9600,209.5710,124.3883,91.0000,wall,q1,0.0000,17.4752,81.5038,1.9193,23.9918
14,1.0400,211.7095,124.3883,101.0000,wall,q1,0.0000,15.3878,83.5679,2.1385,26.7310
15,1.1200,213.4916,124.7447,95.0000,wall,q1,0.0000,13.5718,85.3817,1.8174,22.7170
16,1.2000,214.5608,125.8139,102.0000,wall,q1,0.0000,12.2898,86.6930,1.5121,18.9017
17,1.2800,215.6301,127.5960,100.0000,wall,q1,0.0000,10.8223,88.2083,2.0782,25.9779
18,1.3600,215.6301,129.3780,94.0000,wall,q1,0.0000,10.2620,88.7254,1.7821,22.2758
19,1.4400,215.2737,130.8037,99.0000,wall,q1,0.0000,10.1437,88.8242,1.4695,18.3691
20,1.5200,214.2044,132.2293,92.0000,wall,q1,0.0000,10.5969,88.2748,1.7821,22.2758
21,1.6000,212.7788,132.9422,92.0000,wall,q1,0.0000,11.7238,87.1757,1.5939,19.9241
22,1.6800,211.3531,132.9422,94.0000,wall,q1,0.0000,13.0712,85.8392,1.4257,17.8207
23,1.7600,209.9275,132.5858,97.0000,wall,q1,0.0000,14.5126,84.3794,1.4695,18.3691
24,1.8400,208.8582,131.8729,100.0000,wall,q1,0.0000,15.7791,83.1279,1.2851,16.0633
25,1.9200,208.1454,131.1601,90.0000,wall,q1,0.0000,16.6868,82.2119,1.0081,12.6011
26,2.0000,207.4326,129.7345,82.0000,wall,q1,0.0000,17.8135,81.0587,1.5939,19.9241
27,2.0800,207.0761,128.6652,78.0000,wall,q1,0.0000,18.5335,80.3723,1.1271,14.0885
28,2.1600,206.7197,127.9524,73.0000,wall,q1,0.0000,19.1437,79.8076,0.7970,9.9621
29,2.2400,206.3633,126.8831,89.0000,wall,q1,0.0000,19.8379,79.1377,1.1271,14.0885
30,2.3200,206.3633,126.1703,99.0000,wall,q1,0.0000,20.0671,78.9239,0.7128,8.9103
31,2.4000,206.3633,124.7447,110.0000,wall,q1,0.0000,20.4899,78.5138,1.4257,17.8207
32,2.4800,207.0761,123.3190,107.0000,wall,q1,0.0000,20.1429,78.8157,1.5939,19.9241
33,2.5600,207.7890,122.2498,107.0000,wall,q1,0.0000,19.7158,79.2352,1.2851,16.0633
34,2.6400,208.8582,121.1805,108.0000,wall,q1,0.0000,18.9436,80.0201,1.5121,18.9017
35,2.7200,209.9275,120.4677,108.0000,wall,q1,0.0000,18.0684,80.9027,1.2851,16.0633
36,2.8000,210.9967,120.1113,98.0000,wall,q1,0.0000,17.1264,81.8705,1.1271,14.0885
37,2.8800,212.4223,119.7549,87.0000,wall,q1,0.0000,15.8193,83.1912,1.4695,18.3691
38,2.9600,213.4916,119.7549,75.0000,wall,q1,0.0000,14.7858,84.2383,1.0692,13.3655
39,3.0400,214.2044,120.1113,80.0000,wall,q1,0.0000,14.0048,85.0085,0.7970,9.9621
40,3.1200,214.5608,120.8241,85.0000,wall,q1,0.0000,13.4920,85.5048,0.7970,9.9621
41,3.2000,214.9172,121.5369,92.0000,wall,q1,0.0000,12.9736,86.0056,0.7970,9.9621
42,3.2800,214.9172,122.2498,92.0000,wall,q1,0.0000,12.7962,86.1635,0.7128,8.9103
43,3.3600,214.2044,122.9626,87.0000,wall,q1,0.0000,13.3167,85.6341,1.0081,12.6011
44,3.4400,213.1352,123.3190,86.0000,wall,q1,0.0000,14.2654,84.6808,1.1271,14.0885
45,3.5200,211.7095,122.9626,91.0000,wall,q1,0.0000,15.7348,83.2113,1.4695,18.3691
46,3.6000,210.6403,122.6062,91.0000,wall,q1,0.0000,16.8573,82.0876,1.1271,14.0885
47,3.6800,209.2146,121.5369,94.0000,wall,q1,0.0000,18.5061,80.4493,1.7821,22.2758
48,3.7600,208.5018,120.4677,97.0000,wall,q1,0.0000,19.4499,79.5120,1.2851,16.0633
49,3.8400,207.4326,118.6856,95.0000,wall,q1,0.0000,20.9194,78.0883,2.0782,25.9779
50,3.9200,207.0761,117.2600,97.0000,wall,q1,0.0000,21.5740,77.4609,1.4695,18.3691
51,4.0000,206.7197,115.8343,101.0000,center,q1,0.0000,22.1579,76.8565,1.4695,18.3691
