Track file,G:\Water Maze Data\xxx_0001\data\track_00046.trk
Object,0
Samples,673
Name,9,
Goal Position,NE,
Comment,,
Trial,4,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,221.3327,139.3576,74.0000,wall,q1,0.0000,1.4695,97.4678,-,-
2,0.0800,221.3327,140.4269,85.0000,wall,q1,0.0000,1.1271,97.8736,1.0692,13.3655
3,0.1600,209.9275,141.8525,95.0000,wall,q1,0.0000,10.6805,88.0765,11.4940,143.6748
4,0.2400,204.2248,142.5653,117.0000,wall,q1,0.0000,15.4208,83.3406,5.7470,71.8374
5,0.3200,201.7299,143.9910,88.0000,wall,q1,0.0000,16.8120,81.8642,2.8735,35.9187
6,0.4000,199.9479,145.4166,105.0000,wall,q1,0.0000,17.6055,81.0689,2.2822,28.5270
7,0.4800,198.5222,147.5551,109.0000,wall,q1,0.0000,17.6955,81.0204,2.5701,32.1267
8,0.5600,198.1658,148.2679,118.0000,wall,q1,0.0000,17.5368,81.1207,0.7970,9.9621
9,0.6400,196.7402,151.8321,114.0000,wall,q1,0.0000,16.5377,82.0226,3.8387,47.9836
10,0.7200,196.0273,154.3270,115.0000,wall,q1,0.0000,15.5398,82.9774,2.5947,32.4341
11,0.8000,196.3837,156.4655,106.0000,wall,q1,0.0000,13.9730,84.5968,2.1680,27.0997
12,0.8800,197.0966,158.2475,110.0000,wall,q1,0.0000,12.3517,86.2831,1.9193,23.9918
13,0.9600,197.8094,158.9603,114.0000,wall,q1,0.0000,11.3438,87.2873,1.0081,12.6011
14,1.0400,200.6607,160.7424,101.0000,wall,q1,0.0000,8.0094,90.6180,3.3624,42.0300
15,1.1200,202.4428,161.4552,110.0000,wall,q1,0.0000,6.1320,92.4460,1.9193,23.9918
16,1.2000,203.8684,161.0988,117.0000,wall,q1,0.0000,5.2624,93.3296,1.4695,18.3691
17,1.2800,203.8684,161.0988,110.0000,wall,q1,0.0000,5.2624,93.3296,0.0000,0.0000
18,1.3600,203.8684,160.7424,120.0000,wall,q1,0.0000,5.4404,93.1074,0.3564,4.4552
19,1.4400,203.8684,160.0296,104.0000,wall,q1,0.0000,5.8456,92.6656,0.7128,8.9103
20,1.5200,203.5120,158.9603,106.0000,wall,q1,0.0000,6.8093,91.7272,1.1271,14.0885
21,1.6000,203.8684,157.5347,87.0000,wall,q1,0.0000,7.4165,91.1464,1.4695,18.3691
22,1.6800,203.8684,156.8219,100.0000,wall,q1,0.0000,7.8492,90.7202,0.7128,8.9103
23,1.7600,203.5120,155.3962,88.0000,wall,q1,0.0000,8.9955,89.5900,1.4695,18.3691
24,1.8400,202.0864,151.8321,96.0000,wall,q1,0.0000,12.2639,86.3683,3.8387,47.9836
25,1.9200,200.6607,150.0500,93.0000,wall,q1,0.0000,14.4732,84.1857,2.2822,28.5270
26,2.0000,198.8786,148.6244,100.0000,wall,q1,0.0000,16.7552,81.9109,2.2822,28.5270
27,2.0800,197.4530,147.5551,101.0000,wall,q1,0.0000,18.5369,80.1311,1.7821,22.2758
28,2.1600,196.0273,147.1987,106.0000,wall,q1,0.0000,19.8890,78.7509,1.4695,18.3691
29,2.2400,193.1760,146.4859,107.0000,center,q1,0.0000,22.6007,76.0006,2.9391,36.7382
30,2.3200,191.0375,146.4859,104.0000,center,q1,0.0000,24.3224,74.2606,2.1385,26.7310
31,2.4000,188.8991,146.8423,113.0000,center,q1,0.0000,25.7852,72.7569,2.1680,27.0997
32,2.4800,187.1170,147.1987,112.0000,center,q1,0.0000,26.9464,71.5668,1.8174,22.7170
33,2.5600,186.0478,147.5551,109.0000,center,q1,0.0000,27.5939,70.9552,1.1271,14.0885
34,2.6400,183.1965,149.3372,110.0000,center,q1,0.0000,28.4796,69.9381,3.3624,42.0300
35,2.7200,181.7708,150.4064,117.0000,center,q1,0.0000,28.7703,69.6067,1.7821,22.2758
36,2.8000,180.7016,151.1193,114.0000,center,q1,0.0000,29.1148,69.3250,1.2851,16.0633
37,2.8800,178.5631,153.2577,115.0000,center,q1,0.0000,28.9837,69.3470,3.0243,37.8033
38,2.9600,178.2067,154.3270,113.0000,center,q1,0.0000,28.3880,69.8872,1.1271,14.0885
39,3.0400,176.7810,157.1783,114.0000,center,q1,0.0000,27.1857,71.0876,3.1879,39.8482
40,3.1200,176.0682,159.3168,108.0000,center,q1,0.0000,25.8836,72.2892,2.2542,28.1769
41,3.2000,175.7118,160.0296,114.0000,center,q1,0.0000,25.5228,72.6276,0.7970,9.9621
42,3.2800,174.6425,162.8809,110.0000,center,q2,0.0000,23.8824,74.2605,3.0452,38.0650
43,3.3600,174.2861,163.9501,104.0000,center,q2,0.0000,23.2435,74.9214,1.1271,14.0885
44,3.4400,172.8605,166.4450,109.0000,center,q2,0.0000,21.8839,76.1775,2.8735,35.9187
45,3.5200,171.4348,167.8707,107.0000,center,q2,0.0000,21.3967,76.6099,2.0162,25.2022
46,3.6000,170.7220,168.2271,106.0000,center,q2,0.0000,21.4589,76.5402,0.7970,9.9621
47,3.6800,168.9399,170.3656,110.0000,center,q2,0.0000,20.5611,77.4870,2.7837,34.7960
48,3.7600,168.2271,170.7220,102.0000,center,q2,0.0000,20.5642,77.4525,0.7970,9.9621
