Track file,G:\Water Maze Data\xxx_0001\data\track_00237.trk
Object,0
Samples,77
Name,6,
Goal Position,NE,
Comment,,
Trial,4,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,184.2657,43.1260,93.0000,wall,q4,0.0000,18.2085,80.0192,-,-
2,0.0800,181.0580,41.3439,87.0000,wall,q4,0.0000,18.8933,79.2931,3.6695,45.8687
3,0.1600,178.5631,40.2747,87.0000,wall,q4,0.0000,19.5378,78.5895,2.7144,33.9295
4,0.2400,177.8503,40.2747,84.0000,wall,q4,0.0000,19.9719,78.1599,0.7128,8.9103
5,0.3200,173.9297,39.5619,91.0000,center,q4,0.0000,21.6505,76.4621,3.9848,49.8103
6,0.4000,172.8605,39.2055,91.0000,center,q4,0.0000,21.8839,76.1639,1.1271,14.0885
7,0.4800,169.2963,38.8491,97.0000,center,q4,0.0000,23.4286,74.5690,3.5819,44.7739
8,0.5600,166.8014,38.4926,96.0000,center,q4,0.0000,24.3876,73.6293,2.5202,31.5028
9,0.6400,165.7322,38.1362,97.0000,center,q4,0.0000,24.5486,73.4287,1.1271,14.0885
10,0.7200,161.8117,38.1362,90.0000,center,q4,0.0000,26.2805,71.6561,3.9205,49.0068
11,0.8000,160.3860,38.1362,94.0000,center,q4,0.0000,26.8164,71.0542,1.4257,17.8207
12,0.8800,156.8219,39.2055,89.0000,center,q4,0.0000,29.1933,68.6627,3.7211,46.5133
13,0.9600,156.1090,39.9183,94.0000,center,q4,0.0000,30.0932,67.7351,1.0081,12.6011
14,1.0400,152.9013,41.7004,91.0000,center,q4,0.0000,32.8307,64.9314,3.6695,45.8687
15,1.1200,151.1193,42.7696,87.0000,center,q4,0.0000,34.4893,63.3368,2.0782,25.9779
16,1.2000,150.4064,43.4824,87.0000,center,q4,0.0000,35.3568,62.4359,1.0081,12.6011
17,1.2800,147.5551,45.6209,95.0000,center,q4,0.0000,38.1379,59.5512,3.5641,44.5517
18,1.3600,145.7731,47.0466,96.0000,NE,q4,0.0000,40.0152,57.7008,2.2822,28.5270
19,1.4400,144.7038,47.7594,103.0000,NE,q4,0.0000,40.9798,56.7439,1.2851,16.0633
20,1.5200,142.2089,49.8979,98.0000,NE,q4,0.0000,43.6006,54.0988,3.2860,41.0746
21,1.6000,141.4961,50.6107,99.0000,NE,q4,0.0000,44.4146,53.2563,1.0081,12.6011
