Track file,G:\Water Maze Data\xxx_0001\data\track_00235.trk
Object,0
Samples,406
Name,9,
Goal Position,NE,
Comment,,
Trial,4,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,194.6017,52.7492,86.0000,wall,q4,0.0000,17.5368,80.9650,-,-
2,0.0800,193.1760,54.1748,84.0000,wall,q4,0.0000,19.5378,78.9633,2.0162,25.2022
3,0.1600,192.4632,55.9569,91.0000,wall,q4,0.0000,21.2238,77.3101,1.9193,23.9918
4,0.2400,191.3940,57.7390,93.0000,center,q4,0.0000,23.1669,75.3834,2.0782,25.9779
5,0.3200,191.3940,59.8774,89.0000,center,q4,0.0000,24.4501,74.1244,2.1385,26.7310
6,0.4000,191.7504,62.0159,91.0000,center,q4,0.0000,25.4480,73.2021,2.1680,27.0997
7,0.4800,192.1068,64.1544,89.0000,center,q1,0.0000,26.2974,72.3330,2.1680,27.0997
8,0.5600,192.1068,65.9365,77.0000,center,q1,0.0000,27.2790,71.3964,1.7821,22.2758
9,0.6400,191.3940,68.0749,81.0000,center,q1,0.0000,28.9771,69.6967,2.2542,28.1769
10,0.7200,190.6811,69.8570,88.0000,center,q1,0.0000,30.5041,68.2008,1.9193,23.9918
11,0.8000,189.9683,71.6391,92.0000,center,q1,0.0000,32.0376,66.7266,1.9193,23.9918
12,0.8800,188.5427,73.4211,96.0000,center,q1,0.0000,34.1116,64.6399,2.2822,28.5270
13,0.9600,187.1170,75.2032,93.0000,center,q1,0.0000,36.1825,62.5668,2.2822,28.5270
14,1.0400,185.6913,76.9853,98.0000,center,q1,0.0000,38.2543,60.5088,2.2822,28.5270
15,1.1200,183.9093,79.1238,91.0000,center,q1,0.0000,40.8058,57.9962,2.7837,34.7960
16,1.2000,182.4836,81.2622,99.0000,center,q1,0.0000,43.0361,55.8381,2.5701,32.1267
17,1.2800,181.4144,83.0443,99.0000,center,q1,0.0000,44.6784,54.1778,2.0782,25.9779
18,1.3600,179.9887,85.1828,101.0000,center,q1,0.0000,46.7771,52.0908,2.5701,32.1267
19,1.4400,178.9195,87.3213,108.0000,center,q1,0.0000,48.5167,50.3877,2.3909,29.8862
