Track file,G:\Water Maze Data\xxx_0001\data\track_00594.trk
Object,0
Samples,987
Name,7,
Goal Position,SW,
Comment,,
Trial,4,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,60.5903,74.4904,51.0000,wall,q3,0.0000,22.9935,75.8698,-,-
2,0.0800,62.0159,75.5596,44.0000,center,q3,0.0000,24.6956,74.1494,1.7821,22.2758
3,0.1600,63.4416,77.3417,46.0000,center,q3,0.0000,26.6763,72.1774,2.2822,28.5270
4,0.2400,64.1544,78.7673,38.0000,center,q3,0.0000,27.8391,71.0155,1.5939,19.9241
5,0.3200,64.5108,80.9058,50.0000,center,q3,0.0000,28.9244,69.9815,2.1680,27.0997
6,0.4000,64.1544,83.4007,50.0000,center,q3,0.0000,29.3906,69.5831,2.5202,31.5028
7,0.4800,63.7980,85.8956,51.0000,center,q3,0.0000,29.6531,69.2741,2.5202,31.5028
8,0.5600,63.0852,88.0341,50.0000,center,q3,0.0000,29.4791,69.4794,2.2542,28.1769
9,0.6400,62.7287,90.5290,48.0000,center,q3,0.0000,29.6488,69.3424,2.5202,31.5028
10,0.7200,62.0159,93.0239,45.0000,center,q3,0.0000,29.2975,69.6497,2.5947,32.4341
11,0.8000,61.3031,95.5188,37.0000,center,q3,0.0000,29.0099,70.0518,2.5947,32.4341
12,0.8800,60.9467,97.6573,39.0000,center,q3,0.0000,28.8695,70.2168,2.1680,27.0997
13,0.9600,60.2339,100.1521,32.0000,center,q3,0.0000,28.1769,70.7900,2.5947,32.4341
14,1.0400,60.2339,102.6470,34.0000,center,q3,0.0000,28.3813,70.7400,2.4949,31.1862
15,1.1200,59.8774,104.7855,34.0000,center,q3,0.0000,27.8573,71.1235,2.1680,27.0997
16,1.2000,59.8774,107.2804,27.0000,center,q3,0.0000,27.8002,71.2362,2.4949,31.1862
17,1.2800,59.8774,109.4189,27.0000,center,q3,0.0000,27.6743,71.4021,2.1385,26.7310
18,1.3600,59.8774,112.2702,20.0000,center,q3,0.0000,27.2604,71.7219,2.8513,35.6413
19,1.4400,60.2339,114.4087,17.0000,center,q3,0.0000,27.2767,71.6832,2.1680,27.0997
20,1.5200,60.5903,116.5472,18.0000,center,q3,0.0000,27.3209,71.7101,2.1680,27.0997
21,1.6000,61.6595,118.3292,15.0000,center,q3,0.0000,27.9211,71.0287,2.0782,25.9779
22,1.6800,62.7287,120.8241,21.0000,center,q3,0.0000,28.3545,70.5806,2.7144,33.9295
23,1.7600,63.7980,122.6062,16.0000,center,q3,0.0000,28.9595,70.0298,2.0782,25.9779
24,1.8400,64.5108,124.3883,16.0000,center,q3,0.0000,29.0624,69.8758,1.9193,23.9918
25,1.9200,64.8672,126.1703,18.0000,center,q3,0.0000,28.7460,70.1101,1.8174,22.7170
26,2.0000,65.5801,128.6652,22.0000,center,q3,0.0000,28.5331,70.3168,2.5947,32.4341
27,2.0800,65.5801,130.8037,24.0000,center,q3,0.0000,27.7362,71.1307,2.1385,26.7310
28,2.1600,65.5801,133.2986,34.0000,center,q3,0.0000,26.6191,72.1488,2.4949,31.1862
29,2.2400,65.2236,135.4371,31.0000,center,q3,0.0000,25.3455,73.3970,2.1680,27.0997
30,2.3200,64.5108,137.5755,34.0000,center,q3,0.0000,23.7517,75.0030,2.2542,28.1769
31,2.4000,63.7980,139.7140,32.0000,wall,q3,0.0000,22.0660,76.6417,2.2542,28.1769
32,2.4800,63.0852,142.2089,26.0000,wall,q3,0.0000,20.1744,78.4892,2.5947,32.4341
33,2.5600,62.3723,143.9910,24.0000,wall,q3,0.0000,18.6599,80.0089,1.9193,23.9918
34,2.6400,61.6595,146.4859,25.0000,wall,q3,0.0000,16.7059,81.9232,2.5947,32.4341
35,2.7200,61.3031,148.2679,19.0000,wall,q3,0.0000,15.4743,83.1851,1.8174,22.7170
36,2.8000,60.5903,150.0500,24.0000,wall,q3,0.0000,13.9184,84.7630,1.9193,23.9918
37,2.8800,60.5903,152.1885,23.0000,wall,q2,0.0000,12.6414,85.9730,2.1385,26.7310
38,2.9600,60.9467,154.3270,25.0000,wall,q2,0.0000,11.6368,86.9312,2.1680,27.0997
39,3.0400,62.0159,156.1090,18.0000,wall,q2,0.0000,11.3662,87.1504,2.0782,25.9779
40,3.1200,63.4416,158.2475,25.0000,wall,q2,0.0000,11.1916,87.3677,2.5701,32.1267
41,3.2000,64.8672,159.3168,28.0000,wall,q2,0.0000,11.5930,86.9613,1.7821,22.2758
42,3.2800,66.2929,160.7424,28.0000,wall,q2,0.0000,11.5930,86.8271,2.0162,25.2022
43,3.3600,68.4314,162.1681,28.0000,wall,q2,0.0000,12.1912,86.2211,2.5701,32.1267
44,3.4400,70.2134,163.5937,29.0000,wall,q2,0.0000,12.4745,85.9395,2.2822,28.5270
45,3.5200,71.2827,165.0194,30.0000,wall,q2,0.0000,12.0971,86.2098,1.7821,22.2758
46,3.6000,72.7083,167.1579,24.0000,wall,q2,0.0000,11.4774,86.8020,2.5701,32.1267
47,3.6800,72.7083,168.2271,33.0000,wall,q2,0.0000,10.6328,87.5975,1.0692,13.3655
48,3.7600,72.7083,169.2963,32.0000,wall,q2,0.0000,9.8321,88.3987,1.0692,13.3655
49,3.8400,72.3519,170.0092,48.0000,wall,q2,0.0000,9.0728,89.1699,0.7970,9.9621
50,3.9200,71.2827,170.3656,42.0000,wall,q2,0.0000,8.0804,90.1433,1.1271,14.0885
51,4.0000,70.5698,170.7220,47.0000,wall,q2,0.0000,7.3476,90.8828,0.7970,9.9621
52,4.0800,69.5006,171.0784,50.0000,wall,q2,0.0000,6.4253,91.8615,1.1271,14.0885
53,4.1600,68.4314,170.7220,45.0000,wall,q2,0.0000,6.0485,92.3180,1.1271,14.0885
54,4.2400,67.7185,170.0092,46.0000,wall,q2,0.0000,6.0485,92.2821,1.0081,12.6011
55,4.3200,66.6493,167.8707,29.0000,wall,q2,0.0000,6.9203,91.4855,2.3909,29.8862
56,4.4000,66.2929,166.0886,40.0000,wall,q2,0.0000,8.0647,90.4814,1.8174,22.7170
57,4.4800,66.6493,163.5937,35.0000,wall,q2,0.0000,9.9093,88.4953,2.5202,31.5028
58,4.5600,66.6493,161.4552,34.0000,wall,q2,0.0000,11.3438,87.0405,2.1385,26.7310
59,4.6400,67.0057,159.3168,30.0000,wall,q2,0.0000,13.1052,85.3470,2.1680,27.0997
60,4.7200,67.3621,157.1783,37.0000,wall,q2,0.0000,14.8715,83.6753,2.1680,27.0997
61,4.8000,67.7185,155.0398,29.0000,wall,q2,0.0000,16.5377,82.0269,2.1680,27.0997
62,4.8800,67.7185,152.1885,32.0000,wall,q2,0.0000,18.2573,80.2418,2.8513,35.6413
63,4.9600,67.7185,149.6936,33.0000,wall,q2,0.0000,19.8186,78.7313,2.4949,31.1862
64,5.0400,67.7185,147.1987,28.0000,wall,q2,0.0000,21.3194,77.2718,2.4949,31.1862
65,5.1200,67.0057,144.7038,29.0000,wall,q3,0.0000,22.1923,76.4617,2.5947,32.4341
66,5.2000,66.2929,142.5653,41.0000,wall,q3,0.0000,22.7435,75.9179,2.2542,28.1769
67,5.2800,64.8672,140.7833,35.0000,wall,q3,0.0000,22.4427,76.2331,2.2822,28.5270
68,5.3600,63.7980,139.3576,34.0000,wall,q3,0.0000,22.2523,76.4708,1.7821,22.2758
69,5.4400,63.0852,138.2884,38.0000,wall,q3,0.0000,22.1579,76.5967,1.2851,16.0633
70,5.5200,62.0159,137.5755,45.0000,wall,q3,0.0000,21.5180,77.2225,1.2851,16.0633
71,5.6000,61.6595,137.2191,52.0000,wall,q3,0.0000,21.3610,77.3818,0.5040,6.3006
72,5.6800,60.2339,137.2191,51.0000,wall,q3,0.0000,20.0860,78.6614,1.4257,17.8207
73,5.7600,59.8774,137.2191,57.0000,wall,q3,0.0000,19.7673,78.9821,0.3564,4.4552
74,5.8400,58.8082,137.9320,46.0000,wall,q3,0.0000,18.4923,80.2552,1.2851,16.0633
75,5.9200,58.0954,139.0012,40.0000,wall,q3,0.0000,17.3767,81.3666,1.2851,16.0633
76,6.0000,57.3825,140.4269,48.0000,wall,q3,0.0000,16.1018,82.6447,1.5939,19.9241
