Track file,G:\Water Maze Data\xxx_0001\data\track_00082.trk
Object,0
Samples,1500
Name,6,
Goal Position,NE,
Comment,,
Trial,6,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,221.3327,137.9320,47.0000,wall,q1,0.0000,1.9193,96.9423,-,-
2,0.0800,220.9763,137.9320,51.0000,wall,q1,0.0000,2.2542,96.6102,0.3564,4.4552
3,0.1600,221.3327,138.2884,24.0000,wall,q1,0.0000,1.8174,97.0720,0.5040,6.3006
4,0.2400,220.2634,138.2884,16.0000,wall,q1,0.0000,2.8735,96.0775,1.0692,13.3655
5,0.3200,210.2839,143.6346,75.0000,wall,q1,0.0000,9.5636,89.1974,11.3214,141.5173
6,0.4000,210.2839,143.9910,100.0000,wall,q1,0.0000,9.4096,89.3611,0.3564,4.4552
7,0.4800,210.6403,144.7038,92.0000,wall,q1,0.0000,8.8028,90.0070,0.7970,9.9621
8,0.5600,212.0659,145.0602,90.0000,wall,q1,0.0000,7.3476,91.4354,1.4695,18.3691
9,0.6400,213.4916,144.3474,82.0000,wall,q1,0.0000,6.3757,92.3795,1.5939,19.9241
10,0.7200,214.5608,143.2782,85.0000,wall,q1,0.0000,5.8997,92.8650,1.5121,18.9017
11,0.8000,214.9172,142.5653,64.0000,wall,q1,0.0000,5.8997,92.8787,0.7970,9.9621
12,0.8800,216.3429,140.0704,84.0000,wall,q1,0.0000,5.7470,93.1435,2.8735,35.9187
13,0.9600,216.6993,138.6448,97.0000,wall,q1,0.0000,6.0590,92.9113,1.4695,18.3691
14,1.0400,216.3429,135.4371,87.0000,wall,q1,0.0000,7.4932,91.3891,3.2275,40.3432
15,1.1200,215.6301,132.9422,87.0000,wall,q1,0.0000,9.0166,89.8567,2.5947,32.4341
16,1.2000,215.2737,130.0909,75.0000,wall,q1,0.0000,10.3789,88.6022,2.8735,35.9187
17,1.2800,214.9172,127.9524,85.0000,wall,q1,0.0000,11.4108,87.6260,2.1680,27.0997
18,1.3600,214.2044,125.8139,69.0000,wall,q1,0.0000,12.6313,86.3494,2.2542,28.1769
19,1.4400,214.2044,123.6754,69.0000,wall,q1,0.0000,13.1439,85.8046,2.1385,26.7310
20,1.5200,214.5608,121.5369,68.0000,wall,q1,0.0000,13.3167,85.6577,2.1680,27.0997
21,1.6000,215.2737,119.7549,64.0000,wall,q1,0.0000,13.0712,85.9848,1.9193,23.9918
22,1.6800,216.3429,118.6856,74.0000,wall,q1,0.0000,12.2016,86.8315,1.5121,18.9017
23,1.7600,217.4121,117.6164,68.0000,wall,q1,0.0000,11.3270,87.6962,1.5121,18.9017
24,1.8400,218.8378,116.9036,76.0000,wall,q1,0.0000,10.0050,88.9862,1.5939,19.9241
