Track file,G:\Water Maze Data\xxx_0001\data\track_00114.trk
Object,0
Samples,198
Name,7,
Goal Position,NE,
Comment,,
Trial,2,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,50.6107,69.8570,71.0000,wall,q3,0.0000,12.0603,86.8595,-,-
2,0.0800,49.5415,69.1442,80.0000,wall,q3,0.0000,10.8223,88.1196,1.2851,16.0633
3,0.1600,50.6107,69.8570,97.0000,wall,q3,0.0000,12.0603,86.8595,1.2851,16.0633
4,0.2400,52.0363,70.9263,124.0000,wall,q3,0.0000,13.7577,85.1359,1.7821,22.2758
5,0.3200,53.8184,71.9955,117.0000,wall,q3,0.0000,15.7791,83.0837,2.0782,25.9779
6,0.4000,55.9569,72.3519,114.0000,wall,q3,0.0000,17.9237,80.9669,2.1680,27.0997
7,0.4800,58.4518,71.9955,108.0000,wall,q3,0.0000,20.0860,78.7997,2.5202,31.5028
8,0.5600,60.9467,71.6391,108.0000,wall,q3,0.0000,22.1579,76.6541,2.5202,31.5028
9,0.6400,63.4416,70.9263,102.0000,center,q3,0.0000,24.0704,74.6834,2.5947,32.4341
10,0.7200,65.5801,70.2134,112.0000,center,q3,0.0000,25.6642,73.0707,2.2542,28.1769
11,0.8000,68.0749,69.5006,105.0000,center,q3,0.0000,27.5823,71.1775,2.5947,32.4341
12,0.8800,70.9263,68.0749,107.0000,center,q3,0.0000,29.2802,69.3737,3.1879,39.8482
13,0.9600,73.4211,67.0057,106.0000,center,q3,0.0000,30.8416,67.7846,2.7144,33.9295
14,1.0400,75.5596,65.5801,106.0000,center,q3,0.0000,31.8646,66.7631,2.5701,32.1267
15,1.1200,77.6981,63.7980,110.0000,center,q3,0.0000,32.5099,66.0362,2.7837,34.7960
16,1.2000,79.8366,62.0159,112.0000,center,q3,0.0000,33.0755,65.4197,2.7837,34.7960
17,1.2800,81.6187,60.2339,114.0000,center,q3,0.0000,33.2669,65.1863,2.5202,31.5028
18,1.3600,83.4007,58.0954,108.0000,center,q3,0.0000,33.0620,65.2933,2.7837,34.7960
19,1.4400,84.8264,55.9569,105.0000,center,q3,0.0000,32.5353,65.7682,2.5701,32.1267
20,1.5200,85.8956,53.8184,102.0000,center,q3,0.0000,31.6727,66.5800,2.3909,29.8862
21,1.6000,86.6084,52.0363,99.0000,center,q3,0.0000,30.7839,67.4311,1.9193,23.9918
22,1.6800,87.3213,50.2543,82.0000,center,q3,0.0000,29.8729,68.3256,1.9193,23.9918
23,1.7600,88.3905,48.4722,84.0000,center,q3,0.0000,29.0865,69.0412,2.0782,25.9779
24,1.8400,89.8162,47.0466,77.0000,center,q3,0.0000,28.7990,69.3130,2.0162,25.2022
25,1.9200,90.5290,45.9773,82.0000,center,q4,0.0000,28.3813,69.7605,1.2851,16.0633
26,2.0000,92.3111,45.2645,86.0000,center,q4,0.0000,28.7350,69.3333,1.9193,23.9918
27,2.0800,93.7367,44.1953,87.0000,center,q4,0.0000,28.5598,69.4486,1.7821,22.2758
28,2.1600,95.1624,43.8388,97.0000,center,q4,0.0000,28.9771,68.9992,1.4695,18.3691
29,2.2400,97.3008,43.1260,94.0000,center,q4,0.0000,29.4683,68.5338,2.2542,28.1769
30,2.3200,98.7265,42.7696,90.0000,center,q4,0.0000,29.8069,68.1585,1.4695,18.3691
31,2.4000,100.8650,42.0568,87.0000,center,q4,0.0000,30.1269,67.8111,2.2542,28.1769
32,2.4800,102.2906,41.7004,88.0000,center,q4,0.0000,30.3789,67.5128,1.4695,18.3691
33,2.5600,103.3599,41.3439,92.0000,center,q4,0.0000,30.4707,67.3904,1.1271,14.0885
34,2.6400,104.7855,40.2747,89.0000,center,q4,0.0000,30.0488,67.8039,1.7821,22.2758
35,2.7200,105.4983,39.5619,103.0000,center,q4,0.0000,29.6424,68.1925,1.0081,12.6011
36,2.8000,106.2112,38.1362,107.0000,center,q4,0.0000,28.5153,69.2589,1.5939,19.9241
37,2.8800,106.5676,36.7106,109.0000,center,q4,0.0000,27.2837,70.4679,1.4695,18.3691
38,2.9600,106.2112,34.9285,105.0000,center,q4,0.0000,25.4879,72.2637,1.8174,22.7170
39,3.0400,105.8548,33.8593,108.0000,center,q4,0.0000,24.3616,73.3903,1.1271,14.0885
40,3.1200,104.7855,32.7900,95.0000,center,q4,0.0000,22.9935,74.7637,1.5121,18.9017
41,3.2000,103.7163,32.0772,98.0000,wall,q4,0.0000,21.9852,75.8096,1.2851,16.0633
42,3.2800,102.6470,31.7208,99.0000,wall,q4,0.0000,21.3045,76.5316,1.1271,14.0885
43,3.3600,101.2214,31.7208,102.0000,wall,q4,0.0000,20.7823,77.0706,1.4257,17.8207
44,3.4400,99.7957,32.0772,89.0000,wall,q4,0.0000,20.5642,77.3059,1.4695,18.3691
45,3.5200,98.7265,32.7900,97.0000,wall,q4,0.0000,20.7823,77.0952,1.2851,16.0633
46,3.6000,97.6573,33.8593,88.0000,wall,q4,0.0000,21.3610,76.5844,1.5121,18.9017
47,3.6800,96.9444,34.9285,93.0000,wall,q4,0.0000,21.9968,75.9398,1.2851,16.0633
48,3.7600,96.5880,36.3542,96.0000,center,q4,0.0000,23.1120,74.8311,1.4695,18.3691
49,3.8400,96.2316,37.7798,96.0000,center,q4,0.0000,24.2282,73.7351,1.4695,18.3691
50,3.9200,96.2316,39.2055,91.0000,center,q4,0.0000,25.5029,72.4807,1.4257,17.8207
51,4.0000,96.2316,40.6311,87.0000,center,q4,0.0000,26.7785,71.2328,1.4257,17.8207
52,4.0800,96.5880,42.0568,87.0000,center,q4,0.0000,28.1837,69.8154,1.4695,18.3691
53,4.1600,96.2316,43.8388,82.0000,center,q4,0.0000,29.5307,68.4503,1.8174,22.7170
54,4.2400,96.2316,44.9081,76.0000,center,q4,0.0000,30.4520,67.5312,1.0692,13.3655
55,4.3200,95.8752,45.9773,82.0000,center,q4,0.0000,31.1734,66.8032,1.1271,14.0885
56,4.4000,95.1624,47.0466,88.0000,center,q4,0.0000,31.7368,66.2782,1.2851,16.0633
57,4.4800,94.4495,48.4722,88.0000,center,q4,0.0000,32.5821,65.4781,1.5939,19.9241
58,4.5600,93.0239,49.8979,84.0000,center,q4,0.0000,33.0101,65.1201,2.0162,25.2022
59,4.6400,92.3111,50.9671,83.0000,center,q3,0.0000,33.4364,64.6778,1.2851,16.0633
60,4.7200,91.5982,52.0363,81.0000,center,q3,0.0000,33.8593,64.2582,1.2851,16.0633
61,4.8000,90.8854,53.4620,78.0000,center,q3,0.0000,34.5739,63.5845,1.5939,19.9241
62,4.8800,90.1726,54.8877,81.0000,center,q3,0.0000,35.2975,62.9441,1.5939,19.9241
63,4.9600,90.1726,56.3133,88.0000,center,q3,0.0000,36.3472,61.8654,1.4257,17.8207
64,5.0400,89.8162,57.7390,90.0000,center,q3,0.0000,37.1919,61.0408,1.4695,18.3691
65,5.1200,90.1726,59.1646,86.0000,center,q3,0.0000,38.5190,59.7517,1.4695,18.3691
66,5.2000,90.5290,60.9467,77.0000,center,q3,0.0000,40.0787,58.2143,1.8174,22.7170
67,5.2800,91.2418,62.0159,80.0000,center,q3,0.0000,41.3439,56.9505,1.2851,16.0633
68,5.3600,91.9546,63.4416,75.0000,center,q3,0.0000,42.8705,55.4339,1.5939,19.9241
69,5.4400,92.6675,64.5108,76.0000,center,q3,0.0000,44.1392,54.1732,1.2851,16.0633
70,5.5200,93.7367,65.2236,87.0000,center,q3,0.0000,45.3892,52.9137,1.2851,16.0633
71,5.6000,94.8059,66.2929,85.0000,center,q3,0.0000,46.9005,51.4016,1.5121,18.9017
72,5.6800,95.8752,67.0057,95.0000,center,q3,0.0000,48.1527,50.1434,1.2851,16.0633
73,5.7600,97.6573,68.0749,89.0000,center,q3,0.0000,50.1543,48.1352,2.0782,25.9779
74,5.8400,99.0829,68.4314,94.0000,center,q3,0.0000,51.3396,46.8978,1.4695,18.3691
75,5.9200,100.5086,69.1442,92.0000,center,q3,0.0000,52.8081,45.4091,1.5939,19.9241
76,6.0000,102.2906,69.8570,93.0000,center,q3,0.0000,54.5208,43.6931,1.9193,23.9918
77,6.0800,104.0727,70.9263,85.0000,center,q3,0.0000,56.4575,41.7216,2.0782,25.9779
78,6.1600,106.2112,71.6391,86.0000,center,q3,0.0000,58.3093,39.8152,2.2542,28.1769
79,6.2400,107.2804,72.3519,94.0000,center,q3,0.0000,59.5221,38.5940,1.2851,16.0633
80,6.3200,109.0625,72.7083,94.0000,center,q3,0.0000,60.8758,37.2376,1.8174,22.7170
81,6.4000,110.4881,73.4211,92.0000,center,q4,0.0000,62.2265,35.8299,1.5939,19.9241
82,6.4800,112.6266,74.1340,92.0000,center,q4,0.0000,63.9362,34.0490,2.2542,28.1769
83,6.5600,113.6959,74.4904,89.0000,center,q4,0.0000,64.7947,33.1802,1.1271,14.0885
84,6.6400,115.1215,75.2032,84.0000,center,q4,0.0000,66.1394,31.8405,1.5939,19.9241
85,6.7200,116.5472,75.9160,87.0000,center,q4,0.0000,67.4234,30.5253,1.5939,19.9241
86,6.8000,117.6164,76.6289,84.0000,center,q4,0.0000,68.5148,29.3980,1.2851,16.0633
87,6.8800,118.6856,77.3417,83.0000,center,q4,0.0000,69.5919,28.2841,1.2851,16.0633
88,6.9600,119.7549,78.4109,74.0000,center,q4,0.0000,71.0014,26.8612,1.5121,18.9017
89,7.0400,120.4677,79.4802,78.0000,center,q4,0.0000,72.2465,25.5927,1.2851,16.0633
90,7.1200,121.5369,80.5494,80.0000,center,q4,0.0000,73.6052,24.1847,1.5121,18.9017
91,7.2000,121.8934,81.6187,92.0000,center,q4,0.0000,74.7321,23.0614,1.1271,14.0885
92,7.2800,122.6062,83.0443,88.0000,center,q4,0.0000,76.3132,21.4704,1.5939,19.9241
93,7.3600,123.3190,84.4700,90.0000,center,q4,0.0000,77.8949,19.8799,1.5939,19.9241
94,7.4400,124.0318,85.8956,90.0000,center,q4,0.0000,79.4770,18.2900,1.5939,19.9241
95,7.5200,124.7447,87.3213,95.0000,center,q4,0.0000,81.0595,16.7009,1.5939,19.9241
96,7.6000,125.8139,88.3905,85.0000,center,q4,0.0000,82.4001,15.3216,1.5121,18.9017
97,7.6800,126.8831,89.4597,98.0000,center,q4,0.0000,83.7169,13.9697,1.5121,18.9017
98,7.7600,128.6652,90.1726,97.0000,center,q4,0.0000,84.7342,12.8535,1.9193,23.9918
99,7.8400,130.0909,91.2418,102.0000,center,q4,0.0000,85.9429,11.6089,1.7821,22.2758
100,7.9200,131.8729,91.5982,92.0000,center,q4,0.0000,86.2991,11.2549,1.8174,22.7170
101,8.0000,133.6550,92.3111,85.0000,center,q4,0.0000,86.7967,10.8428,1.9193,23.9918
102,8.0800,135.4371,93.0239,86.0000,center,q4,0.0000,87.0291,10.7624,1.9193,23.9918
103,8.1600,136.8627,93.7367,85.0000,center,q4,0.0000,87.1647,10.8229,1.5939,19.9241
104,8.2400,138.2884,94.4495,91.0000,center,q4,0.0000,87.0364,11.1140,1.5939,19.9241
105,8.3200,139.3576,95.5188,91.0000,center,q4,0.0000,87.2135,11.1156,1.5121,18.9017
106,8.4000,140.4269,96.5880,98.0000,center,q4,0.0000,87.2128,11.3210,1.5121,18.9017
107,8.4800,141.4961,98.0137,98.0000,center,q1,0.0000,87.1647,11.5670,1.7821,22.2758
108,8.5600,142.5653,99.4393,101.0000,center,q1,0.0000,86.8143,12.0738,1.7821,22.2758
109,8.6400,143.2782,101.2214,100.0000,center,q1,0.0000,86.5498,12.4076,1.9193,23.9918
110,8.7200,143.6346,103.0035,98.0000,center,q1,0.0000,86.3256,12.6623,1.8174,22.7170
111,8.8000,144.3474,104.4291,102.0000,center,q1,0.0000,85.4931,13.4706,1.5939,19.9241
112,8.8800,144.7038,106.5676,100.0000,center,q1,0.0000,84.6832,14.2332,2.1680,27.0997
113,8.9600,145.0602,108.3497,100.0000,center,q1,0.0000,83.6813,15.1341,1.8174,22.7170
114,9.0400,145.0602,110.1317,99.0000,center,q1,0.0000,82.8237,15.8725,1.7821,22.2758
115,9.1200,145.4166,111.9138,105.0000,center,q1,0.0000,81.5494,17.0690,1.8174,22.7170
116,9.2000,145.4166,114.4087,100.0000,center,q1,0.0000,79.9105,18.5193,2.4949,31.1862
117,9.2800,145.7731,116.1907,102.0000,center,q1,0.0000,78.4279,19.9468,1.8174,22.7170
118,9.3600,146.1295,117.9728,111.0000,center,q1,0.0000,76.8532,21.4335,1.8174,22.7170
119,9.4400,146.4859,119.7549,108.0000,center,q1,0.0000,75.2716,22.9677,1.8174,22.7170
120,9.5200,146.8423,121.8934,105.0000,center,q1,0.0000,73.3502,24.8136,2.1680,27.0997
121,9.6000,147.1987,124.0318,99.0000,center,q2,0.0000,71.4295,26.7080,2.1680,27.0997
