Track file,G:\Water Maze Data\xxx_0001\data\track_00626.trk
Object,0
Samples,61
Name,8,
Goal Position,SW,
Comment,,
Trial,6,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
1,0.0000,-,-,-,-,-,-,-,-,-,-
2,0.0800,-,-,-,-,-,-,-,-,-,-
3,0.1600,-,-,-,-,-,-,-,-,-,-
4,0.2400,-,-,-,-,-,-,-,-,-,-
5,0.3200,47.4030,71.2827,15.0000,wall,q3,0.0000,9.5636,89.3223,-,-
6,0.4000,47.4030,73.4211,20.0000,wall,q3,0.0000,10.2620,88.5900,2.1385,26.7310
7,0.4800,-,-,-,-,-,-,-,-,-,-
8,0.5600,-,-,-,-,-,-,-,-,-,-
9,0.6400,47.4030,81.2622,21.0000,wall,q3,0.0000,12.6313,86.3057,-,-
10,0.7200,47.0466,83.7571,17.0000,wall,q3,0.0000,12.8803,86.0642,2.5202,31.5028
11,0.8000,47.4030,85.8956,15.0000,wall,q3,0.0000,13.7577,85.2666,2.1680,27.0997
12,0.8800,47.7594,88.7469,26.0000,wall,q3,0.0000,14.6129,84.3954,2.8735,35.9187
13,0.9600,48.4722,91.2418,23.0000,wall,q3,0.0000,15.6579,83.3095,2.5947,32.4341
14,1.0400,49.8979,94.8059,31.0000,wall,q3,0.0000,17.5947,81.4706,3.8387,47.9836
15,1.1200,51.3235,96.5880,36.0000,wall,q3,0.0000,19.2463,79.8933,2.2822,28.5270
16,1.2000,53.4620,99.0829,41.0000,wall,q3,0.0000,21.3848,77.6015,3.2860,41.0746
17,1.2800,55.2441,100.5086,54.0000,wall,q3,0.0000,23.2107,75.7648,2.2822,28.5270
18,1.3600,57.7390,102.2906,43.0000,center,q3,0.0000,25.8615,73.2366,3.0660,38.3248
19,1.4400,59.8774,103.3599,44.0000,center,q3,0.0000,27.9847,71.0983,2.3909,29.8862
20,1.5200,62.0159,105.1419,40.0000,center,q3,0.0000,29.9726,68.9969,2.7837,34.7960
21,1.6000,64.5108,107.2804,42.0000,center,q3,0.0000,32.4336,66.6125,3.2860,41.0746
22,1.6800,66.2929,108.7061,45.0000,center,q3,0.0000,34.1283,64.9483,2.2822,28.5270
23,1.7600,68.4314,110.8445,37.0000,center,q3,0.0000,35.9289,63.0554,3.0243,37.8033
24,1.8400,69.8570,112.9830,27.0000,center,q3,0.0000,37.0018,61.9563,2.5701,32.1267
25,1.9200,71.6391,115.8343,24.0000,center,q3,0.0000,38.2078,60.7457,3.3624,42.0300
26,2.0000,72.7083,117.9728,28.0000,center,q3,0.0000,38.7312,60.2042,2.3909,29.8862
27,2.0800,74.4904,121.1805,26.0000,center,q3,0.0000,39.5121,59.3934,3.6695,45.8687
28,2.1600,76.2725,123.3190,27.0000,center,q3,0.0000,40.4400,58.4170,2.7837,34.7960
29,2.2400,78.0545,125.1011,32.0000,center,q3,0.0000,41.4422,57.4196,2.5202,31.5028
30,2.3200,80.1930,126.8831,30.0000,center,q3,0.0000,42.5582,56.1947,2.7837,34.7960
31,2.4000,81.2622,127.9524,15.0000,center,q3,0.0000,43.0361,55.7046,1.5121,18.9017
32,2.4800,84.1135,130.0909,30.0000,center,q3,0.0000,44.4375,54.2192,3.5641,44.5517
33,2.5600,87.3213,132.9422,22.0000,center,q2,0.0000,45.5498,53.0382,4.2918,53.6473
34,2.6400,88.7469,134.0114,28.0000,center,q2,0.0000,46.0450,52.4993,1.7821,22.2758
35,2.7200,90.8854,136.1499,34.0000,center,q2,0.0000,46.3721,52.1358,3.0243,37.8033
36,2.8000,93.0239,138.2884,40.0000,center,q2,0.0000,46.4159,51.9461,3.0243,37.8033
37,2.8800,95.1624,140.4269,39.0000,center,q2,0.0000,46.3680,51.9321,3.0243,37.8033
38,2.9600,96.9444,141.8525,36.0000,center,q2,0.0000,46.4405,51.7856,2.2822,28.5270
39,3.0400,99.4393,143.9910,37.0000,center,q2,0.0000,46.2651,51.8623,3.2860,41.0746
40,3.1200,101.5778,146.4859,37.0000,center,q2,0.0000,45.4158,52.6410,3.2860,41.0746
41,3.2000,104.0727,147.9115,42.0000,center,q2,0.0000,45.4871,52.5087,2.8735,35.9187
42,3.2800,106.2112,149.6936,39.0000,center,q2,0.0000,44.9491,53.0150,2.7837,34.7960
43,3.3600,108.3497,151.1193,40.0000,center,q2,0.0000,44.5531,53.3380,2.5701,32.1267
44,3.4400,110.4881,152.9013,38.0000,center,q2,0.0000,43.7329,54.1118,2.7837,34.7960
45,3.5200,110.8445,153.9706,27.0000,center,q2,0.0000,42.8290,54.9714,1.1271,14.0885
46,3.6000,110.8445,154.6834,24.0000,center,q2,0.0000,42.1533,55.6353,0.7128,8.9103
47,3.6800,112.2702,155.3962,32.0000,center,q2,0.0000,41.9661,55.8066,1.5939,19.9241
48,3.7600,112.6266,155.0398,62.0000,SW,q2,0.0000,42.4267,55.3518,0.5040,6.3006
49,3.8400,112.9830,155.3962,69.0000,SW,q2,0.0000,42.2256,55.5718,0.5040,6.3006
50,3.9200,113.3394,155.7526,74.0000,SW,q2,0.0000,42.0145,55.7955,0.5040,6.3006
51,4.0000,113.6959,155.7526,81.0000,SW,q2,0.0000,42.1021,55.6838,0.3564,4.4552
52,4.0800,113.6959,155.7526,91.0000,SW,q2,0.0000,42.1021,55.6838,0.0000,0.0000
53,4.1600,114.4087,156.1090,93.0000,SW,q2,0.0000,41.9252,55.8071,0.7970,9.9621
54,4.2400,114.7651,156.1090,96.0000,SW,q2,0.0000,42.0145,55.7023,0.3564,4.4552
55,4.3200,115.4779,156.1090,101.0000,SW,q2,0.0000,42.2015,55.4991,0.7128,8.9103
56,4.4000,115.8343,156.4655,101.0000,SW,q2,0.0000,41.9570,55.7435,0.5040,6.3006
57,4.4800,116.1907,156.4655,103.0000,SW,q2,0.0000,42.0583,55.6478,0.3564,4.4552
58,4.5600,116.5472,156.4655,102.0000,SW,q2,0.0000,42.1624,55.5542,0.3564,4.4552
59,4.6400,116.9036,156.4655,106.0000,SW,q2,0.0000,42.2692,55.4627,0.3564,4.4552
60,4.7200,117.2600,156.8219,104.0000,SW,q2,0.0000,42.0145,55.7187,0.5040,6.3006
61,4.8000,117.6164,156.8219,97.0000,SW,q2,0.0000,42.1021,55.6321,0.3564,4.4552
